vendor_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
VEND-00001,2025-12-31,0.0,0.0,0.0,0.0,108.17,108.17
VEND-00003,2025-12-31,0.0,0.0,162.77,0.0,708.03,870.8
VEND-00004,2025-12-31,346.94,0.0,0.0,0.0,1094.42,1441.36
VEND-00005,2025-12-31,0.0,0.0,0.0,0.0,39.8,39.8
VEND-00006,2025-12-31,0.0,0.0,0.0,0.0,77.06,77.06
VEND-00009,2025-12-31,0.0,0.0,338.96,0.0,1381.31,1720.27
VEND-00010,2025-12-31,0.0,0.0,0.0,0.0,1134.54,1134.54
VEND-00012,2025-12-31,0.0,1243.6,57.71,0.0,31.22,1332.53
VEND-00013,2025-12-31,494.51,0.0,0.0,0.0,0.0,494.51
VEND-00014,2025-12-31,0.0,0.0,0.0,0.0,1937.84,1937.84
VEND-00015,2025-12-31,181.02,0.0,0.0,0.0,3317.55,3498.57
VEND-00016,2025-12-31,0.0,0.0,0.0,0.0,699.59,699.59
VEND-00018,2025-12-31,0.0,1705.12,0.0,0.0,1216.99,2922.11
VEND-00020,2025-12-31,0.0,0.0,0.0,0.0,425.93,425.93
VEND-00021,2025-12-31,162.31,0.0,0.0,0.0,0.0,162.31
VEND-00022,2025-12-31,605.33,0.0,0.0,107.79,121.38,834.5
VEND-00023,2025-12-31,0.0,0.0,0.0,135.53,785.32,920.85
VEND-00024,2025-12-31,0.0,0.0,0.0,0.0,33959.9,33959.9
VEND-00025,2025-12-31,0.0,0.0,0.0,0.0,2001.52,2001.52
VEND-00026,2025-12-31,0.0,0.0,0.0,95.98,1084.07,1180.05
VEND-00027,2025-12-31,223.21,0.0,0.0,2077.38,1096.87,3397.46
VEND-00028,2025-12-31,0.0,0.0,0.0,0.0,846.78,846.78
VEND-00029,2025-12-31,0.0,0.0,0.0,0.0,252.4,252.4
VEND-00030,2025-12-31,0.0,0.0,0.0,622.69,0.0,622.69
VEND-00031,2025-12-31,0.0,0.0,76.77,0.0,0.0,76.77
VEND-00032,2025-12-31,0.0,0.0,83.81,0.0,1989.0,2072.81
VEND-00033,2025-12-31,0.0,1584.58,0.0,0.0,213.03,1797.61
VEND-00034,2025-12-31,0.0,0.0,0.0,0.0,766.83,766.83
VEND-00035,2025-12-31,5.04,0.0,0.0,0.0,1422.62,1427.66
VEND-00037,2025-12-31,0.0,0.0,0.0,0.0,2882.74,2882.74
VEND-00038,2025-12-31,0.0,0.0,0.0,0.0,91.63,91.63
VEND-00040,2025-12-31,0.0,0.0,4785.21,1550.84,0.0,6336.05
