bill_id,vendor_id,invoice_number,invoice_date,due_date,po_number,amount,paid_amount,balance,status,approved_by
BILL-2025000001,VEND-00020,V84373,2025-03-09,2025-04-23,,191.6,191.6,0.0,paid,kpatel
BILL-2025000002,VEND-00024,V52850,2025-12-17,2026-01-16,PO-648891,1035.67,1035.67,0.0,paid,rwhite
BILL-2025000003,VEND-00009,V14849,2025-08-22,2025-09-21,PO-205937,662.83,662.83,0.0,paid,mlopez
BILL-2025000004,VEND-00036,V81119,2025-10-18,2025-11-17,PO-375206,2105.65,2105.65,0.0,paid,sjohnson
BILL-2025000005,VEND-00037,V84446,2025-12-01,2026-01-15,PO-623019,2530.37,2530.37,0.0,paid,rwhite
BILL-2025000006,VEND-00017,V71826,2025-02-04,2025-04-05,,869.19,869.19,0.0,paid,mlopez
BILL-2025000007,VEND-00038,V80233,2025-01-05,2025-02-19,PO-135960,307.56,215.93,91.63,open,kpatel
BILL-2025000008,VEND-00002,V79326,2025-11-19,2025-12-19,PO-195435,465.72,465.72,0.0,paid,kpatel
BILL-2025000009,VEND-00020,V21228,2025-06-12,2025-07-27,PO-166698,1361.64,1361.64,0.0,paid,sjohnson
BILL-2025000010,VEND-00004,V23139,2025-04-07,2025-06-06,PO-700231,774.58,413.06,361.52,open,rwhite
BILL-2025000011,VEND-00020,V95925,2025-04-07,2025-05-22,PO-275227,357.01,357.01,0.0,paid,rwhite
BILL-2025000012,VEND-00030,V93608,2025-03-28,2025-04-27,PO-506820,4068.86,4068.86,0.0,paid,rwhite
BILL-2025000013,VEND-00008,V93737,2025-07-07,2025-08-06,PO-806133,516.66,516.66,0.0,paid,kpatel
BILL-2025000014,VEND-00020,V66487,2025-01-10,2025-02-09,,539.13,539.13,0.0,paid,rwhite
BILL-2025000015,VEND-00005,V65836,2025-02-19,2025-04-05,PO-687297,1444.34,1444.34,0.0,paid,rwhite
BILL-2025000016,VEND-00013,V23484,2025-05-20,2025-06-19,PO-153396,433.69,433.69,0.0,paid,rwhite
BILL-2025000017,VEND-00035,V27908,2025-01-31,2025-03-17,PO-449172,787.85,787.85,0.0,paid,rwhite
BILL-2025000018,VEND-00038,V24172,2025-02-08,2025-03-10,PO-494202,3484.83,3484.83,0.0,paid,rwhite
BILL-2025000019,VEND-00007,V25867,2025-07-25,2025-09-23,,1315.23,1315.23,0.0,paid,rwhite
BILL-2025000020,VEND-00033,V71952,2025-08-05,2025-10-04,,125.41,21.92,103.49,open,kpatel
BILL-2025000021,VEND-00013,V37796,2025-10-02,2025-11-01,,172.63,172.63,0.0,paid,kpatel
BILL-2025000022,VEND-00034,V27175,2025-08-28,2025-10-27,PO-762845,247.69,162.77,84.92,open,rwhite
BILL-2025000023,VEND-00015,V23071,2025-08-31,2025-09-30,PO-481129,192.24,179.71,12.53,open,mlopez
BILL-2025000024,VEND-00032,V65025,2025-06-18,2025-08-02,PO-948791,1243.59,859.81,383.78,open,sjohnson
BILL-2025000025,VEND-00009,V23634,2025-06-06,2025-08-05,PO-486716,581.84,156.36,425.48,open,sjohnson
BILL-2025000026,VEND-00027,V75623,2025-09-25,2025-11-24,PO-313812,1294.01,401.38,892.63,open,sjohnson
