invoice_id,customer_id,invoice_date,due_date,amount,paid_amount,balance,status,currency
INV-2025000001,CUST-00018,2025-05-06,2025-05-21,537.98,337.58,200.4,open,USD
INV-2025000002,CUST-00080,2025-07-24,2025-09-07,1293.86,1293.86,0.0,paid,USD
INV-2025000003,CUST-00009,2025-11-19,2025-12-19,475.91,475.91,0.0,paid,USD
INV-2025000004,CUST-00024,2025-12-16,2025-12-31,1437.61,1437.61,0.0,paid,USD
INV-2025000005,CUST-00035,2025-05-09,2025-06-23,489.99,489.99,0.0,paid,USD
INV-2025000006,CUST-00031,2025-04-30,2025-06-29,1748.38,1748.38,0.0,paid,USD
INV-2025000007,CUST-00002,2025-10-15,2025-12-14,3053.01,3053.01,0.0,paid,USD
INV-2025000008,CUST-00035,2025-03-25,2025-05-24,779.36,779.36,0.0,paid,USD
INV-2025000009,CUST-00024,2025-03-13,2025-03-28,173.07,173.07,0.0,paid,USD
INV-2025000010,CUST-00031,2025-08-30,2025-10-29,3060.37,3060.37,0.0,paid,USD
INV-2025000011,CUST-00049,2025-04-25,2025-05-25,941.74,617.69,324.05,open,USD
INV-2025000012,CUST-00076,2025-09-13,2025-11-12,930.02,493.94,436.08,open,USD
INV-2025000013,CUST-00001,2025-02-21,2025-04-22,426.3,321.27,105.03,open,USD
INV-2025000014,CUST-00032,2025-10-28,2025-12-27,3300.15,3300.15,0.0,paid,USD
INV-2025000015,CUST-00048,2025-07-30,2025-08-29,588.04,588.04,0.0,paid,USD
INV-2025000016,CUST-00009,2025-04-05,2025-06-04,966.48,73.47,893.01,open,USD
INV-2025000017,CUST-00009,2025-10-12,2025-11-11,3018.78,3018.78,0.0,paid,USD
INV-2025000018,CUST-00027,2025-12-07,2025-12-22,1911.42,825.44,1085.98,open,USD
INV-2025000019,CUST-00033,2025-09-14,2025-10-29,307.77,307.77,0.0,paid,USD
INV-2025000020,CUST-00030,2025-02-01,2025-03-18,806.8,298.8,508.0,open,USD
INV-2025000021,CUST-00015,2025-02-20,2025-03-22,724.18,724.18,0.0,paid,USD
INV-2025000022,CUST-00020,2025-09-24,2025-11-08,1360.6,1360.6,0.0,paid,USD
INV-2025000023,CUST-00017,2025-11-26,2026-01-25,512.82,337.57,175.25,open,USD
INV-2025000024,CUST-00055,2025-01-03,2025-03-04,714.39,714.39,0.0,paid,USD
INV-2025000025,CUST-00062,2025-05-20,2025-07-04,652.52,652.52,0.0,paid,USD
INV-2025000026,CUST-00078,2025-09-22,2025-11-06,1377.99,695.04,682.95,open,USD
INV-2025000027,CUST-00031,2025-06-21,2025-08-05,375.87,375.87,0.0,paid,USD
INV-2025000028,CUST-00012,2025-05-31,2025-07-15,46.06,46.06,0.0,paid,USD
INV-2025000029,CUST-00074,2025-07-16,2025-08-15,240.62,240.62,0.0,paid,USD
INV-2025000030,CUST-00062,2025-08-25,2025-09-09,536.39,536.39,0.0,paid,USD
INV-2025000031,CUST-00007,2025-12-17,2026-01-01,3791.6,511.97,3279.63,open,USD
INV-2025000032,CUST-00075,2025-11-01,2025-12-01,1652.0,1051.98,600.02,open,USD
INV-2025000033,CUST-00005,2025-12-26,2026-02-09,376.72,376.72,0.0,paid,USD
INV-2025000034,CUST-00073,2025-04-12,2025-06-11,1056.61,1056.61,0.0,paid,USD
INV-2025000035,CUST-00070,2025-01-31,2025-03-02,1239.76,549.25,690.51,open,USD
INV-2025000036,CUST-00033,2025-06-02,2025-07-02,3265.32,152.66,3112.66,open,USD
INV-2025000037,CUST-00010,2025-08-05,2025-08-20,5728.95,5728.95,0.0,paid,USD
INV-2025000038,CUST-00014,2025-01-21,2025-03-07,1675.26,196.76,1478.5,open,USD
INV-2025000039,CUST-00076,2025-02-08,2025-03-25,1044.8,1044.8,0.0,paid,USD
INV-2025000040,CUST-00002,2025-08-29,2025-09-13,1407.69,1407.69,0.0,paid,USD
INV-2025000041,CUST-00045,2025-07-06,2025-09-04,430.94,430.94,0.0,paid,USD
INV-2025000042,CUST-00036,2025-07-02,2025-07-17,1792.36,1792.36,0.0,paid,USD
INV-2025000043,CUST-00044,2025-03-29,2025-04-13,854.34,563.59,290.75,open,USD
INV-2025000044,CUST-00008,2025-08-27,2025-10-11,3738.95,3738.95,0.0,paid,USD
INV-2025000045,CUST-00076,2025-04-02,2025-04-17,1930.91,1930.91,0.0,paid,USD
INV-2025000046,CUST-00056,2025-12-31,2025-03-25,4525.95,1508.65,3017.3,paid,USD
INV-2025000047,CUST-00020,2025-03-27,2025-04-26,1344.01,1344.01,0.0,paid,USD
INV-2025000048,CUST-00047,2025-03-23,2025-04-07,2165.84,2165.84,0.0,paid,USD
INV-2025000049,CUST-00029,2025-10-16,2025-11-15,837.05,837.05,0.0,paid,USD
INV-2025000050,CUST-00064,2025-11-10,2026-01-09,797.84,797.84,0.0,paid,USD
INV-2025000051,CUST-00055,2025-12-23,2026-02-06,469.33,469.33,0.0,paid,USD
INV-2025000052,CUST-00046,2025-02-11,2025-03-13,172.77,172.77,0.0,paid,USD
INV-2025000053,CUST-00031,2025-10-28,2025-11-12,2218.39,2218.39,0.0,paid,USD
INV-2025000054,CUST-00070,2025-08-25,2025-10-09,2051.88,220.58,1831.3,open,USD
INV-2025000055,CUST-00073,2025-05-06,2025-06-20,498.45,498.45,0.0,paid,USD
INV-2025000056,CUST-00067,2025-09-18,2025-10-03,3057.51,1096.8,1960.71,open,USD
INV-2025000057,CUST-00048,2025-03-18,2025-05-17,1383.04,850.58,532.46,open,USD
INV-2025000058,CUST-00078,2025-02-07,2025-02-22,643.43,629.27,14.16,open,USD
INV-2025000059,CUST-00062,2025-08-27,2025-09-26,1273.9,1273.9,0.0,paid,USD
INV-2025000060,CUST-00043,2025-12-14,2026-02-12,184.65,184.65,0.0,paid,USD
INV-2025000061,CUST-00006,2025-04-23,2025-05-08,3584.71,3584.71,0.0,paid,USD
INV-2025000062,CUST-00071,2025-10-22,2025-11-21,416.86,416.86,0.0,paid,USD
INV-2025000063,CUST-00060,2025-09-06,2025-10-06,680.29,200.45,479.84,open,USD
INV-2025000064,CUST-00025,2025-08-22,2025-10-21,2840.68,2840.68,0.0,paid,USD
INV-2025000065,CUST-00012,2025-06-30,2025-07-30,1216.42,1216.42,0.0,paid,USD
INV-2025000066,CUST-00010,2025-09-11,2025-11-10,942.23,942.23,0.0,paid,USD
INV-2025000067,CUST-00024,2025-02-13,2025-03-30,1337.36,680.46,656.9,open,USD
INV-2025000068,CUST-00040,2025-07-05,2025-08-19,496.96,496.96,0.0,paid,USD
INV-2025000069,CUST-00005,2025-07-29,2025-08-13,7525.39,7525.39,0.0,paid,USD
INV-2025000070,CUST-00059,2025-06-13,2025-06-28,595.98,595.98,0.0,paid,USD
INV-2025000071,CUST-00051,2025-06-17,2025-07-02,664.72,664.72,0.0,paid,USD
INV-2025000072,CUST-00045,2025-03-05,2025-05-04,226.04,226.04,0.0,paid,USD
INV-2025000073,CUST-00079,2025-10-21,2025-12-20,421.07,130.44,290.63,open,USD
INV-2025000074,CUST-00022,2025-11-07,2025-11-22,499.85,499.85,0.0,paid,USD
INV-2025000075,CUST-00076,2025-07-26,2025-08-10,5448.88,5448.88,0.0,paid,USD
INV-2025000076,CUST-00077,2025-09-03,2025-11-02,3744.31,3744.31,0.0,paid,USD
INV-2025000077,CUST-00054,2025-07-13,2025-08-12,777.6,777.6,0.0,paid,USD
INV-2025000078,CUST-00024,2025-01-18,2025-02-17,1792.21,1792.21,0.0,paid,USD
INV-2025000079,CUST-00019,2025-02-18,2025-04-04,3869.35,3869.35,0.0,paid,USD
INV-2025000080,CUST-00052,2025-11-11,2025-12-11,483.9,483.9,0.0,paid,USD
INV-2025000081,CUST-00018,2025-03-30,2025-04-14,4088.91,1262.84,2826.07,open,USD
INV-2025000082,CUST-00043,2025-10-31,2025-11-15,857.26,696.19,161.07,open,USD
INV-2025000083,CUST-00022,2025-10-23,2025-12-07,1754.42,20.01,1734.41,open,USD
INV-2025000084,CUST-00076,2025-04-28,2025-06-12,1074.51,24.8,1049.71,open,USD
INV-2025000085,CUST-00020,2025-01-31,2025-03-02,3248.13,3248.13,0.0,paid,USD
INV-2025000086,CUST-00002,2025-02-20,2025-04-06,2095.71,2095.71,0.0,paid,USD
INV-2025000087,CUST-00052,2025-07-25,2025-09-23,382.77,382.77,0.0,paid,USD
INV-2025000088,CUST-00063,2025-02-17,2025-03-04,843.61,843.61,0.0,paid,USD
INV-2025000089,CUST-00024,2025-05-14,2025-05-29,601.76,601.76,0.0,paid,USD
INV-2025000090,CUST-00036,2025-05-02,2025-05-17,956.26,956.26,0.0,paid,USD
INV-2025000091,CUST-00058,2025-05-24,2025-07-23,448.77,448.77,0.0,paid,USD
INV-2025000092,CUST-00053,2025-08-06,2025-09-05,3769.13,3769.13,0.0,paid,USD
