account_id,account_name,account_type,period_end,debit_balance,credit_balance
1000,Cash - Operating,asset,2025-12-31,5699.83,0.0
1010,Cash - Payroll,asset,2025-12-31,10339.37,0.0
1100,Accounts Receivable,asset,2025-12-31,11696.82,0.0
1105,Allowance for Doubtful Accounts,asset,2025-12-31,0.0,0.0
1200,Inventory,asset,2025-12-31,42144.39,0.0
1300,Prepaid Expenses,asset,2025-12-31,26493.11,0.0
1500,"Property, Plant & Equipment",asset,2025-12-31,31629.61,0.0
1510,Accumulated Depreciation,asset,2025-12-31,36233.47,0.0
2000,Accounts Payable,liability,2025-12-31,0.0,26330.53
2100,Accrued Liabilities,liability,2025-12-31,0.0,67712.86
2200,Deferred Revenue,liability,2025-12-31,0.0,33490.51
2300,Income Tax Payable,liability,2025-12-31,0.0,58747.23
2500,Long-Term Debt,liability,2025-12-31,0.0,35828.89
3000,Common Stock,equity,2025-12-31,0.0,0.0
3100,Retained Earnings,equity,2025-12-31,0.0,0.0
4000,Revenue,revenue,2025-12-31,0.0,100090.31
4100,Sales Returns & Allowances,revenue,2025-12-31,0.0,110260.84
5000,Cost of Goods Sold,expense,2025-12-31,39473.0,0.0
6000,Salaries & Wages,expense,2025-12-31,52934.93,0.0
6100,Rent Expense,expense,2025-12-31,58145.42,0.0
6200,Utilities,expense,2025-12-31,58459.54,0.0
6300,Professional Fees,expense,2025-12-31,51841.0,0.0
6400,Depreciation Expense,expense,2025-12-31,45890.77,0.0
6500,Bad Debt Expense,expense,2025-12-31,43483.74,0.0
1101,Patient Accounts Receivable,asset,2025-12-31,25484.84,0.0
1106,Contractual Allowance,asset,2025-12-31,46852.36,0.0
1107,Bad Debt Reserve - Patient,asset,2025-12-31,17249.2,0.0
4030,Net Patient Service Revenue,revenue,2025-12-31,0.0,121109.76
4040,Capitation Revenue,revenue,2025-12-31,0.0,115832.15
6010,Provider Compensation,expense,2025-12-31,23516.91,0.0
6020,Medical Supplies,expense,2025-12-31,45376.4,0.0
