entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-11-27,1107,2059.48,0.0,Reclass,rwhite,2025-11-27T16:49:00
JE-2025000001,2025-11-27,4000,0.0,2059.48,Reclass,rwhite,2025-11-27T16:49:00
JE-2025000002,2025-09-27,1510,1338.89,0.0,Payroll run,kpatel,2025-09-27T10:24:00
JE-2025000002,2025-09-27,4100,0.0,1338.89,Payroll run,kpatel,2025-09-27T10:24:00
JE-2025000003,2025-07-06,6000,721.88,0.0,Monthly accrual,kpatel,2025-07-06T15:24:00
JE-2025000003,2025-07-06,2200,0.0,721.88,Monthly accrual,kpatel,2025-07-06T15:24:00
JE-2025000004,2025-10-04,6020,421.69,0.0,Depreciation,mlopez,2025-10-04T09:18:00
JE-2025000004,2025-10-04,2200,0.0,421.69,Depreciation,mlopez,2025-10-04T09:18:00
JE-2025000005,2025-11-01,1200,101.16,0.0,Payment to vendor,sjohnson,2025-11-01T12:39:00
JE-2025000005,2025-11-01,4040,0.0,101.16,Payment to vendor,sjohnson,2025-11-01T12:39:00
JE-2025000006,2025-06-28,6000,1188.06,0.0,Cash receipt applied,jchen,2025-06-28T16:51:00
JE-2025000006,2025-06-28,2300,0.0,1188.06,Cash receipt applied,jchen,2025-06-28T16:51:00
JE-2025000007,2025-09-06,1200,1705.17,0.0,Vendor invoice booked,sjohnson,2025-09-06T11:53:00
JE-2025000007,2025-09-06,1100,0.0,1705.17,Vendor invoice booked,sjohnson,2025-09-06T11:53:00
JE-2025000008,2025-12-20,1300,690.49,0.0,Depreciation,sjohnson,2025-12-20T15:33:00
JE-2025000008,2025-12-20,4040,0.0,690.49,Depreciation,sjohnson,2025-12-20T15:33:00
JE-2025000009,2025-06-17,1300,530.32,0.0,Vendor invoice booked,kpatel,2025-06-17T08:02:00
JE-2025000009,2025-06-17,4030,0.0,530.32,Vendor invoice booked,kpatel,2025-06-17T08:02:00
JE-2025000010,2025-01-25,6200,19370.65,0.0,Payment to vendor,rwhite,2025-01-25T12:08:00
JE-2025000010,2025-01-25,1000,0.0,19370.65,Payment to vendor,rwhite,2025-01-25T12:08:00
JE-2025000011,2025-03-05,1105,163.12,0.0,Cash receipt applied,kpatel,2025-03-05T10:26:00
JE-2025000011,2025-03-05,1500,0.0,163.12,Cash receipt applied,kpatel,2025-03-05T10:26:00
JE-2025000012,2025-12-02,1010,467.37,0.0,Reclass,system_batch,2025-12-02T12:42:00
JE-2025000012,2025-12-02,4030,0.0,467.37,Reclass,system_batch,2025-12-02T12:42:00
JE-2025000013,2025-10-28,1200,4672.53,0.0,Payroll run,kpatel,2025-10-28T09:51:00
JE-2025000013,2025-10-28,1510,0.0,4672.53,Payroll run,kpatel,2025-10-28T09:51:00
JE-2025000014,2025-10-25,1000,413.38,0.0,Reclass,rwhite,2025-10-25T13:29:00
JE-2025000014,2025-10-25,1105,0.0,413.38,Reclass,rwhite,2025-10-25T13:29:00
JE-2025000015,2025-10-30,1500,1601.77,0.0,Cash receipt applied,rwhite,2025-10-30T13:03:00
JE-2025000015,2025-10-30,4000,0.0,1601.77,Cash receipt applied,rwhite,2025-10-30T13:03:00
JE-2025000016,2025-01-18,1200,624.62,0.0,Payment to vendor,sjohnson,2025-01-18T12:32:00
JE-2025000016,2025-01-18,1010,0.0,624.62,Payment to vendor,sjohnson,2025-01-18T12:32:00
JE-2025000017,2025-09-13,1106,1686.43,0.0,Payment to vendor,rwhite,2025-09-13T08:16:00
JE-2025000017,2025-09-13,4100,0.0,1686.43,Payment to vendor,rwhite,2025-09-13T08:16:00
JE-2025000018,2025-12-02,1100,493.66,0.0,Monthly accrual,jchen,2025-12-02T08:26:00
JE-2025000018,2025-12-02,4030,0.0,493.66,Monthly accrual,jchen,2025-12-02T08:26:00
JE-2025000019,2025-11-04,1101,523.44,0.0,Vendor invoice booked,jchen,2025-11-04T16:48:00
JE-2025000019,2025-11-04,1510,0.0,523.44,Vendor invoice booked,jchen,2025-11-04T16:48:00
JE-2025000020,2025-05-30,1500,76.34,0.0,Cash receipt applied,system_batch,2025-05-30T15:22:00
JE-2025000020,2025-05-30,2500,0.0,76.34,Cash receipt applied,system_batch,2025-05-30T15:22:00
JE-2025000021,2025-01-03,6010,157.07,0.0,Customer invoice posting,mlopez,2025-01-03T17:58:00
JE-2025000021,2025-01-03,1300,0.0,157.07,Customer invoice posting,mlopez,2025-01-03T17:58:00
JE-2025000022,2025-06-16,6500,409.54,0.0,Depreciation,kpatel,2025-06-16T15:43:00
JE-2025000022,2025-06-16,1200,0.0,409.54,Depreciation,kpatel,2025-06-16T15:43:00
JE-2025000023,2025-11-08,6020,303.37,0.0,Cash receipt applied,rwhite,2025-11-08T12:36:00
JE-2025000023,2025-11-08,1010,0.0,303.37,Cash receipt applied,rwhite,2025-11-08T12:36:00
JE-2025000024,2025-01-23,1300,1952.06,0.0,Cash receipt applied,mlopez,2025-01-23T13:02:00
JE-2025000024,2025-01-23,4030,0.0,1952.06,Cash receipt applied,mlopez,2025-01-23T13:02:00
JE-2025000025,2025-12-24,1100,1225.85,0.0,Monthly accrual,sjohnson,2025-12-24T12:19:00
JE-2025000025,2025-12-24,4100,0.0,1225.85,Monthly accrual,sjohnson,2025-12-24T12:19:00
JE-2025000026,2025-10-21,1510,1003.18,0.0,Vendor invoice booked,mlopez,2025-10-21T08:37:00
JE-2025000026,2025-10-21,4030,0.0,1003.18,Vendor invoice booked,mlopez,2025-10-21T08:37:00
JE-2025000027,2025-10-26,1010,531.91,0.0,Payment to vendor,kpatel,2025-10-26T11:04:00
JE-2025000027,2025-10-26,4030,0.0,531.91,Payment to vendor,kpatel,2025-10-26T11:04:00
JE-2025000028,2025-08-17,1300,92.41,0.0,Reclass,system_batch,2025-08-17T09:11:00
JE-2025000028,2025-08-17,4040,0.0,92.41,Reclass,system_batch,2025-08-17T09:11:00
JE-2025000029,2025-05-31,6010,253.65,0.0,Customer invoice posting,sjohnson,2025-05-31T17:04:00
JE-2025000029,2025-05-31,1300,0.0,253.65,Customer invoice posting,sjohnson,2025-05-31T17:04:00
JE-2025000030,2025-12-25,1000,1407.58,0.0,Monthly accrual,jchen,2025-12-25T16:34:00
JE-2025000030,2025-12-25,4030,0.0,1407.58,Monthly accrual,jchen,2025-12-25T16:34:00
JE-2025000031,2025-02-20,1101,65.75,0.0,Vendor invoice booked,rwhite,2025-02-20T08:15:00
JE-2025000031,2025-02-20,4030,0.0,65.75,Vendor invoice booked,rwhite,2025-02-20T08:15:00
JE-2025000032,2025-08-27,1106,2368.91,0.0,Vendor invoice booked,kpatel,2025-08-27T17:15:00
JE-2025000032,2025-08-27,4000,0.0,2368.91,Vendor invoice booked,kpatel,2025-08-27T17:15:00
JE-2025000033,2025-01-03,1000,2277.9,0.0,Payment to vendor,mlopez,2025-01-03T14:55:00
JE-2025000033,2025-01-03,4030,0.0,2277.9,Payment to vendor,mlopez,2025-01-03T14:55:00
JE-2025000034,2025-09-01,1500,2120.6,0.0,Cash receipt applied,kpatel,2025-09-01T09:04:00
JE-2025000034,2025-09-01,4100,0.0,2120.6,Cash receipt applied,kpatel,2025-09-01T09:04:00
JE-2025000035,2025-04-15,1000,473.28,0.0,Payment to vendor,mlopez,2025-04-15T17:09:00
JE-2025000035,2025-04-15,4040,0.0,473.28,Payment to vendor,mlopez,2025-04-15T17:09:00
JE-2025000036,2025-10-18,1500,664.72,0.0,Payment to vendor,sjohnson,2025-10-18T16:09:00
JE-2025000036,2025-10-18,4030,0.0,664.72,Payment to vendor,sjohnson,2025-10-18T16:09:00
JE-2025000037,2025-01-02,1200,227.24,0.0,Customer invoice posting,kpatel,2025-01-02T16:46:00
JE-2025000037,2025-01-02,4000,0.0,227.24,Customer invoice posting,kpatel,2025-01-02T16:46:00
JE-2025000038,2025-06-14,6000,676.25,0.0,Customer invoice posting,sjohnson,2025-06-14T17:22:00
JE-2025000038,2025-06-14,1300,0.0,676.25,Customer invoice posting,sjohnson,2025-06-14T17:22:00
JE-2025000039,2025-04-22,1000,139.82,0.0,Customer invoice posting,jchen,2025-04-22T14:29:00
JE-2025000039,2025-04-22,1105,0.0,139.82,Customer invoice posting,jchen,2025-04-22T14:29:00
JE-2025000040,2025-12-21,1100,1479.93,0.0,Monthly accrual,system_batch,2025-12-21T11:10:00
JE-2025000040,2025-12-21,4000,0.0,1479.93,Monthly accrual,system_batch,2025-12-21T11:10:00
JE-2025000041,2025-01-31,6100,273.67,0.0,Payment to vendor,rwhite,2025-01-31T08:35:00
JE-2025000041,2025-01-31,1200,0.0,273.67,Payment to vendor,rwhite,2025-01-31T08:35:00
JE-2025000042,2025-07-09,1107,302.16,0.0,Vendor invoice booked,mlopez,2025-07-09T17:44:00
JE-2025000042,2025-07-09,4100,0.0,302.16,Vendor invoice booked,mlopez,2025-07-09T17:44:00
JE-2025000043,2025-01-09,6100,232.06,0.0,Depreciation,rwhite,2025-01-09T11:22:00
JE-2025000043,2025-01-09,1200,0.0,232.06,Depreciation,rwhite,2025-01-09T11:22:00
JE-2025000044,2025-07-27,6010,936.13,0.0,Customer invoice posting,system_batch,2025-07-27T17:43:00
JE-2025000044,2025-07-27,1300,0.0,936.13,Customer invoice posting,system_batch,2025-07-27T17:43:00
JE-2025000045,2025-02-14,1000,1053.56,0.0,Monthly accrual,system_batch,2025-02-14T10:14:00
JE-2025000045,2025-02-14,1101,0.0,1053.56,Monthly accrual,system_batch,2025-02-14T10:14:00
JE-2025000046,2025-02-01,6020,675.53,0.0,Depreciation,mlopez,2025-02-01T16:31:00
JE-2025000046,2025-02-01,1101,0.0,675.53,Depreciation,mlopez,2025-02-01T16:31:00
JE-2025000047,2025-08-26,1101,116.49,0.0,Vendor invoice booked,kpatel,2025-08-26T10:41:00
JE-2025000047,2025-08-26,4040,0.0,116.49,Vendor invoice booked,kpatel,2025-08-26T10:41:00
JE-2025000048,2025-02-03,1010,210.5,0.0,Reclass,mlopez,2025-02-03T11:56:00
JE-2025000048,2025-02-03,2200,0.0,210.5,Reclass,mlopez,2025-02-03T11:56:00
JE-2025000049,2025-01-01,1500,4.6,0.0,Reclass,mlopez,2025-01-01T12:14:00
JE-2025000049,2025-01-01,1100,0.0,4.6,Reclass,mlopez,2025-01-01T12:14:00
JE-2025000050,2025-11-23,1010,341.79,0.0,Monthly accrual,kpatel,2025-11-23T15:52:00
JE-2025000050,2025-11-23,4040,0.0,341.79,Monthly accrual,kpatel,2025-11-23T15:52:00
JE-2025000051,2025-05-25,1000,129.41,0.0,Depreciation,jchen,2025-05-25T08:33:00
JE-2025000051,2025-05-25,4040,0.0,129.41,Depreciation,jchen,2025-05-25T08:33:00
JE-2025000052,2025-04-20,1300,233.65,0.0,Depreciation,jchen,2025-04-20T11:11:00
JE-2025000052,2025-04-20,4100,0.0,233.65,Depreciation,jchen,2025-04-20T11:11:00
JE-2025000053,2025-08-25,6200,135.95,0.0,Depreciation,jchen,2025-08-25T14:24:00
JE-2025000053,2025-08-25,2000,0.0,135.95,Depreciation,jchen,2025-08-25T14:24:00
JE-2025000054,2025-05-19,1510,235.74,0.0,Payroll run,rwhite,2025-05-19T15:29:00
JE-2025000054,2025-05-19,4100,0.0,235.74,Payroll run,rwhite,2025-05-19T15:29:00
JE-2025000055,2025-04-04,6000,264.22,0.0,Payment to vendor,jchen,2025-04-04T17:07:00
JE-2025000055,2025-04-04,2200,0.0,264.22,Payment to vendor,jchen,2025-04-04T17:07:00
JE-2025000056,2025-06-17,1100,143.62,0.0,Depreciation,system_batch,2025-06-17T11:30:00
JE-2025000056,2025-06-17,4100,0.0,143.62,Depreciation,system_batch,2025-06-17T11:30:00
JE-2025000057,2025-01-30,6000,496.66,0.0,Payroll run,system_batch,2025-01-30T13:20:00
JE-2025000057,2025-01-30,1105,0.0,496.66,Payroll run,system_batch,2025-01-30T13:20:00
JE-2025000058,2025-06-21,6300,69.23,0.0,Cash receipt applied,sjohnson,2025-06-21T09:25:00
JE-2025000058,2025-06-21,2100,0.0,69.23,Cash receipt applied,sjohnson,2025-06-21T09:25:00
JE-2025000059,2025-12-10,6010,347.07,0.0,Monthly accrual,rwhite,2025-12-10T15:09:00
JE-2025000059,2025-12-10,1100,0.0,347.07,Monthly accrual,rwhite,2025-12-10T15:09:00
JE-2025000060,2025-07-17,1101,448.97,0.0,Cash receipt applied,mlopez,2025-07-17T16:12:00
JE-2025000060,2025-07-17,2000,0.0,448.97,Cash receipt applied,mlopez,2025-07-17T16:12:00
JE-2025000061,2025-05-03,6100,1038.58,0.0,Vendor invoice booked,sjohnson,2025-05-03T12:36:00
JE-2025000061,2025-05-03,2100,0.0,1038.58,Vendor invoice booked,sjohnson,2025-05-03T12:36:00
JE-2025000062,2025-04-03,6200,259.92,0.0,Depreciation,system_batch,2025-04-03T08:01:00
JE-2025000062,2025-04-03,2200,0.0,259.92,Depreciation,system_batch,2025-04-03T08:01:00
JE-2025000063,2025-12-18,6100,685.42,0.0,Payroll run,sjohnson,2025-12-18T13:51:00
JE-2025000063,2025-12-18,1105,0.0,685.42,Payroll run,sjohnson,2025-12-18T13:51:00
JE-2025000064,2025-01-03,1105,243.57,0.0,Monthly accrual,jchen,2025-01-03T16:50:00
JE-2025000064,2025-01-03,1107,0.0,243.57,Monthly accrual,jchen,2025-01-03T16:50:00
JE-2025000065,2025-04-10,1101,1898.54,0.0,Customer invoice posting,jchen,2025-04-10T15:51:00
JE-2025000065,2025-04-10,4000,0.0,1898.54,Customer invoice posting,jchen,2025-04-10T15:51:00
JE-2025000066,2025-08-23,1107,719.69,0.0,Cash receipt applied,jchen,2025-08-23T10:59:00
JE-2025000066,2025-08-23,4100,0.0,719.69,Cash receipt applied,jchen,2025-08-23T10:59:00
JE-2025000067,2025-12-13,1106,312.92,0.0,Monthly accrual,rwhite,2025-12-13T12:34:00
JE-2025000067,2025-12-13,4040,0.0,312.92,Monthly accrual,rwhite,2025-12-13T12:34:00
JE-2025000068,2025-02-03,1000,6349.15,0.0,Payment to vendor,system_batch,2025-02-03T16:28:00
JE-2025000068,2025-02-03,2300,0.0,6349.15,Payment to vendor,system_batch,2025-02-03T16:28:00
JE-2025000069,2025-03-31,5000,118.35,0.0,Monthly accrual,rwhite,2025-03-31T09:40:00
JE-2025000069,2025-03-31,1101,0.0,118.35,Monthly accrual,rwhite,2025-03-31T09:40:00
