sku,description,category,unit_cost,on_hand_qty,reorder_point,last_received_date
SKU-000001,Pharma item 1,Device,18.05,323,85,2025-08-17
SKU-000002,Device item 2,PPE,35.59,84,61,2025-10-17
SKU-000003,Device item 3,PPE,26.7,230,22,2025-10-10
SKU-000004,Pharma item 4,Pharma,7.64,221,68,2025-05-23
SKU-000005,Supply item 5,Device,9.89,484,38,2025-06-09
SKU-000006,Supply item 6,Device,85.8,126,94,2025-12-23
SKU-000007,Pharma item 7,Pharma,5.69,34,24,2025-11-02
SKU-000008,PPE item 8,PPE,12.9,152,60,2025-02-18
SKU-000009,PPE item 9,Device,19.23,279,92,2025-04-17
SKU-000010,Device item 10,Pharma,88.84,231,90,2025-01-25
SKU-000011,PPE item 11,Pharma,10.3,100,75,2025-04-15
SKU-000012,Pharma item 12,Device,8.97,228,27,2025-08-08
SKU-000013,Pharma item 13,Pharma,15.79,462,87,2025-08-01
SKU-000014,PPE item 14,Pharma,63.38,328,11,2025-04-27
SKU-000015,Supply item 15,Device,6.89,221,41,2025-01-25
SKU-000016,Device item 16,Pharma,23.0,133,31,2025-10-18
SKU-000017,PPE item 17,Supply,36.18,69,77,2025-06-30
SKU-000018,Pharma item 18,Pharma,12.79,84,28,2025-10-19
SKU-000019,Supply item 19,Pharma,9.28,367,16,2025-12-19
SKU-000020,Device item 20,Device,12.21,5,51,2025-06-19
SKU-000021,Supply item 21,Device,15.69,40,30,2025-11-03
SKU-000022,PPE item 22,Device,25.13,50,37,2025-03-25
SKU-000023,Pharma item 23,Pharma,70.26,56,66,2025-04-21
SKU-000024,PPE item 24,Pharma,37.55,137,30,2025-04-13
SKU-000025,Pharma item 25,PPE,21.19,341,36,2025-06-03
SKU-000026,Device item 26,Supply,7.42,421,63,2025-08-03
SKU-000027,PPE item 27,Device,24.61,124,13,2025-05-24
SKU-000028,PPE item 28,PPE,25.89,132,81,2025-04-17
SKU-000029,Pharma item 29,Device,40.05,443,56,2025-04-18
SKU-000030,Supply item 30,Device,30.24,436,52,2025-07-31
SKU-000031,Device item 31,Device,11.75,275,43,2025-04-14
SKU-000032,Pharma item 32,Device,29.98,240,94,2025-07-28
SKU-000033,Device item 33,Supply,7.26,236,40,2025-10-01
SKU-000034,PPE item 34,PPE,8.17,17,81,2025-02-09
SKU-000035,Supply item 35,PPE,4.05,88,27,2025-01-17
SKU-000036,PPE item 36,Supply,186.42,93,23,2025-10-08
SKU-000037,Device item 37,PPE,18.93,380,13,2025-03-16
SKU-000038,PPE item 38,Device,14.67,123,93,2025-02-28
SKU-000039,Supply item 39,Supply,51.93,437,99,2025-09-03
SKU-000040,Device item 40,Pharma,23.75,34,43,2025-08-14
SKU-000041,Supply item 41,Supply,46.6,270,81,2025-03-20
SKU-000042,PPE item 42,Device,6.97,488,21,2025-09-04
SKU-000043,Device item 43,Supply,8.48,435,21,2025-08-10
SKU-000044,Device item 44,Supply,38.8,220,53,2025-09-03
SKU-000045,Pharma item 45,Supply,115.21,102,29,2025-09-24
SKU-000046,Pharma item 46,PPE,10.59,105,73,2025-03-21
SKU-000047,Device item 47,Supply,72.11,11,26,2025-05-17
SKU-000048,Supply item 48,Pharma,10.16,164,58,2025-03-08
