entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-01-27,1106,385.58,0.0,Monthly accrual,kpatel,2025-01-27T12:26:00
JE-2025000001,2025-01-27,4040,0.0,385.58,Monthly accrual,kpatel,2025-01-27T12:26:00
JE-2025000002,2025-07-25,1000,252.61,0.0,Depreciation,system_batch,2025-07-25T16:03:00
JE-2025000002,2025-07-25,4040,0.0,252.61,Depreciation,system_batch,2025-07-25T16:03:00
JE-2025000003,2025-09-27,1000,383.85,0.0,Payroll run,mlopez,2025-09-27T11:54:00
JE-2025000003,2025-09-27,4030,0.0,383.85,Payroll run,mlopez,2025-09-27T11:54:00
JE-2025000004,2025-09-06,1510,198.62,0.0,Vendor invoice booked,mlopez,2025-09-06T12:13:00
JE-2025000004,2025-09-06,4040,0.0,198.62,Vendor invoice booked,mlopez,2025-09-06T12:13:00
JE-2025000005,2025-04-07,1100,206.59,0.0,Payment to vendor,mlopez,2025-04-07T10:40:00
JE-2025000005,2025-04-07,4000,0.0,206.59,Payment to vendor,mlopez,2025-04-07T10:40:00
JE-2025000006,2025-07-27,1500,1816.87,0.0,Monthly accrual,rwhite,2025-07-27T09:52:00
JE-2025000006,2025-07-27,4000,0.0,1816.87,Monthly accrual,rwhite,2025-07-27T09:52:00
JE-2025000007,2025-04-22,6100,88.23,0.0,Cash receipt applied,mlopez,2025-04-22T12:47:00
JE-2025000007,2025-04-22,2200,0.0,88.23,Cash receipt applied,mlopez,2025-04-22T12:47:00
JE-2025000008,2025-09-30,1500,231.44,0.0,Payment to vendor,kpatel,2025-09-30T09:20:00
JE-2025000008,2025-09-30,4000,0.0,231.44,Payment to vendor,kpatel,2025-09-30T09:20:00
JE-2025000009,2025-06-08,1107,3258.72,0.0,Customer invoice posting,mlopez,2025-06-08T16:45:00
JE-2025000009,2025-06-08,4040,0.0,3258.72,Customer invoice posting,mlopez,2025-06-08T16:45:00
JE-2025000010,2025-07-21,6020,710.32,0.0,Payment to vendor,kpatel,2025-07-21T17:28:00
JE-2025000010,2025-07-21,1200,0.0,710.32,Payment to vendor,kpatel,2025-07-21T17:28:00
JE-2025000011,2025-06-19,5000,472.41,0.0,Cash receipt applied,sjohnson,2025-06-19T11:40:00
JE-2025000011,2025-06-19,2100,0.0,472.41,Cash receipt applied,sjohnson,2025-06-19T11:40:00
JE-2025000012,2025-01-12,6010,316.22,0.0,Payment to vendor,mlopez,2025-01-12T08:45:00
JE-2025000012,2025-01-12,1100,0.0,316.22,Payment to vendor,mlopez,2025-01-12T08:45:00
JE-2025000013,2025-06-10,1100,226.98,0.0,Customer invoice posting,jchen,2025-06-10T12:18:00
JE-2025000013,2025-06-10,4100,0.0,226.98,Customer invoice posting,jchen,2025-06-10T12:18:00
JE-2025000014,2025-01-23,1510,1664.21,0.0,Vendor invoice booked,system_batch,2025-01-23T08:21:00
JE-2025000014,2025-01-23,4000,0.0,1664.21,Vendor invoice booked,system_batch,2025-01-23T08:21:00
JE-2025000015,2025-04-25,6400,682.46,0.0,Depreciation,sjohnson,2025-04-25T16:02:00
JE-2025000015,2025-04-25,2000,0.0,682.46,Depreciation,sjohnson,2025-04-25T16:02:00
JE-2025000016,2025-07-31,1500,443.33,0.0,Depreciation,mlopez,2025-07-31T08:43:00
JE-2025000016,2025-07-31,4000,0.0,443.33,Depreciation,mlopez,2025-07-31T08:43:00
