sku,description,category,unit_cost,on_hand_qty,reorder_point,last_received_date
SKU-000001,Supply item 1,Pharma,22.75,289,81,2025-11-30
SKU-000002,Pharma item 2,PPE,19.77,55,90,2025-03-26
SKU-000003,Pharma item 3,Pharma,4.48,230,77,2025-03-04
SKU-000004,Device item 4,PPE,16.19,475,91,2025-12-03
SKU-000005,PPE item 5,Device,28.04,111,39,2025-08-15
SKU-000006,PPE item 6,PPE,56.81,86,39,2025-03-20
SKU-000007,Pharma item 7,Pharma,12.1,115,33,2025-06-20
SKU-000008,Supply item 8,Device,55.25,120,44,2025-12-29
SKU-000009,Supply item 9,Supply,62.51,276,39,2025-12-19
SKU-000010,PPE item 10,PPE,13.17,170,40,2025-06-19
SKU-000011,PPE item 11,Device,30.61,336,77,2025-04-21
SKU-000012,Supply item 12,PPE,31.0,499,60,2025-04-28
SKU-000013,PPE item 13,PPE,22.49,344,57,2025-04-27
SKU-000014,Pharma item 14,Device,30.62,288,69,2025-10-03
SKU-000015,Supply item 15,Supply,110.9,202,20,2025-06-02
SKU-000016,PPE item 16,Device,6.14,370,29,2025-02-19
SKU-000017,Device item 17,Device,8.32,378,46,2025-08-30
SKU-000018,Supply item 18,Pharma,7.05,97,44,2025-02-16
SKU-000019,Device item 19,Device,10.68,486,10,2025-02-07
SKU-000020,Device item 20,Device,38.44,449,14,2025-03-24
SKU-000021,Pharma item 21,Supply,29.62,3,74,2025-05-28
SKU-000022,PPE item 22,Device,7.39,254,77,2025-11-01
SKU-000023,Device item 23,Supply,18.35,48,41,2025-09-30
SKU-000024,Supply item 24,Device,20.39,228,89,2025-08-09
SKU-000025,Pharma item 25,Supply,31.75,312,35,2025-08-21
SKU-000026,Supply item 26,Device,12.02,274,98,2025-01-30
SKU-000027,Supply item 27,PPE,11.33,65,37,2025-05-21
SKU-000028,Pharma item 28,Device,17.86,199,79,2025-10-03
SKU-000029,Pharma item 29,PPE,19.84,106,51,2025-09-17
SKU-000030,Device item 30,PPE,5.14,142,72,2025-01-26
SKU-000031,Device item 31,Device,52.24,152,52,2025-04-30
SKU-000032,Device item 32,PPE,10.92,197,27,2025-10-11
SKU-000033,Supply item 33,Device,18.59,446,13,2025-02-16
SKU-000034,Supply item 34,PPE,11.88,67,31,2025-07-10
SKU-000035,Supply item 35,Device,16.75,295,31,2025-03-18
SKU-000036,Supply item 36,Pharma,46.31,64,17,2025-11-26
SKU-000037,Pharma item 37,PPE,37.39,462,73,2025-02-27
SKU-000038,Supply item 38,Device,23.35,295,58,2025-02-03
SKU-000039,Device item 39,Pharma,24.16,67,85,2025-11-27
SKU-000040,Pharma item 40,Pharma,13.32,121,49,2025-11-12
SKU-000041,Supply item 41,Pharma,29.92,418,39,2025-07-15
SKU-000042,Supply item 42,Device,48.42,132,47,2025-06-07
SKU-000043,Pharma item 43,Pharma,27.19,196,61,2025-06-26
SKU-000044,PPE item 44,Device,46.22,178,63,2025-09-08
SKU-000045,PPE item 45,Supply,6.49,194,18,2025-05-07
SKU-000046,Pharma item 46,Supply,61.34,210,26,2025-06-16
SKU-000047,Supply item 47,Device,4.22,492,94,2025-12-01
SKU-000048,PPE item 48,Supply,110.93,287,29,2025-09-05
SKU-000049,PPE item 49,PPE,32.1,13,25,2025-04-01
SKU-000050,PPE item 50,Pharma,53.49,90,33,2025-03-12
SKU-000051,Pharma item 51,Pharma,20.16,366,34,2025-10-20
SKU-000052,Pharma item 52,PPE,37.56,253,91,2025-07-14
SKU-000053,PPE item 53,Pharma,23.01,473,14,2025-10-14
SKU-000054,PPE item 54,Device,7.34,322,81,2025-04-27
SKU-000055,PPE item 55,PPE,16.43,35,53,2025-03-15
SKU-000056,PPE item 56,Pharma,66.52,353,97,2025-07-07
SKU-000057,Device item 57,Device,12.14,227,94,2025-07-29
SKU-000058,PPE item 58,Pharma,33.35,393,10,2025-07-20
SKU-000059,Pharma item 59,PPE,53.14,191,47,2025-01-03
SKU-000060,Device item 60,Device,41.06,144,51,2025-07-05
SKU-000061,Pharma item 61,Pharma,211.3,379,67,2025-08-11
SKU-000062,PPE item 62,Device,46.2,283,62,2025-07-11
SKU-000063,PPE item 63,Supply,21.87,367,29,2025-10-11
SKU-000064,PPE item 64,Device,21.58,290,19,2025-02-14
SKU-000065,Device item 65,Supply,100.64,67,59,2025-12-27
SKU-000066,Supply item 66,Device,16.02,260,81,2025-12-25
SKU-000067,Device item 67,Pharma,23.68,248,24,2025-08-18
SKU-000068,Pharma item 68,PPE,25.35,237,63,2025-08-19
SKU-000069,Device item 69,Device,28.29,11,77,2025-01-28
SKU-000070,Device item 70,PPE,21.02,384,11,2025-06-25
SKU-000071,PPE item 71,Pharma,35.82,269,81,2025-10-13
SKU-000072,Pharma item 72,Supply,20.93,239,93,2025-04-19
SKU-000073,Supply item 73,Pharma,22.69,493,24,2025-06-17
SKU-000074,Supply item 74,Pharma,139.47,420,93,2025-02-20
SKU-000075,PPE item 75,Supply,46.89,139,76,2025-09-10
SKU-000076,Supply item 76,Supply,14.85,155,21,2025-02-08
