account_id,account_name,period_end,originally_reported,restated,restatement_reason
1000,Cash - Operating,2024-12-31,8937.59,8937.59,
1010,Cash - Payroll,2024-12-31,16961.5,16961.5,
1100,Accounts Receivable,2024-12-31,5087.66,5087.66,
1105,Allowance for Doubtful Accounts,2024-12-31,6232.45,6232.45,
1200,Inventory,2024-12-31,26423.63,26423.63,
1300,Prepaid Expenses,2024-12-31,31660.54,31660.54,
1500,"Property, Plant & Equipment",2024-12-31,14894.42,14894.42,
1510,Accumulated Depreciation,2024-12-31,46607.46,46607.46,
2000,Accounts Payable,2024-12-31,8186.36,8186.36,
2100,Accrued Liabilities,2024-12-31,2665.17,2665.17,
2200,Deferred Revenue,2024-12-31,79969.18,79969.18,
2300,Income Tax Payable,2024-12-31,3137.64,3137.64,
2500,Long-Term Debt,2024-12-31,4967.5,4967.5,
3000,Common Stock,2024-12-31,0.0,0.0,
3100,Retained Earnings,2024-12-31,0.0,0.0,
4000,Revenue,2024-12-31,1946.83,1946.83,
4100,Sales Returns & Allowances,2024-12-31,36001.97,36001.97,
5000,Cost of Goods Sold,2024-12-31,8563.03,8563.03,
6000,Salaries & Wages,2024-12-31,7363.63,7363.63,
6100,Rent Expense,2024-12-31,5324.72,5324.72,
6200,Utilities,2024-12-31,6138.82,6138.82,
6300,Professional Fees,2024-12-31,6046.45,6046.45,
6400,Depreciation Expense,2024-12-31,8014.0,8014.0,
6500,Bad Debt Expense,2024-12-31,21733.02,21733.02,
1101,Patient Accounts Receivable,2024-12-31,5195.54,5195.54,
1106,Contractual Allowance,2024-12-31,24922.81,24922.81,
1107,Bad Debt Reserve - Patient,2024-12-31,4617.76,4617.76,
4030,Net Patient Service Revenue,2024-12-31,3751.66,3751.66,
4040,Capitation Revenue,2024-12-31,27726.2,27726.2,
6010,Provider Compensation,2024-12-31,15903.62,15903.62,
6020,Medical Supplies,2024-12-31,1743.59,1743.59,
