customer_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
CUST-00001,2025-12-31,2231.58,0.0,516.38,2309.01,1972.21,7029.18
CUST-00002,2025-12-31,0.0,0.0,0.0,0.0,472.01,472.01
CUST-00003,2025-12-31,0.0,0.0,0.0,0.0,1708.99,1708.99
CUST-00004,2025-12-31,0.0,0.0,0.0,0.0,1906.6,1906.6
CUST-00006,2025-12-31,0.0,0.0,0.0,0.0,3504.09,3504.09
CUST-00007,2025-12-31,0.0,0.0,0.0,0.0,322.47,322.47
CUST-00008,2025-12-31,0.0,0.0,0.0,0.0,3217.29,3217.29
CUST-00009,2025-12-31,0.0,0.0,0.0,0.0,119.25,119.25
CUST-00010,2025-12-31,0.0,0.0,0.0,0.0,3127.75,3127.75
CUST-00011,2025-12-31,2282.52,0.0,34.52,0.0,7286.35,9603.39
CUST-00012,2025-12-31,0.0,0.0,0.0,0.0,11705.54,11705.54
CUST-00013,2025-12-31,0.0,445.96,0.0,0.0,584.9,1030.86
CUST-00014,2025-12-31,248.19,0.0,922.44,0.0,1451.0,2621.63
CUST-00015,2025-12-31,0.0,0.0,0.0,0.0,2810.38,2810.38
CUST-00016,2025-12-31,0.0,0.0,0.0,215.58,559.38,774.96
CUST-00017,2025-12-31,0.0,0.0,0.0,0.0,5263.1,5263.1
CUST-00018,2025-12-31,0.0,0.0,0.0,0.0,578.57,578.57
CUST-00019,2025-12-31,32.83,0.0,75.8,0.0,362.64,471.27
CUST-00020,2025-12-31,0.0,0.0,0.0,25.39,1066.65,1092.04
CUST-00021,2025-12-31,0.0,0.0,0.0,0.0,2170.6,2170.6
CUST-00022,2025-12-31,231.24,0.0,0.0,0.0,0.0,231.24
CUST-00023,2025-12-31,591.39,0.0,0.0,0.0,1157.1,1748.49
CUST-00024,2025-12-31,0.0,72.23,0.0,0.0,0.0,72.23
CUST-00025,2025-12-31,0.0,0.0,679.17,213.74,471.15,1364.06
CUST-00026,2025-12-31,1085.71,0.0,734.99,1464.07,2665.96,5950.73
CUST-00027,2025-12-31,0.0,0.0,0.0,1233.19,414.06,1647.25
CUST-00028,2025-12-31,0.0,0.0,0.0,0.0,532.62,532.62
CUST-00030,2025-12-31,0.0,0.0,986.92,688.96,141.9,1817.78
CUST-00031,2025-12-31,0.0,0.0,0.0,3845.55,0.0,3845.55
