account_id,quarter,forecast_amount,forecast_as_of
4000,2025Q1,11474.48,2025-01-01
4000,2025Q2,7304.42,2025-01-01
4000,2025Q3,25859.96,2025-01-01
4000,2025Q4,23101.11,2025-01-01
4100,2025Q1,18222.15,2025-01-01
4100,2025Q2,3818.65,2025-01-01
4100,2025Q3,32800.48,2025-01-01
4100,2025Q4,41497.05,2025-01-01
5000,2025Q1,21042.24,2025-01-01
5000,2025Q2,16292.66,2025-01-01
5000,2025Q3,16988.5,2025-01-01
5000,2025Q4,9397.02,2025-01-01
6000,2025Q1,5035.14,2025-01-01
6000,2025Q2,3205.67,2025-01-01
6000,2025Q3,9229.65,2025-01-01
6000,2025Q4,7044.45,2025-01-01
6100,2025Q1,5717.58,2025-01-01
6100,2025Q2,38043.91,2025-01-01
6100,2025Q3,19186.64,2025-01-01
6100,2025Q4,6946.59,2025-01-01
6200,2025Q1,17822.14,2025-01-01
6200,2025Q2,15469.13,2025-01-01
6200,2025Q3,6620.87,2025-01-01
6200,2025Q4,7187.97,2025-01-01
6300,2025Q1,9497.57,2025-01-01
6300,2025Q2,15128.62,2025-01-01
6300,2025Q3,7425.09,2025-01-01
6300,2025Q4,6354.9,2025-01-01
6400,2025Q1,29724.73,2025-01-01
6400,2025Q2,16031.33,2025-01-01
6400,2025Q3,22190.51,2025-01-01
6400,2025Q4,43724.71,2025-01-01
6500,2025Q1,15556.86,2025-01-01
6500,2025Q2,18134.57,2025-01-01
6500,2025Q3,11794.01,2025-01-01
6500,2025Q4,22679.64,2025-01-01
4030,2025Q1,15320.37,2025-01-01
4030,2025Q2,3764.29,2025-01-01
4030,2025Q3,7712.18,2025-01-01
4030,2025Q4,30846.5,2025-01-01
4040,2025Q1,18835.63,2025-01-01
4040,2025Q2,4990.12,2025-01-01
4040,2025Q3,13251.14,2025-01-01
4040,2025Q4,16347.56,2025-01-01
6010,2025Q1,20323.85,2025-01-01
6010,2025Q2,18213.71,2025-01-01
6010,2025Q3,27918.41,2025-01-01
6010,2025Q4,4341.44,2025-01-01
6020,2025Q1,11827.79,2025-01-01
6020,2025Q2,16421.3,2025-01-01
6020,2025Q3,12736.87,2025-01-01
6020,2025Q4,5313.78,2025-01-01
