bill_id,vendor_id,invoice_number,invoice_date,due_date,po_number,amount,paid_amount,balance,status,approved_by
BILL-2025000001,VEND-00148,V91795,2025-11-02,2026-01-01,PO-857956,138.55,138.55,0.0,paid,kpatel
BILL-2025000002,VEND-00040,V12650,2025-07-22,2025-09-20,PO-396278,723.17,723.17,0.0,paid,kpatel
BILL-2025000003,VEND-00144,V50378,2025-03-28,2025-05-27,PO-307709,612.41,612.41,0.0,paid,rwhite
BILL-2025000004,VEND-00048,V88944,2025-03-06,2025-04-05,PO-881995,734.63,734.63,0.0,paid,mlopez
BILL-2025000005,VEND-00011,V86614,2025-11-21,2025-12-21,PO-568875,273.35,273.35,0.0,paid,rwhite
BILL-2025000006,VEND-00024,V11616,2025-08-24,2025-09-23,PO-521004,386.67,386.67,0.0,paid,kpatel
BILL-2025000007,VEND-00102,V40809,2025-03-07,2025-04-21,PO-221639,652.08,652.08,0.0,paid,mlopez
BILL-2025000008,VEND-00005,V82602,2025-07-13,2025-08-27,PO-303128,928.7,888.0,40.7,open,sjohnson
BILL-2025000009,VEND-00068,V44725,2025-08-19,2025-10-03,,1165.85,1165.85,0.0,paid,mlopez
BILL-2025000010,VEND-00121,V52078,2025-11-27,2026-01-11,PO-803570,1051.64,1051.64,0.0,paid,kpatel
BILL-2025000011,VEND-00085,V52625,2025-06-28,2025-08-12,PO-580101,209.43,209.43,0.0,paid,mlopez
BILL-2025000012,VEND-00052,V93063,2025-04-13,2025-05-28,PO-305120,1589.25,1589.25,0.0,paid,kpatel
BILL-2025000013,VEND-00005,V29741,2025-03-30,2025-05-29,PO-894170,4780.57,3003.93,1776.64,open,mlopez
BILL-2025000014,VEND-00035,V91325,2025-10-04,2025-12-03,PO-200469,1251.22,893.74,357.48,open,mlopez
BILL-2025000015,VEND-00105,V12209,2025-04-05,2025-05-05,PO-727663,124.28,124.28,0.0,paid,kpatel
BILL-2025000016,VEND-00035,V79902,2025-08-10,2025-09-09,PO-403231,401.1,315.04,86.06,open,kpatel
BILL-2025000017,VEND-00038,V81277,2025-12-18,2026-02-16,PO-280435,1484.44,1484.44,0.0,paid,rwhite
BILL-2025000018,VEND-00090,V15886,2025-08-05,2025-10-04,PO-399305,1355.61,1355.61,0.0,paid,sjohnson
BILL-2025000019,VEND-00006,V76735,2025-11-28,2025-12-28,PO-538813,1223.48,717.84,505.64,open,kpatel
BILL-2025000020,VEND-00071,V57919,2025-11-25,2025-12-25,PO-560972,1523.48,1523.48,0.0,paid,mlopez
BILL-2025000021,VEND-00117,V60073,2025-03-28,2025-05-27,PO-397241,499.46,209.03,290.43,open,kpatel
BILL-2025000022,VEND-00012,V74500,2025-10-25,2025-12-09,PO-969397,740.09,595.28,144.81,open,sjohnson
BILL-2025000023,VEND-00144,V45759,2025-11-06,2025-12-06,,2266.61,2266.61,0.0,paid,kpatel
