invoice_id,customer_id,invoice_date,due_date,amount,paid_amount,balance,status,currency
INV-2025000001,CUST-00050,2025-07-03,2025-09-01,3647.55,3647.55,0.0,paid,USD
INV-2025000002,CUST-00052,2025-07-25,2025-09-08,4477.72,4477.72,0.0,paid,USD
INV-2025000003,CUST-00374,2025-05-13,2025-07-12,172.38,172.38,0.0,paid,USD
INV-2025000004,CUST-00199,2025-11-14,2025-12-14,5231.15,5231.15,0.0,paid,USD
INV-2025000005,CUST-00021,2025-03-10,2025-04-24,7977.66,7977.66,0.0,paid,USD
INV-2025000006,CUST-00029,2025-06-21,2025-07-21,133.51,133.51,0.0,paid,USD
INV-2025000007,CUST-00303,2025-09-27,2025-10-12,2246.8,2246.8,0.0,paid,USD
INV-2025000008,CUST-00180,2025-03-14,2025-05-13,5713.29,5713.29,0.0,paid,USD
INV-2025000009,CUST-00346,2025-12-18,2026-01-17,1933.68,1058.9,874.78,open,USD
INV-2025000010,CUST-00065,2025-01-03,2025-01-18,395.25,395.25,0.0,paid,USD
INV-2025000011,CUST-00108,2025-01-25,2025-03-26,245.92,85.33,160.59,open,USD
INV-2025000012,CUST-00172,2025-04-30,2025-06-29,280.79,280.79,0.0,paid,USD
INV-2025000013,CUST-00080,2025-06-13,2025-07-13,1870.8,1870.8,0.0,paid,USD
INV-2025000014,CUST-00165,2025-11-23,2025-12-23,1145.35,1145.35,0.0,paid,USD
INV-2025000015,CUST-00130,2025-01-06,2025-03-07,1940.49,1559.16,381.33,open,USD
INV-2025000016,CUST-00108,2025-03-08,2025-04-07,739.88,259.63,480.25,open,USD
INV-2025000017,CUST-00080,2025-05-05,2025-07-04,509.16,327.29,181.87,open,USD
INV-2025000018,CUST-00211,2025-08-28,2025-09-27,5559.3,5559.3,0.0,paid,USD
INV-2025000019,CUST-00216,2025-01-30,2025-03-31,4521.66,4521.66,0.0,paid,USD
INV-2025000020,CUST-00318,2025-03-22,2025-05-21,2397.02,2397.02,0.0,paid,USD
INV-2025000021,CUST-00269,2025-02-24,2025-04-10,2217.27,1103.95,1113.32,open,USD
INV-2025000022,CUST-00286,2025-10-13,2025-11-27,6150.33,4768.98,1381.35,open,USD
INV-2025000023,CUST-00139,2025-02-19,2025-03-06,769.28,769.28,0.0,paid,USD
INV-2025000024,CUST-00312,2025-11-27,2026-01-26,172.19,172.19,0.0,paid,USD
INV-2025000025,CUST-00083,2025-12-09,2026-02-07,1049.81,943.09,106.72,open,USD
INV-2025000026,CUST-00339,2025-10-30,2025-12-14,428.54,428.54,0.0,paid,USD
INV-2025000027,CUST-00240,2025-12-27,2026-01-11,156.81,32.1,124.71,open,USD
INV-2025000028,CUST-00216,2025-01-07,2025-02-21,995.69,995.69,0.0,paid,USD
INV-2025000029,CUST-00065,2025-10-05,2025-11-19,6644.92,6644.92,0.0,paid,USD
INV-2025000030,CUST-00395,2025-04-30,2025-05-30,3014.66,183.07,2831.59,open,USD
INV-2025000031,CUST-00390,2025-12-25,2026-02-23,523.14,275.54,247.6,open,USD
INV-2025000032,CUST-00223,2025-02-10,2025-04-11,2182.91,2182.91,0.0,paid,USD
INV-2025000033,CUST-00242,2025-06-14,2025-07-14,844.15,786.05,58.1,open,USD
INV-2025000034,CUST-00329,2025-10-31,2025-12-15,23369.88,23369.88,0.0,paid,USD
INV-2025000035,CUST-00089,2025-09-04,2025-10-04,219.77,194.7,25.07,open,USD
INV-2025000036,CUST-00312,2025-01-06,2025-02-20,2778.22,2778.22,0.0,paid,USD
INV-2025000037,CUST-00014,2025-07-12,2025-09-10,1046.58,875.5,171.08,open,USD
INV-2025000038,CUST-00081,2025-10-04,2025-10-19,298.0,129.64,168.36,open,USD
INV-2025000039,CUST-00327,2025-08-18,2025-10-02,4855.7,4855.7,0.0,paid,USD
INV-2025000040,CUST-00058,2025-05-04,2025-06-03,5264.69,5264.69,0.0,paid,USD
INV-2025000041,CUST-00365,2025-07-12,2025-07-27,872.94,701.87,171.07,open,USD
INV-2025000042,CUST-00299,2025-05-31,2025-07-30,609.37,602.14,7.23,open,USD
INV-2025000043,CUST-00354,2025-02-14,2025-03-16,1381.61,1381.61,0.0,paid,USD
INV-2025000044,CUST-00391,2025-07-19,2025-08-03,432.84,432.84,0.0,paid,USD
INV-2025000045,CUST-00304,2025-10-10,2025-11-09,482.38,364.3,118.08,open,USD
INV-2025000046,CUST-00393,2025-06-06,2025-07-06,2116.51,2116.51,0.0,paid,USD
INV-2025000047,CUST-00320,2025-12-06,2026-02-04,185.32,31.53,153.79,open,USD
INV-2025000048,CUST-00270,2025-05-15,2025-06-29,2291.94,2291.94,0.0,paid,USD
INV-2025000049,CUST-00112,2025-07-09,2025-08-23,2177.96,2177.96,0.0,paid,USD
INV-2025000050,CUST-00159,2025-06-05,2025-07-05,223.74,223.74,0.0,paid,USD
INV-2025000051,CUST-00365,2025-06-30,2025-07-30,1771.6,1771.6,0.0,paid,USD
INV-2025000052,CUST-00242,2025-10-29,2025-12-13,4344.67,4344.67,0.0,paid,USD
INV-2025000053,CUST-00142,2025-05-31,2025-07-15,12892.1,356.73,12535.37,open,USD
INV-2025000054,CUST-00149,2025-03-10,2025-03-25,957.5,957.5,0.0,paid,USD
INV-2025000055,CUST-00048,2025-10-17,2025-11-16,799.27,799.27,0.0,paid,USD
INV-2025000056,CUST-00104,2025-04-20,2025-06-19,1565.82,1565.82,0.0,paid,USD
INV-2025000057,CUST-00208,2025-02-15,2025-04-16,1497.1,1497.1,0.0,paid,USD
INV-2025000058,CUST-00047,2025-02-27,2025-03-14,2247.37,669.63,1577.74,open,USD
INV-2025000059,CUST-00104,2025-03-03,2025-04-17,2342.48,1630.09,712.39,open,USD
INV-2025000060,CUST-00203,2025-01-16,2025-03-17,782.48,782.48,0.0,paid,USD
INV-2025000061,CUST-00264,2025-04-15,2025-06-14,2974.42,1628.36,1346.06,open,USD
INV-2025000062,CUST-00279,2025-09-20,2025-11-04,5251.55,5251.55,0.0,paid,USD
INV-2025000063,CUST-00221,2025-04-01,2025-04-16,2123.75,2123.75,0.0,paid,USD
INV-2025000064,CUST-00044,2025-01-31,2025-03-17,5065.38,843.41,4221.97,open,USD
INV-2025000065,CUST-00257,2025-09-29,2025-10-29,441.29,441.29,0.0,paid,USD
INV-2025000066,CUST-00393,2025-11-15,2025-11-30,208.55,208.55,0.0,paid,USD
INV-2025000067,CUST-00014,2025-10-05,2025-10-20,406.34,79.25,327.09,open,USD
INV-2025000068,CUST-00298,2025-08-14,2025-10-13,2385.22,1215.39,1169.83,open,USD
INV-2025000069,CUST-00123,2025-08-23,2025-10-07,1106.64,1106.64,0.0,paid,USD
INV-2025000070,CUST-00240,2025-07-23,2025-09-21,1149.58,1149.58,0.0,paid,USD
INV-2025000071,CUST-00027,2025-08-11,2025-09-25,385.21,380.34,4.87,open,USD
INV-2025000072,CUST-00042,2025-04-15,2025-05-30,2068.23,2068.23,0.0,paid,USD
INV-2025000073,CUST-00084,2025-09-25,2025-10-25,973.03,973.03,0.0,paid,USD
INV-2025000074,CUST-00238,2025-10-19,2025-12-03,1141.26,58.02,1083.24,open,USD
INV-2025000075,CUST-00027,2025-02-08,2025-04-09,588.45,588.45,0.0,paid,USD
INV-2025000076,CUST-00124,2025-09-09,2025-10-09,229.11,190.42,38.69,open,USD
INV-2025000077,CUST-00133,2025-08-15,2025-08-30,1493.22,3.74,1489.48,open,USD
INV-2025000078,CUST-00053,2025-12-14,2026-02-12,384.4,384.4,0.0,paid,USD
INV-2025000079,CUST-00356,2025-10-14,2025-11-13,6169.59,6169.59,0.0,paid,USD
INV-2025000080,CUST-00080,2025-08-27,2025-09-26,474.87,148.34,326.53,open,USD
INV-2025000081,CUST-00186,2025-12-02,2026-01-31,485.54,485.54,0.0,paid,USD
INV-2025000082,CUST-00234,2025-04-20,2025-06-04,1975.16,1975.16,0.0,paid,USD
INV-2025000083,CUST-00019,2025-01-14,2025-01-29,838.84,838.84,0.0,paid,USD
INV-2025000084,CUST-00134,2025-05-02,2025-06-01,1350.75,1059.3,291.45,open,USD
INV-2025000085,CUST-00333,2025-07-05,2025-09-03,180.11,180.11,0.0,paid,USD
INV-2025000086,CUST-00278,2025-12-20,2026-02-18,470.02,470.02,0.0,paid,USD
INV-2025000087,CUST-00130,2025-02-28,2025-03-15,429.41,429.41,0.0,paid,USD
