entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-05-04,5000,1578.85,0.0,Depreciation,kpatel,2025-05-04T11:23:00
JE-2025000001,2025-05-04,1300,0.0,1578.85,Depreciation,kpatel,2025-05-04T11:23:00
JE-2025000002,2025-03-29,1300,3882.82,0.0,Depreciation,sjohnson,2025-03-29T13:18:00
JE-2025000002,2025-03-29,4100,0.0,3882.82,Depreciation,sjohnson,2025-03-29T13:18:00
JE-2025000003,2025-12-13,1105,429.08,0.0,Payroll run,kpatel,2025-12-13T14:20:00
JE-2025000003,2025-12-13,1510,0.0,429.08,Payroll run,kpatel,2025-12-13T14:20:00
JE-2025000004,2025-07-02,6200,229.12,0.0,Reclass,mlopez,2025-07-02T12:35:00
JE-2025000004,2025-07-02,1500,0.0,229.12,Reclass,mlopez,2025-07-02T12:35:00
JE-2025000005,2025-12-17,1010,703.64,0.0,Vendor invoice booked,mlopez,2025-12-17T09:23:00
JE-2025000005,2025-12-17,4000,0.0,703.64,Vendor invoice booked,mlopez,2025-12-17T09:23:00
JE-2025000006,2025-05-16,6500,5724.7,0.0,Payment to vendor,mlopez,2025-05-16T16:54:00
JE-2025000006,2025-05-16,2300,0.0,5724.7,Payment to vendor,mlopez,2025-05-16T16:54:00
JE-2025000007,2025-11-16,1200,317.72,0.0,Customer invoice posting,jchen,2025-11-16T11:39:00
JE-2025000007,2025-11-16,4100,0.0,317.72,Customer invoice posting,jchen,2025-11-16T11:39:00
JE-2025000008,2025-01-29,1500,62.76,0.0,Customer invoice posting,system_batch,2025-01-29T10:58:00
JE-2025000008,2025-01-29,2300,0.0,62.76,Customer invoice posting,system_batch,2025-01-29T10:58:00
JE-2025000009,2025-02-08,6500,135.41,0.0,Reclass,mlopez,2025-02-08T15:02:00
JE-2025000009,2025-02-08,2100,0.0,135.41,Reclass,mlopez,2025-02-08T15:02:00
JE-2025000010,2025-04-09,6300,604.74,0.0,Customer invoice posting,system_batch,2025-04-09T15:30:00
JE-2025000010,2025-04-09,1000,0.0,604.74,Customer invoice posting,system_batch,2025-04-09T15:30:00
JE-2025000011,2025-08-19,6100,468.21,0.0,Vendor invoice booked,rwhite,2025-08-19T10:02:00
JE-2025000011,2025-08-19,2300,0.0,468.21,Vendor invoice booked,rwhite,2025-08-19T10:02:00
JE-2025000012,2025-05-09,1510,35.67,0.0,Reclass,kpatel,2025-05-09T14:27:00
JE-2025000012,2025-05-09,1200,0.0,35.67,Reclass,kpatel,2025-05-09T14:27:00
JE-2025000013,2025-06-25,1000,466.21,0.0,Customer invoice posting,kpatel,2025-06-25T17:05:00
JE-2025000013,2025-06-25,4100,0.0,466.21,Customer invoice posting,kpatel,2025-06-25T17:05:00
JE-2025000014,2025-07-12,1300,729.29,0.0,Payment to vendor,jchen,2025-07-12T14:51:00
JE-2025000014,2025-07-12,2300,0.0,729.29,Payment to vendor,jchen,2025-07-12T14:51:00
JE-2025000015,2025-09-24,6400,49.25,0.0,Cash receipt applied,sjohnson,2025-09-24T16:02:00
JE-2025000015,2025-09-24,1100,0.0,49.25,Cash receipt applied,sjohnson,2025-09-24T16:02:00
JE-2025000016,2025-07-09,6000,1174.5,0.0,Cash receipt applied,system_batch,2025-07-09T16:28:00
JE-2025000016,2025-07-09,1500,0.0,1174.5,Cash receipt applied,system_batch,2025-07-09T16:28:00
JE-2025000017,2025-11-30,1010,53.04,0.0,Vendor invoice booked,sjohnson,2025-11-30T09:38:00
JE-2025000017,2025-11-30,4000,0.0,53.04,Vendor invoice booked,sjohnson,2025-11-30T09:38:00
JE-2025000018,2025-07-20,6100,434.2,0.0,Payroll run,jchen,2025-07-20T15:37:00
JE-2025000018,2025-07-20,1500,0.0,434.2,Payroll run,jchen,2025-07-20T15:37:00
JE-2025000019,2025-10-31,1100,953.43,0.0,Customer invoice posting,rwhite,2025-10-31T11:09:00
JE-2025000019,2025-10-31,1500,0.0,953.43,Customer invoice posting,rwhite,2025-10-31T11:09:00
JE-2025000020,2025-04-14,1300,1265.86,0.0,Vendor invoice booked,mlopez,2025-04-14T14:00:00
JE-2025000020,2025-04-14,4000,0.0,1265.86,Vendor invoice booked,mlopez,2025-04-14T14:00:00
JE-2025000021,2025-10-19,1200,534.73,0.0,Payroll run,system_batch,2025-10-19T16:17:00
JE-2025000021,2025-10-19,4000,0.0,534.73,Payroll run,system_batch,2025-10-19T16:17:00
JE-2025000022,2025-09-27,6200,106.62,0.0,Depreciation,jchen,2025-09-27T14:02:00
JE-2025000022,2025-09-27,1500,0.0,106.62,Depreciation,jchen,2025-09-27T14:02:00
JE-2025000023,2025-03-27,1105,3055.99,0.0,Monthly accrual,kpatel,2025-03-27T14:22:00
JE-2025000023,2025-03-27,4000,0.0,3055.99,Monthly accrual,kpatel,2025-03-27T14:22:00
JE-2025000024,2025-09-29,1010,96.83,0.0,Payroll run,sjohnson,2025-09-29T16:56:00
JE-2025000024,2025-09-29,4000,0.0,96.83,Payroll run,sjohnson,2025-09-29T16:56:00
JE-2025000025,2025-11-07,5000,79.95,0.0,Payroll run,kpatel,2025-11-07T09:45:00
JE-2025000025,2025-11-07,1000,0.0,79.95,Payroll run,kpatel,2025-11-07T09:45:00
JE-2025000026,2025-08-19,1010,1271.11,0.0,Customer invoice posting,rwhite,2025-08-19T09:33:00
JE-2025000026,2025-08-19,4100,0.0,1271.11,Customer invoice posting,rwhite,2025-08-19T09:33:00
JE-2025000027,2025-02-25,1510,523.56,0.0,Reclass,system_batch,2025-02-25T15:21:00
JE-2025000027,2025-02-25,4000,0.0,523.56,Reclass,system_batch,2025-02-25T15:21:00
JE-2025000028,2025-05-20,1200,171.31,0.0,Vendor invoice booked,rwhite,2025-05-20T08:38:00
JE-2025000028,2025-05-20,4100,0.0,171.31,Vendor invoice booked,rwhite,2025-05-20T08:38:00
JE-2025000029,2025-11-02,1300,157.92,0.0,Monthly accrual,rwhite,2025-11-02T17:05:00
JE-2025000029,2025-11-02,4100,0.0,157.92,Monthly accrual,rwhite,2025-11-02T17:05:00
JE-2025000030,2025-11-16,6200,180.62,0.0,Reclass,sjohnson,2025-11-16T12:36:00
JE-2025000030,2025-11-16,1500,0.0,180.62,Reclass,sjohnson,2025-11-16T12:36:00
JE-2025000031,2025-09-12,1010,930.97,0.0,Vendor invoice booked,system_batch,2025-09-12T12:39:00
JE-2025000031,2025-09-12,4100,0.0,930.97,Vendor invoice booked,system_batch,2025-09-12T12:39:00
JE-2025000032,2025-07-09,1105,252.33,0.0,Depreciation,sjohnson,2025-07-09T08:53:00
JE-2025000032,2025-07-09,4000,0.0,252.33,Depreciation,sjohnson,2025-07-09T08:53:00
JE-2025000033,2025-02-23,1105,434.35,0.0,Monthly accrual,kpatel,2025-02-23T11:14:00
JE-2025000033,2025-02-23,4100,0.0,434.35,Monthly accrual,kpatel,2025-02-23T11:14:00
JE-2025000034,2025-02-19,1105,327.07,0.0,Vendor invoice booked,rwhite,2025-02-19T14:55:00
JE-2025000034,2025-02-19,4000,0.0,327.07,Vendor invoice booked,rwhite,2025-02-19T14:55:00
JE-2025000035,2025-05-14,1000,1118.31,0.0,Cash receipt applied,mlopez,2025-05-14T16:31:00
JE-2025000035,2025-05-14,4100,0.0,1118.31,Cash receipt applied,mlopez,2025-05-14T16:31:00
JE-2025000036,2025-09-18,1300,875.99,0.0,Vendor invoice booked,jchen,2025-09-18T13:47:00
JE-2025000036,2025-09-18,4000,0.0,875.99,Vendor invoice booked,jchen,2025-09-18T13:47:00
JE-2025000037,2025-03-26,6300,112.38,0.0,Payroll run,kpatel,2025-03-26T15:05:00
JE-2025000037,2025-03-26,2300,0.0,112.38,Payroll run,kpatel,2025-03-26T15:05:00
JE-2025000038,2025-01-22,6300,1171.79,0.0,Cash receipt applied,sjohnson,2025-01-22T17:34:00
JE-2025000038,2025-01-22,1105,0.0,1171.79,Cash receipt applied,sjohnson,2025-01-22T17:34:00
JE-2025000039,2025-11-20,1300,231.46,0.0,Reclass,kpatel,2025-11-20T10:58:00
JE-2025000039,2025-11-20,4100,0.0,231.46,Reclass,kpatel,2025-11-20T10:58:00
JE-2025000040,2025-02-08,1010,1873.89,0.0,Payment to vendor,mlopez,2025-02-08T09:03:00
JE-2025000040,2025-02-08,4000,0.0,1873.89,Payment to vendor,mlopez,2025-02-08T09:03:00
JE-2025000041,2025-11-16,1200,2591.49,0.0,Payroll run,mlopez,2025-11-16T14:39:00
JE-2025000041,2025-11-16,4000,0.0,2591.49,Payroll run,mlopez,2025-11-16T14:39:00
JE-2025000042,2025-09-17,6400,411.89,0.0,Payment to vendor,rwhite,2025-09-17T09:28:00
JE-2025000042,2025-09-17,1105,0.0,411.89,Payment to vendor,rwhite,2025-09-17T09:28:00
JE-2025000043,2025-06-10,1000,67.49,0.0,Vendor invoice booked,kpatel,2025-06-10T13:44:00
JE-2025000043,2025-06-10,4100,0.0,67.49,Vendor invoice booked,kpatel,2025-06-10T13:44:00
JE-2025000044,2025-02-24,1000,2453.75,0.0,Cash receipt applied,mlopez,2025-02-24T14:49:00
JE-2025000044,2025-02-24,2100,0.0,2453.75,Cash receipt applied,mlopez,2025-02-24T14:49:00
JE-2025000045,2025-08-04,1100,566.86,0.0,Payroll run,jchen,2025-08-04T11:07:00
JE-2025000045,2025-08-04,4100,0.0,566.86,Payroll run,jchen,2025-08-04T11:07:00
JE-2025000046,2025-01-28,6400,661.51,0.0,Vendor invoice booked,kpatel,2025-01-28T14:16:00
JE-2025000046,2025-01-28,1300,0.0,661.51,Vendor invoice booked,kpatel,2025-01-28T14:16:00
JE-2025000047,2025-02-20,6500,273.86,0.0,Depreciation,kpatel,2025-02-20T16:01:00
JE-2025000047,2025-02-20,1100,0.0,273.86,Depreciation,kpatel,2025-02-20T16:01:00
JE-2025000048,2025-11-07,1105,172.0,0.0,Depreciation,rwhite,2025-11-07T08:16:00
JE-2025000048,2025-11-07,4100,0.0,172.0,Depreciation,rwhite,2025-11-07T08:16:00
JE-2025000049,2025-05-06,6200,2642.11,0.0,Payroll run,jchen,2025-05-06T13:33:00
JE-2025000049,2025-05-06,2100,0.0,2642.11,Payroll run,jchen,2025-05-06T13:33:00
JE-2025000050,2025-10-04,1200,9943.5,0.0,Cash receipt applied,system_batch,2025-10-04T11:37:00
JE-2025000050,2025-10-04,4100,0.0,9943.5,Cash receipt applied,system_batch,2025-10-04T11:37:00
JE-2025000051,2025-09-08,1100,623.69,0.0,Payment to vendor,sjohnson,2025-09-08T09:20:00
JE-2025000051,2025-09-08,4100,0.0,623.69,Payment to vendor,sjohnson,2025-09-08T09:20:00
JE-2025000052,2025-05-04,1510,1209.68,0.0,Customer invoice posting,rwhite,2025-05-04T13:42:00
JE-2025000052,2025-05-04,4100,0.0,1209.68,Customer invoice posting,rwhite,2025-05-04T13:42:00
JE-2025000053,2025-08-17,1100,194.01,0.0,Monthly accrual,system_batch,2025-08-17T15:02:00
JE-2025000053,2025-08-17,4000,0.0,194.01,Monthly accrual,system_batch,2025-08-17T15:02:00
JE-2025000054,2025-05-22,6500,140.56,0.0,Vendor invoice booked,kpatel,2025-05-22T08:19:00
JE-2025000054,2025-05-22,2200,0.0,140.56,Vendor invoice booked,kpatel,2025-05-22T08:19:00
JE-2025000055,2025-11-07,6500,459.48,0.0,Payment to vendor,mlopez,2025-11-07T15:00:00
JE-2025000055,2025-11-07,1500,0.0,459.48,Payment to vendor,mlopez,2025-11-07T15:00:00
JE-2025000056,2025-02-08,6000,951.1,0.0,Monthly accrual,jchen,2025-02-08T15:07:00
JE-2025000056,2025-02-08,1000,0.0,951.1,Monthly accrual,jchen,2025-02-08T15:07:00
JE-2025000057,2025-05-08,1105,1048.85,0.0,Customer invoice posting,jchen,2025-05-08T09:53:00
JE-2025000057,2025-05-08,4100,0.0,1048.85,Customer invoice posting,jchen,2025-05-08T09:53:00
JE-2025000058,2025-09-11,6500,1699.14,0.0,Payment to vendor,kpatel,2025-09-11T10:01:00
JE-2025000058,2025-09-11,1105,0.0,1699.14,Payment to vendor,kpatel,2025-09-11T10:01:00
JE-2025000059,2025-02-11,6500,2026.77,0.0,Cash receipt applied,rwhite,2025-02-11T17:14:00
JE-2025000059,2025-02-11,1500,0.0,2026.77,Cash receipt applied,rwhite,2025-02-11T17:14:00
JE-2025000060,2025-01-28,1010,279.15,0.0,Vendor invoice booked,mlopez,2025-01-28T13:34:00
JE-2025000060,2025-01-28,4100,0.0,279.15,Vendor invoice booked,mlopez,2025-01-28T13:34:00
JE-2025000061,2025-11-05,1500,89.67,0.0,Cash receipt applied,rwhite,2025-11-05T13:28:00
JE-2025000061,2026-03-28,4000,0.0,89.67,Cash receipt applied,rwhite,2025-11-05T13:28:00
JE-2025000062,2025-03-14,1510,700.63,0.0,Cash receipt applied,jchen,2025-03-14T10:47:00
JE-2025000062,2025-03-14,4100,0.0,700.63,Cash receipt applied,jchen,2025-03-14T10:47:00
JE-2025000063,2025-02-28,1510,383.52,0.0,Depreciation,jchen,2025-02-28T10:12:00
JE-2025000063,2025-02-28,1300,0.0,383.52,Depreciation,jchen,2025-02-28T10:12:00
JE-2025000064,2025-01-30,6200,77.18,0.0,Payment to vendor,rwhite,2025-01-30T15:52:00
JE-2025000064,2025-01-30,1000,0.0,77.18,Payment to vendor,rwhite,2025-01-30T15:52:00
JE-2025000065,2025-08-26,6100,266.1,0.0,Reclass,jchen,2025-08-26T08:43:00
JE-2025000065,2025-08-26,1010,0.0,266.1,Reclass,jchen,2025-08-26T08:43:00
JE-2025000066,2025-07-16,6000,185.79,0.0,Depreciation,kpatel,2025-07-16T10:07:00
JE-2025000066,2025-07-16,1500,0.0,185.79,Depreciation,kpatel,2025-07-16T10:07:00
JE-2025000067,2025-01-22,1105,219.65,0.0,Payment to vendor,kpatel,2025-01-22T13:55:00
JE-2025000067,2025-01-22,2500,0.0,219.65,Payment to vendor,kpatel,2025-01-22T13:55:00
JE-2025000068,2025-03-24,1010,2406.94,0.0,Vendor invoice booked,rwhite,2025-03-24T09:00:00
JE-2025000068,2025-03-24,4000,0.0,2406.94,Vendor invoice booked,rwhite,2025-03-24T09:00:00
JE-2025000069,2025-08-04,6500,441.36,0.0,Monthly accrual,system_batch,2025-08-04T10:18:00
JE-2025000069,2025-08-04,2300,0.0,441.36,Monthly accrual,system_batch,2025-08-04T10:18:00
JE-2025000070,2025-11-27,6300,643.89,0.0,Depreciation,system_batch,2025-11-27T10:30:00
JE-2025000070,2025-11-27,1500,0.0,643.89,Depreciation,system_batch,2025-11-27T10:30:00
JE-2025000071,2025-10-11,6200,320.95,0.0,Reclass,mlopez,2025-10-11T12:54:00
JE-2025000071,2025-10-11,2200,0.0,320.95,Reclass,mlopez,2025-10-11T12:54:00
JE-2025000072,2025-10-03,1105,546.6,0.0,Customer invoice posting,jchen,2025-10-03T13:49:00
