vendor_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
VEND-00001,2025-12-31,0.0,0.0,0.0,0.0,752.37,752.37
VEND-00002,2025-12-31,0.0,0.0,15.14,277.28,1181.47,1473.89
VEND-00003,2025-12-31,0.0,0.0,0.0,109.51,9.57,119.08
VEND-00004,2025-12-31,0.0,0.0,0.0,0.0,612.75,612.75
VEND-00005,2025-12-31,0.0,0.0,0.0,154.61,185.5,340.11
VEND-00006,2025-12-31,0.0,0.0,0.0,0.0,401.63,401.63
VEND-00007,2025-12-31,78.02,0.0,0.0,0.0,26.19,104.21
VEND-00009,2025-12-31,0.0,0.0,0.0,0.0,816.58,816.58
VEND-00010,2025-12-31,0.0,0.0,0.0,0.0,65.76,65.76
VEND-00011,2025-12-31,380.95,0.0,0.0,0.0,1168.69,1549.64
VEND-00012,2025-12-31,0.0,0.0,0.0,0.0,656.85,656.85
VEND-00013,2025-12-31,0.0,0.0,0.0,0.0,2222.05,2222.05
VEND-00014,2025-12-31,0.0,0.0,0.0,0.0,720.55,720.55
VEND-00015,2025-12-31,0.0,0.0,0.0,0.0,1482.1,1482.1
VEND-00018,2025-12-31,0.0,0.0,0.0,0.0,255.08,255.08
VEND-00020,2025-12-31,0.0,0.0,0.0,0.0,87.2,87.2
VEND-00021,2025-12-31,1361.21,1392.24,0.0,0.0,70.14,2823.59
VEND-00022,2025-12-31,0.0,0.0,0.0,0.0,165.66,165.66
VEND-00023,2025-12-31,0.0,0.0,0.0,0.0,221.89,221.89
VEND-00024,2025-12-31,0.0,0.0,0.0,0.0,424.6,424.6
VEND-00025,2025-12-31,0.0,0.0,0.0,0.0,16.6,16.6
VEND-00027,2025-12-31,851.38,0.0,0.0,0.0,976.45,1827.83
VEND-00028,2025-12-31,0.0,61.25,0.0,2255.44,2875.83,5192.52
VEND-00029,2025-12-31,0.0,0.0,0.0,0.0,1481.51,1481.51
VEND-00031,2025-12-31,0.0,0.0,767.27,0.0,0.0,767.27
VEND-00032,2025-12-31,0.0,0.0,0.0,0.0,894.75,894.75
VEND-00033,2025-12-31,547.1,0.0,0.0,0.0,0.0,547.1
VEND-00034,2025-12-31,0.0,0.0,723.85,467.92,0.0,1191.77
VEND-00035,2025-12-31,1123.47,0.0,0.0,0.0,321.88,1445.35
VEND-00036,2025-12-31,0.0,0.0,0.0,0.0,2741.23,2741.23
VEND-00037,2025-12-31,0.0,0.0,0.0,0.0,2382.23,2382.23
VEND-00038,2025-12-31,0.0,0.0,0.0,0.0,73.4,73.4
VEND-00039,2025-12-31,0.0,0.0,0.0,0.0,3477.66,3477.66
VEND-00040,2025-12-31,0.0,0.0,0.0,0.0,92.99,92.99
