invoice_id,customer_id,invoice_date,due_date,amount,paid_amount,balance,status,currency
INV-2025000001,CUST-00040,2025-09-05,2025-10-20,665.05,665.05,0.0,paid,USD
INV-2025000002,CUST-00045,2025-10-24,2025-11-23,2717.96,2717.96,0.0,paid,USD
INV-2025000003,CUST-00057,2025-02-28,2025-03-15,258.25,258.25,0.0,paid,USD
INV-2025000004,CUST-00032,2025-08-24,2025-10-08,1092.1,1092.1,0.0,paid,USD
INV-2025000005,CUST-00047,2025-03-19,2025-05-18,2582.81,2251.81,331.0,open,USD
INV-2025000006,CUST-00018,2025-06-26,2025-07-11,338.83,297.75,41.08,open,USD
INV-2025000007,CUST-00004,2025-12-10,2026-01-24,789.25,130.69,658.56,open,USD
INV-2025000008,CUST-00080,2025-08-13,2025-10-12,2415.24,2415.24,0.0,paid,USD
INV-2025000009,CUST-00034,2025-04-10,2025-06-09,208.17,181.36,26.81,open,USD
INV-2025000010,CUST-00065,2025-07-02,2025-08-31,3422.36,3422.36,0.0,paid,USD
INV-2025000011,CUST-00028,2025-06-30,2025-08-14,3116.99,908.96,2208.03,open,USD
INV-2025000012,CUST-00080,2025-06-15,2025-07-15,620.9,620.9,0.0,paid,USD
INV-2025000013,CUST-00052,2025-02-26,2025-03-13,4663.01,4663.01,0.0,paid,USD
INV-2025000014,CUST-00033,2025-04-26,2025-05-11,1569.86,176.93,1392.93,open,USD
INV-2025000015,CUST-00003,2025-07-17,2025-09-15,1137.25,1137.25,0.0,paid,USD
INV-2025000016,CUST-00030,2025-11-15,2025-12-15,1763.39,1763.39,0.0,paid,USD
INV-2025000017,CUST-00049,2025-01-21,2025-03-07,815.31,815.31,0.0,paid,USD
INV-2025000018,CUST-00007,2025-02-05,2025-03-07,933.65,933.65,0.0,paid,USD
INV-2025000019,CUST-00046,2025-11-25,2025-12-10,667.8,667.8,0.0,paid,USD
INV-2025000020,CUST-00035,2025-11-28,2026-01-27,5438.1,5438.1,0.0,paid,USD
INV-2025000021,CUST-00046,2025-02-25,2025-04-11,806.67,571.91,234.76,open,USD
INV-2025000022,CUST-00015,2025-10-30,2025-12-14,2853.56,2853.56,0.0,paid,USD
INV-2025000023,CUST-00039,2025-06-08,2025-06-23,446.11,446.11,0.0,paid,USD
INV-2025000024,CUST-00048,2025-10-15,2025-11-29,2916.59,92.49,2824.1,open,USD
INV-2025000025,CUST-00010,2025-08-12,2025-08-27,3794.36,3076.98,717.38,open,USD
INV-2025000026,CUST-00015,2025-02-26,2025-04-12,1144.72,1144.72,0.0,paid,USD
INV-2025000027,CUST-00002,2025-06-14,2025-06-29,1608.25,761.92,846.33,open,USD
INV-2025000028,CUST-00067,2025-10-19,2025-12-03,5899.01,5899.01,0.0,paid,USD
INV-2025000029,CUST-00033,2025-12-22,2026-01-21,322.29,304.58,17.71,open,USD
INV-2025000030,CUST-00010,2025-06-18,2025-08-02,2454.25,2454.25,0.0,paid,USD
INV-2025000031,CUST-00029,2025-07-08,2025-08-22,988.11,988.11,0.0,paid,USD
INV-2025000032,CUST-00074,2025-03-08,2025-03-23,1005.91,1005.91,0.0,paid,USD
INV-2025000033,CUST-00074,2025-10-22,2025-12-06,1503.6,868.5,635.1,open,USD
