sku,description,category,unit_cost,on_hand_qty,reorder_point,last_received_date
SKU-000001,FinishedGood item 1,Packaging,16.81,143,73,2025-08-11
SKU-000002,Subassembly item 2,Packaging,19.25,40,28,2025-11-01
SKU-000003,Packaging item 3,Subassembly,77.69,468,17,2025-11-15
SKU-000004,Packaging item 4,Subassembly,41.9,125,64,2025-10-25
SKU-000005,RawMaterial item 5,Subassembly,8.2,154,39,2025-09-11
SKU-000006,Subassembly item 6,Packaging,23.98,250,49,2025-12-06
SKU-000007,Packaging item 7,Subassembly,10.93,109,68,2025-07-17
SKU-000008,Packaging item 8,Subassembly,19.47,143,16,2025-05-11
SKU-000009,FinishedGood item 9,FinishedGood,5.16,-16,30,2025-12-27
SKU-000010,Subassembly item 10,RawMaterial,36.12,156,11,2025-05-23
SKU-000011,Subassembly item 11,RawMaterial,25.38,104,39,2025-03-07
SKU-000012,RawMaterial item 12,FinishedGood,8.79,438,49,2025-10-12
SKU-000013,FinishedGood item 13,FinishedGood,4.42,398,93,2025-07-22
SKU-000014,FinishedGood item 14,RawMaterial,23.65,26,84,2025-11-27
SKU-000015,Subassembly item 15,FinishedGood,29.15,156,87,2025-12-07
SKU-000016,Packaging item 16,FinishedGood,26.74,397,33,2025-01-01
SKU-000017,RawMaterial item 17,RawMaterial,63.24,266,27,2025-08-20
SKU-000018,Packaging item 18,Packaging,14.78,346,18,2025-12-16
SKU-000019,FinishedGood item 19,RawMaterial,40.7,448,23,2025-05-16
SKU-000020,Packaging item 20,Subassembly,12.94,111,92,2025-02-16
SKU-000021,Subassembly item 21,FinishedGood,180.97,414,66,2025-06-17
SKU-000022,RawMaterial item 22,Subassembly,74.0,495,43,2025-06-15
SKU-000023,Subassembly item 23,FinishedGood,39.37,296,80,2025-09-12
SKU-000024,FinishedGood item 24,FinishedGood,59.91,290,18,2025-09-25
SKU-000025,Subassembly item 25,RawMaterial,10.81,480,45,2025-06-06
SKU-000026,Packaging item 26,Subassembly,51.01,431,36,2025-07-05
SKU-000027,Subassembly item 27,RawMaterial,7.04,338,90,2025-01-30
SKU-000028,Packaging item 28,FinishedGood,93.97,302,75,2025-08-11
SKU-000029,Subassembly item 29,Subassembly,14.32,220,42,2025-01-02
SKU-000030,FinishedGood item 30,FinishedGood,74.27,483,13,2025-06-01
SKU-000031,RawMaterial item 31,RawMaterial,116.03,21,57,2025-06-23
SKU-000032,RawMaterial item 32,FinishedGood,4.76,50,94,2025-09-22
SKU-000033,Packaging item 33,Subassembly,9.98,60,78,2025-06-15
SKU-000034,FinishedGood item 34,Packaging,6.29,407,32,2025-07-08
SKU-000035,Packaging item 35,FinishedGood,43.58,450,19,2025-08-09
SKU-000036,FinishedGood item 36,Subassembly,19.84,96,48,2025-01-07
