account_id,account_name,account_type,period_end,debit_balance,credit_balance
1000,Cash - Operating,asset,2025-12-31,35731.68,0.0
1010,Cash - Payroll,asset,2025-12-31,37337.03,0.0
1100,Accounts Receivable,asset,2025-12-31,0.0,0.0
1105,Allowance for Doubtful Accounts,asset,2025-12-31,9408.98,0.0
1200,Inventory,asset,2025-12-31,36460.85,0.0
1300,Prepaid Expenses,asset,2025-12-31,34909.79,0.0
1500,"Property, Plant & Equipment",asset,2025-12-31,0.0,0.0
1510,Accumulated Depreciation,asset,2025-12-31,68860.39,0.0
2000,Accounts Payable,liability,2025-12-31,0.0,57463.3
2100,Accrued Liabilities,liability,2025-12-31,0.0,65646.82
2200,Deferred Revenue,liability,2025-12-31,0.0,64135.93
2300,Income Tax Payable,liability,2025-12-31,0.0,39198.57
2500,Long-Term Debt,liability,2025-12-31,0.0,42210.85
3000,Common Stock,equity,2025-12-31,0.0,0.0
3100,Retained Earnings,equity,2025-12-31,0.0,0.0
4000,Revenue,revenue,2025-12-31,0.0,216534.33
4100,Sales Returns & Allowances,revenue,2025-12-31,0.0,220356.34
5000,Cost of Goods Sold,expense,2025-12-31,43071.08,0.0
6000,Salaries & Wages,expense,2025-12-31,40700.49,0.0
6100,Rent Expense,expense,2025-12-31,37205.29,0.0
6200,Utilities,expense,2025-12-31,33453.88,0.0
6300,Professional Fees,expense,2025-12-31,35261.25,0.0
6400,Depreciation Expense,expense,2025-12-31,47161.53,0.0
6500,Bad Debt Expense,expense,2025-12-31,45081.36,0.0
1201,Raw Materials,asset,2025-12-31,25340.25,0.0
1202,Work In Progress,asset,2025-12-31,39780.63,0.0
1203,Finished Goods,asset,2025-12-31,0.0,0.0
5020,Manufacturing Overhead,expense,2025-12-31,47381.84,0.0
5030,Material Variance,expense,2025-12-31,25642.02,0.0
5040,Labor Variance,expense,2025-12-31,48705.92,0.0
1520,Machinery & Equipment,asset,2025-12-31,29751.56,0.0
