customer_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
CUST-00002,2025-12-31,0.0,0.0,856.86,0.0,1013.09,1869.95
CUST-00003,2025-12-31,0.0,0.0,0.0,406.79,2626.27,3033.06
CUST-00004,2025-12-31,658.56,0.0,0.0,0.0,459.45,1118.01
CUST-00006,2025-12-31,0.0,0.0,0.0,0.0,617.64,617.64
CUST-00008,2025-12-31,0.0,0.0,0.0,0.0,1628.33,1628.33
CUST-00009,2025-12-31,0.0,0.0,0.0,0.0,1079.43,1079.43
CUST-00010,2025-12-31,0.0,0.0,0.0,0.0,717.38,717.38
CUST-00011,2025-12-31,0.0,0.0,0.0,0.0,1131.9,1131.9
CUST-00012,2025-12-31,0.0,0.0,0.0,0.0,187.75,187.75
CUST-00015,2025-12-31,104.33,0.0,0.0,0.0,1570.61,1674.94
CUST-00016,2025-12-31,0.0,0.0,0.0,0.0,1119.77,1119.77
CUST-00018,2025-12-31,0.0,0.0,0.0,0.0,41.08,41.08
CUST-00019,2025-12-31,0.0,0.0,0.0,0.0,915.31,915.31
CUST-00020,2025-12-31,0.0,0.0,0.0,0.0,1457.59,1457.59
CUST-00022,2025-12-31,0.0,0.0,0.0,0.0,668.85,668.85
CUST-00023,2025-12-31,0.0,0.0,0.0,0.0,16.08,16.08
CUST-00024,2025-12-31,105.45,0.0,0.0,0.0,0.0,105.45
CUST-00025,2025-12-31,0.0,0.0,0.0,0.0,893.4,893.4
CUST-00026,2025-12-31,272.98,0.0,0.0,0.0,1310.37,1583.35
CUST-00027,2025-12-31,1153.48,0.0,0.0,2297.78,86.0,3537.26
CUST-00028,2025-12-31,0.0,0.0,521.25,0.0,2208.03,2729.28
CUST-00029,2025-12-31,0.0,0.0,0.0,0.0,1713.93,1713.93
CUST-00031,2025-12-31,0.0,0.0,0.0,11785.46,1829.51,13614.97
CUST-00032,2025-12-31,0.0,0.0,0.0,0.0,3055.94,3055.94
CUST-00033,2025-12-31,334.32,1105.53,0.0,0.0,1392.93,2832.78
CUST-00034,2025-12-31,0.0,0.0,0.0,0.0,9291.43,9291.43
CUST-00036,2025-12-31,0.0,0.0,0.0,0.0,435.64,435.64
CUST-00037,2025-12-31,0.0,1477.29,0.0,0.0,170.84,1648.13
CUST-00038,2025-12-31,0.0,0.0,0.0,70.54,1081.84,1152.38
CUST-00039,2025-12-31,0.0,0.0,0.0,0.0,5472.89,5472.89
CUST-00040,2025-12-31,0.0,0.0,0.0,0.0,1770.08,1770.08
CUST-00043,2025-12-31,340.21,1107.25,525.36,0.0,0.0,3207.38
CUST-00044,2025-12-31,247.99,0.0,0.0,0.0,389.72,637.71
CUST-00045,2025-12-31,0.0,0.0,339.16,0.0,117.94,457.1
CUST-00046,2025-12-31,0.0,0.0,0.0,0.0,234.76,234.76
CUST-00047,2025-12-31,0.0,0.0,0.0,0.0,331.0,331.0
CUST-00048,2025-12-31,0.0,0.0,2824.1,0.0,0.0,2824.1
CUST-00050,2025-12-31,0.0,0.0,140.41,0.0,0.0,140.41
CUST-00051,2025-12-31,119.83,0.0,0.0,0.0,2534.08,2653.91
CUST-00052,2025-12-31,0.0,0.0,0.0,0.0,346.61,346.61
CUST-00053,2025-12-31,0.0,0.0,0.0,0.0,684.49,684.49
CUST-00054,2025-12-31,0.0,0.0,0.0,752.06,44.06,796.12
CUST-00055,2025-12-31,0.0,0.0,0.0,0.0,1395.95,1395.95
CUST-00057,2025-12-31,0.0,148.17,0.0,0.0,0.0,148.17
CUST-00060,2025-12-31,0.0,766.69,0.0,0.0,1539.8,2306.49
CUST-00061,2025-12-31,0.0,0.0,0.0,0.0,7504.01,7504.01
CUST-00062,2025-12-31,0.0,0.0,0.0,0.0,536.46,536.46
CUST-00063,2025-12-31,0.0,0.0,0.0,0.0,630.31,630.31
CUST-00064,2025-12-31,0.0,579.19,0.0,0.0,0.96,580.15
CUST-00066,2025-12-31,0.0,0.0,0.0,0.0,4781.43,4781.43
CUST-00067,2025-12-31,6610.14,0.0,0.0,0.0,0.0,6610.14
CUST-00069,2025-12-31,0.0,0.0,0.0,0.0,4025.87,4025.87
CUST-00070,2025-12-31,0.0,0.0,0.0,0.0,169.24,169.24
CUST-00072,2025-12-31,0.0,0.0,0.0,0.0,5467.94,5467.94
CUST-00074,2025-12-31,0.0,0.0,635.1,0.0,303.65,938.75
CUST-00076,2025-12-31,0.0,0.0,0.0,522.14,2045.97,2568.11
CUST-00077,2025-12-31,0.0,0.0,0.0,0.0,13.31,13.31
CUST-00078,2025-12-31,0.0,3401.69,0.0,0.0,1333.11,4734.8
CUST-00079,2025-12-31,0.0,0.0,0.0,0.0,394.38,394.38
CUST-00080,2025-12-31,0.0,0.0,395.89,0.0,2227.56,2623.45
