entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-04-27,1200,4114.11,0.0,Customer invoice posting,sjohnson,2025-04-27T13:53:00
JE-2025000001,2025-04-27,2200,0.0,4114.11,Customer invoice posting,sjohnson,2025-04-27T13:53:00
JE-2025000002,2025-02-20,5040,795.66,0.0,Customer invoice posting,mlopez,2025-02-20T08:13:00
JE-2025000002,2025-02-20,1200,0.0,795.66,Customer invoice posting,mlopez,2025-02-20T08:13:00
JE-2025000003,2025-02-16,6100,19.56,0.0,Payroll run,sjohnson,2025-02-16T15:32:00
JE-2025000003,2025-02-16,1010,0.0,19.56,Payroll run,sjohnson,2025-02-16T15:32:00
JE-2025000004,2025-06-02,1000,670.89,0.0,Reclass,mlopez,2025-06-02T12:14:00
JE-2025000004,2025-06-02,1105,0.0,670.89,Reclass,mlopez,2025-06-02T12:14:00
JE-2025000005,2025-09-24,1100,290.38,0.0,Vendor invoice booked,rwhite,2025-09-24T13:20:00
JE-2025000005,2025-09-24,2200,0.0,290.38,Vendor invoice booked,rwhite,2025-09-24T13:20:00
JE-2025000006,2025-07-28,1510,302.11,0.0,Vendor invoice booked,jchen,2025-07-28T15:25:00
JE-2025000006,2025-07-28,4100,0.0,302.11,Vendor invoice booked,jchen,2025-07-28T15:25:00
JE-2025000007,2025-07-27,6200,423.39,0.0,Payroll run,rwhite,2025-07-27T12:59:00
JE-2025000007,2025-07-27,2300,0.0,423.39,Payroll run,rwhite,2025-07-27T12:59:00
JE-2025000008,2025-03-20,1201,884.16,0.0,Monthly accrual,jchen,2025-03-20T08:56:00
JE-2025000008,2025-03-20,4000,0.0,884.16,Monthly accrual,jchen,2025-03-20T08:56:00
JE-2025000009,2025-03-29,1105,141.72,0.0,Payroll run,system_batch,2025-03-29T14:06:00
JE-2025000009,2025-03-29,2000,0.0,141.72,Payroll run,system_batch,2025-03-29T14:06:00
JE-2025000010,2025-07-04,1105,1745.04,0.0,Monthly accrual,system_batch,2025-07-04T13:57:00
JE-2025000010,2025-07-04,4100,0.0,1745.04,Monthly accrual,system_batch,2025-07-04T13:57:00
JE-2025000011,2025-02-21,1500,201.58,0.0,Monthly accrual,system_batch,2025-02-21T11:46:00
JE-2025000011,2025-02-21,4100,0.0,201.58,Monthly accrual,system_batch,2025-02-21T11:46:00
JE-2025000012,2025-03-23,5020,162.73,0.0,Monthly accrual,kpatel,2025-03-23T17:58:00
JE-2025000012,2025-03-23,1203,0.0,162.73,Monthly accrual,kpatel,2025-03-23T17:58:00
JE-2025000013,2025-03-01,6300,117.46,0.0,Monthly accrual,system_batch,2025-03-01T08:58:00
JE-2025000013,2025-03-01,1510,0.0,117.46,Monthly accrual,system_batch,2025-03-01T08:58:00
JE-2025000014,2025-12-18,1500,660.42,0.0,Cash receipt applied,mlopez,2025-12-18T11:15:00
JE-2025000014,2025-12-18,4000,0.0,660.42,Cash receipt applied,mlopez,2025-12-18T11:15:00
JE-2025000015,2025-11-28,1105,1200.0,0.0,Customer invoice posting,rwhite,2025-11-28T13:17:00
JE-2025000015,2025-11-28,4100,0.0,1200.0,Customer invoice posting,rwhite,2025-11-28T13:17:00
JE-2025000016,2025-11-26,1202,106.41,0.0,Customer invoice posting,mlopez,2025-11-26T11:26:00
JE-2025000016,2025-11-26,4100,0.0,106.41,Customer invoice posting,mlopez,2025-11-26T11:26:00
JE-2025000017,2025-12-17,1100,247.9,0.0,Cash receipt applied,sjohnson,2025-12-17T08:00:00
JE-2025000017,2025-12-17,4000,0.0,247.9,Cash receipt applied,sjohnson,2025-12-17T08:00:00
JE-2025000018,2025-03-31,5030,140.1,0.0,Depreciation,rwhite,2025-03-31T11:12:00
JE-2025000018,2025-03-31,1010,0.0,140.1,Depreciation,rwhite,2025-03-31T11:12:00
JE-2025000019,2025-02-11,6100,118.46,0.0,Payment to vendor,system_batch,2025-02-11T15:48:00
JE-2025000019,2025-02-11,1201,0.0,118.46,Payment to vendor,system_batch,2025-02-11T15:48:00
JE-2025000020,2025-11-21,1300,1694.54,0.0,Reclass,kpatel,2025-11-21T12:37:00
JE-2025000020,2025-11-21,1000,0.0,1694.54,Reclass,kpatel,2025-11-21T12:37:00
JE-2025000021,2025-02-03,1202,2916.8,0.0,Reclass,kpatel,2025-02-03T16:49:00
JE-2025000021,2025-02-03,2200,0.0,2916.8,Reclass,kpatel,2025-02-03T16:49:00
JE-2025000022,2025-07-25,1510,593.66,0.0,Payment to vendor,sjohnson,2025-07-25T09:34:00
JE-2025000022,2025-07-25,4100,0.0,593.66,Payment to vendor,sjohnson,2025-07-25T09:34:00
JE-2025000023,2025-08-21,6000,1410.89,0.0,Depreciation,mlopez,2025-08-21T11:32:00
JE-2025000023,2025-08-21,1203,0.0,1410.89,Depreciation,mlopez,2025-08-21T11:32:00
JE-2025000024,2025-07-05,6300,3006.3,0.0,Customer invoice posting,rwhite,2025-07-05T14:39:00
