work_order_id,product_sku,qty_planned,qty_produced,start_date,completion_date,standard_cost_per_unit,actual_cost_per_unit,status
WO-000001,SKU-000017,3476,3486,2025-06-16,2025-09-03,15.54,22.6,OPEN
WO-000002,SKU-000022,960,854,2025-06-18,2025-03-07,16.15,28.31,WIP
WO-000003,SKU-000109,4613,4451,2025-07-04,2025-12-13,21.45,14.48,OPEN
WO-000004,SKU-000036,3904,1049,2025-02-10,2025-07-29,27.84,12.15,OPEN
WO-000005,SKU-000100,2202,4975,2025-05-22,2025-11-15,15.23,29.5,WIP
WO-000006,SKU-000103,2638,1200,2025-01-22,2025-12-05,5.73,9.17,COMPLETE
WO-000007,SKU-000034,4460,1282,2025-06-04,2025-05-25,7.48,42.2,OPEN
WO-000008,SKU-000071,4459,4006,2025-04-25,2025-12-10,6.81,8.96,OPEN
WO-000009,SKU-000108,1537,2960,2025-01-07,2025-07-14,9.06,10.85,WIP
WO-000010,SKU-000099,4590,1984,2025-03-17,2025-07-08,20.1,7.01,COMPLETE
WO-000011,SKU-000044,2045,1658,2025-01-20,2025-04-14,14.36,22.98,COMPLETE
WO-000012,SKU-000002,1628,2699,2025-04-13,2025-05-02,15.82,16.58,WIP
WO-000013,SKU-000119,2083,3477,2025-09-11,2025-10-27,13.87,14.45,WIP
WO-000014,SKU-000022,3275,2686,2025-04-11,2025-10-27,25.7,14.2,OPEN
WO-000015,SKU-000017,762,1647,2025-05-23,2025-07-18,135.79,8.53,OPEN
WO-000016,SKU-000039,4484,4926,2025-01-26,2025-03-08,21.84,7.83,WIP
WO-000017,SKU-000021,1065,836,2025-06-20,2025-09-08,14.51,20.17,OPEN
WO-000018,SKU-000013,1310,3044,2025-05-23,2025-03-29,18.82,4.28,COMPLETE
WO-000019,SKU-000110,3300,2042,2025-01-02,2025-04-05,23.73,10.09,WIP
WO-000020,SKU-000038,2754,4030,2025-10-14,2025-07-17,8.02,10.82,CLOSED
WO-000021,SKU-000026,4262,3839,2025-09-05,2025-11-20,7.39,7.21,CLOSED
WO-000022,SKU-000017,2266,1546,2025-01-28,2025-12-25,17.74,6.88,WIP
WO-000023,SKU-000009,1499,3694,2025-05-24,2025-02-08,12.79,12.79,COMPLETE
WO-000024,SKU-000077,1880,148,2025-03-23,2025-02-12,19.82,8.25,WIP
WO-000025,SKU-000110,1222,1419,2025-11-05,2025-07-05,36.76,11.14,COMPLETE
WO-000026,SKU-000087,3705,1326,2025-11-17,2025-12-11,18.88,14.49,COMPLETE
WO-000027,SKU-000054,4301,3047,2025-09-07,2025-06-29,25.07,18.44,OPEN
WO-000028,SKU-000074,672,2349,2025-02-04,2025-07-23,8.15,16.95,OPEN
WO-000029,SKU-000077,2297,4665,2025-01-27,2025-08-10,14.38,13.69,CLOSED
WO-000030,SKU-000089,3887,298,2025-11-12,2025-02-14,4.5,14.5,CLOSED
WO-000031,SKU-000082,1902,4670,2025-06-06,2025-03-25,15.1,18.96,OPEN
WO-000032,SKU-000084,66,245,2025-07-06,2025-11-17,9.42,10.99,COMPLETE
WO-000033,SKU-000051,4134,444,2025-03-12,2025-03-19,12.7,8.59,CLOSED
WO-000034,SKU-000012,803,3470,2025-04-24,2025-04-29,13.17,6.66,WIP
WO-000035,SKU-000085,4166,3699,2025-07-29,2025-01-21,11.28,13.81,CLOSED
WO-000036,SKU-000003,3373,2633,2025-07-21,2025-08-06,12.06,13.64,CLOSED
WO-000037,SKU-000104,576,1447,2025-05-17,2025-05-08,35.26,24.03,WIP
WO-000038,SKU-000012,2100,3246,2025-08-15,2025-08-18,6.19,13.62,COMPLETE
WO-000039,SKU-000049,2948,149,2025-07-21,2025-02-28,31.3,13.67,OPEN
WO-000040,SKU-000119,1172,3439,2025-04-05,2025-06-16,10.08,5.09,CLOSED
WO-000041,SKU-000078,1534,762,2025-10-05,2025-01-05,10.71,22.11,WIP
WO-000042,SKU-000067,3576,1021,2025-08-28,2025-08-07,10.86,14.51,WIP
WO-000043,SKU-000054,464,3625,2025-03-08,2025-05-13,21.32,25.49,WIP
WO-000044,SKU-000087,3867,884,2025-09-21,2025-05-03,9.64,17.03,CLOSED
