sku,description,category,unit_cost,on_hand_qty,reorder_point,last_received_date
SKU-000001,RawMaterial item 1,RawMaterial,17.89,316,35,2025-06-29
SKU-000002,Subassembly item 2,Subassembly,13.26,110,45,2025-06-15
SKU-000003,FinishedGood item 3,Packaging,22.63,478,42,2025-08-02
SKU-000004,Subassembly item 4,Subassembly,32.99,26,57,2025-01-29
SKU-000005,Subassembly item 5,FinishedGood,12.11,242,75,2025-05-06
SKU-000006,RawMaterial item 6,Packaging,17.2,35,31,2025-03-29
SKU-000007,Subassembly item 7,RawMaterial,6.91,115,39,2025-04-10
SKU-000008,RawMaterial item 8,Subassembly,13.08,282,16,2025-09-15
SKU-000009,FinishedGood item 9,Packaging,10.82,441,93,2025-07-21
SKU-000010,Subassembly item 10,Packaging,28.39,134,32,2025-06-04
SKU-000011,Packaging item 11,RawMaterial,13.04,69,66,2025-09-20
SKU-000012,Subassembly item 12,RawMaterial,18.43,163,14,2025-09-11
SKU-000013,FinishedGood item 13,FinishedGood,3.13,490,17,2025-09-25
SKU-000014,Packaging item 14,FinishedGood,20.5,13,77,2025-06-21
SKU-000015,FinishedGood item 15,RawMaterial,28.01,100,93,2025-05-19
SKU-000016,FinishedGood item 16,Packaging,25.98,409,43,2025-01-21
SKU-000017,Packaging item 17,Packaging,14.78,211,90,2025-11-01
SKU-000018,RawMaterial item 18,FinishedGood,17.0,258,91,2025-09-08
SKU-000019,FinishedGood item 19,Subassembly,29.41,225,25,2025-08-30
SKU-000020,Packaging item 20,RawMaterial,22.84,189,84,2025-02-25
SKU-000021,RawMaterial item 21,RawMaterial,56.88,236,39,2025-07-13
SKU-000022,RawMaterial item 22,FinishedGood,9.49,408,79,2025-06-26
SKU-000023,Subassembly item 23,Packaging,5.61,343,22,2025-10-17
SKU-000024,Packaging item 24,FinishedGood,35.88,224,27,2025-12-26
SKU-000025,Packaging item 25,Packaging,18.47,148,11,2025-10-11
SKU-000026,RawMaterial item 26,FinishedGood,22.35,279,16,2025-04-29
SKU-000027,Subassembly item 27,Packaging,16.72,11,99,2025-05-04
SKU-000028,FinishedGood item 28,RawMaterial,6.07,48,37,2025-04-05
SKU-000029,Packaging item 29,Subassembly,7.94,257,90,2025-12-09
SKU-000030,FinishedGood item 30,RawMaterial,15.25,323,79,2025-08-20
SKU-000031,Subassembly item 31,Packaging,36.26,347,87,2025-01-30
SKU-000032,Packaging item 32,FinishedGood,20.15,301,63,2025-12-26
SKU-000033,Packaging item 33,Packaging,14.64,425,39,2025-06-21
SKU-000034,RawMaterial item 34,FinishedGood,23.77,406,95,2025-07-30
SKU-000035,Subassembly item 35,FinishedGood,44.56,411,11,2025-12-14
SKU-000036,FinishedGood item 36,Packaging,8.52,340,20,2025-03-26
SKU-000037,FinishedGood item 37,FinishedGood,27.97,153,44,2025-09-03
SKU-000038,Packaging item 38,Packaging,44.22,299,55,2025-08-16
SKU-000039,RawMaterial item 39,Packaging,38.39,195,69,2025-07-04
SKU-000040,RawMaterial item 40,FinishedGood,25.72,266,96,2025-01-09
SKU-000041,RawMaterial item 41,Subassembly,14.64,409,64,2025-10-17
SKU-000042,Packaging item 42,Packaging,12.24,374,13,2025-03-30
SKU-000043,Subassembly item 43,FinishedGood,37.02,138,51,2025-12-04
SKU-000044,RawMaterial item 44,FinishedGood,5.42,9,11,2025-04-28
SKU-000045,RawMaterial item 45,Packaging,18.79,498,17,2025-09-26
SKU-000046,Subassembly item 46,Subassembly,14.46,59,51,2025-12-13
SKU-000047,RawMaterial item 47,Subassembly,7.45,464,70,2025-01-17
SKU-000048,Packaging item 48,RawMaterial,77.94,214,30,2025-11-23
SKU-000049,RawMaterial item 49,RawMaterial,13.31,374,53,2025-12-13
SKU-000050,RawMaterial item 50,FinishedGood,52.86,335,49,2025-12-20
SKU-000051,FinishedGood item 51,Subassembly,45.85,52,40,2025-12-30
SKU-000052,FinishedGood item 52,Packaging,40.05,51,92,2025-04-02
SKU-000053,FinishedGood item 53,Packaging,18.99,377,35,2025-06-02
SKU-000054,Subassembly item 54,FinishedGood,8.24,136,77,2025-04-18
SKU-000055,Packaging item 55,RawMaterial,36.28,466,59,2025-02-24
SKU-000056,FinishedGood item 56,Subassembly,17.2,269,28,2025-01-09
SKU-000057,Packaging item 57,FinishedGood,9.41,298,96,2025-10-18
SKU-000058,Subassembly item 58,RawMaterial,83.78,7,34,2025-03-05
SKU-000059,Subassembly item 59,RawMaterial,19.34,101,99,2025-06-28
SKU-000060,Subassembly item 60,FinishedGood,41.67,487,33,2025-11-02
SKU-000061,RawMaterial item 61,FinishedGood,32.16,124,44,2025-02-25
SKU-000062,RawMaterial item 62,Packaging,46.22,124,92,2025-10-04
SKU-000063,RawMaterial item 63,Packaging,27.42,108,23,2025-10-22
SKU-000064,FinishedGood item 64,Packaging,75.3,279,20,2025-10-17
SKU-000065,Subassembly item 65,RawMaterial,27.28,273,87,2025-05-13
SKU-000066,Packaging item 66,RawMaterial,3.38,489,90,2025-05-06
SKU-000067,Subassembly item 67,Packaging,24.4,204,51,2025-04-10
SKU-000068,RawMaterial item 68,Packaging,35.73,194,55,2025-09-11
SKU-000069,RawMaterial item 69,FinishedGood,9.34,59,84,2025-10-03
SKU-000070,FinishedGood item 70,FinishedGood,13.83,3,73,2025-11-17
SKU-000071,Packaging item 71,RawMaterial,18.87,173,31,2025-11-29
SKU-000072,Packaging item 72,Subassembly,60.26,74,13,2025-04-18
SKU-000073,Subassembly item 73,RawMaterial,19.39,120,30,2025-02-04
SKU-000074,Subassembly item 74,FinishedGood,53.76,291,55,2025-10-21
SKU-000075,FinishedGood item 75,FinishedGood,6.82,89,23,2025-03-10
SKU-000076,Packaging item 76,FinishedGood,16.43,457,40,2025-08-16
SKU-000077,FinishedGood item 77,RawMaterial,45.34,36,40,2025-10-12
SKU-000078,RawMaterial item 78,Subassembly,14.02,6,22,2025-04-20
SKU-000079,Subassembly item 79,Packaging,50.51,462,11,2025-07-06
SKU-000080,Packaging item 80,Subassembly,11.69,226,62,2025-01-06
SKU-000081,RawMaterial item 81,FinishedGood,11.42,477,73,2025-09-09
SKU-000082,FinishedGood item 82,RawMaterial,27.43,171,36,2025-02-15
SKU-000083,FinishedGood item 83,Packaging,113.73,413,43,2025-07-23
SKU-000084,RawMaterial item 84,Subassembly,13.9,99,51,2025-06-13
SKU-000085,Packaging item 85,Subassembly,74.03,235,49,2025-10-21
SKU-000086,Packaging item 86,FinishedGood,9.21,283,50,2025-12-19
SKU-000087,FinishedGood item 87,Packaging,13.71,43,82,2025-01-05
SKU-000088,FinishedGood item 88,Subassembly,14.9,341,55,2025-09-16
SKU-000089,FinishedGood item 89,RawMaterial,9.97,377,10,2025-12-10
SKU-000090,RawMaterial item 90,FinishedGood,15.71,176,24,2025-02-12
SKU-000091,Subassembly item 91,Packaging,26.07,15,62,2025-03-03
SKU-000092,Packaging item 92,Packaging,1.79,435,90,2025-09-14
SKU-000093,FinishedGood item 93,Packaging,11.03,324,23,2025-07-31
SKU-000094,FinishedGood item 94,Subassembly,8.27,-34,14,2025-12-18
SKU-000095,Subassembly item 95,FinishedGood,17.56,390,51,2025-01-11
SKU-000096,RawMaterial item 96,Subassembly,13.1,354,56,2025-05-24
SKU-000097,FinishedGood item 97,Packaging,32.54,255,63,2025-07-03
SKU-000098,RawMaterial item 98,RawMaterial,16.52,112,42,2025-03-30
SKU-000099,Packaging item 99,Subassembly,6.75,181,20,2025-12-20
SKU-000100,Subassembly item 100,Packaging,63.6,221,19,2025-11-18
SKU-000101,RawMaterial item 101,FinishedGood,11.37,207,75,2025-07-08
SKU-000102,FinishedGood item 102,Packaging,68.36,343,15,2025-12-28
SKU-000103,RawMaterial item 103,Subassembly,23.74,221,17,2025-09-28
SKU-000104,FinishedGood item 104,Packaging,60.39,177,91,2025-09-12
SKU-000105,FinishedGood item 105,FinishedGood,43.9,144,48,2025-08-25
SKU-000106,RawMaterial item 106,FinishedGood,25.34,456,79,2025-05-06
SKU-000107,Packaging item 107,RawMaterial,28.34,136,44,2025-03-09
SKU-000108,RawMaterial item 108,Subassembly,21.02,137,46,2025-10-26
SKU-000109,Subassembly item 109,Packaging,29.16,151,36,2025-11-03
SKU-000110,FinishedGood item 110,Packaging,19.53,438,27,2025-10-24
SKU-000111,RawMaterial item 111,RawMaterial,3.15,255,68,2025-09-10
SKU-000112,Subassembly item 112,RawMaterial,8.27,379,29,2025-04-28
SKU-000113,Packaging item 113,Subassembly,3.34,465,75,2025-04-24
SKU-000114,FinishedGood item 114,Packaging,11.72,265,88,2025-06-17
SKU-000115,Subassembly item 115,Packaging,11.39,346,97,2025-05-04
SKU-000116,Packaging item 116,FinishedGood,15.88,350,29,2025-12-21
SKU-000117,Subassembly item 117,RawMaterial,12.72,285,55,2025-08-09
SKU-000118,Packaging item 118,RawMaterial,83.99,190,52,2025-09-29
SKU-000119,Packaging item 119,Packaging,17.7,107,35,2025-03-26
