customer_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
CUST-00002,2025-12-31,0.0,0.0,0.0,0.0,486.91,486.91
CUST-00004,2025-12-31,0.0,0.0,0.0,0.0,2600.66,2600.66
CUST-00005,2025-12-31,0.0,0.0,83.61,504.75,0.0,588.36
CUST-00006,2025-12-31,0.0,0.0,536.37,0.0,1190.39,1726.76
CUST-00007,2025-12-31,0.0,0.0,0.0,0.0,159.05,159.05
CUST-00008,2025-12-31,0.0,0.0,345.87,0.0,10906.56,11252.43
CUST-00009,2025-12-31,0.0,0.0,0.0,0.0,448.68,448.68
CUST-00010,2025-12-31,0.0,0.0,0.0,0.0,716.43,716.43
CUST-00011,2025-12-31,0.0,0.0,0.0,0.0,1238.68,1238.68
CUST-00013,2025-12-31,0.0,1095.58,0.0,0.0,0.0,1095.58
CUST-00014,2025-12-31,0.0,0.0,3339.6,85.2,1573.32,4998.12
CUST-00015,2025-12-31,0.0,0.0,367.91,0.0,3249.29,3617.2
CUST-00016,2025-12-31,0.0,0.0,0.0,0.0,147.07,147.07
CUST-00017,2025-12-31,0.0,0.0,0.0,1580.63,0.0,1580.63
CUST-00018,2025-12-31,0.0,0.0,0.0,0.0,809.67,809.67
CUST-00019,2025-12-31,478.4,54.56,0.0,0.0,1820.15,2353.11
CUST-00020,2025-12-31,435.63,0.0,0.0,0.0,0.0,435.63
CUST-00021,2025-12-31,0.0,617.95,0.0,0.0,1496.06,2114.01
CUST-00022,2025-12-31,0.0,0.0,0.0,0.0,272.37,272.37
CUST-00023,2025-12-31,0.0,0.0,0.0,0.0,1641.33,1641.33
CUST-00024,2025-12-31,1368.04,0.0,0.0,0.0,2393.08,3761.12
CUST-00025,2025-12-31,0.0,0.0,0.0,0.0,1342.9,1342.9
CUST-00026,2025-12-31,425.34,0.0,0.0,0.0,576.0,1001.34
CUST-00028,2025-12-31,0.0,0.0,0.0,0.0,199.63,199.63
CUST-00029,2025-12-31,1572.64,0.0,0.0,0.0,3770.28,5342.92
CUST-00030,2025-12-31,0.0,0.0,0.0,263.95,707.92,971.87
CUST-00031,2025-12-31,0.0,0.0,0.0,0.0,67.64,67.64
CUST-00032,2025-12-31,0.0,0.0,0.0,0.0,18.0,18.0
CUST-00033,2025-12-31,1054.7,0.0,0.0,39.63,810.59,3139.48
CUST-00034,2025-12-31,2107.28,1958.74,0.0,0.0,40.29,4106.31
CUST-00036,2025-12-31,0.0,0.0,8.07,234.23,1274.58,1516.88
CUST-00037,2025-12-31,0.0,0.0,0.0,0.0,945.8,945.8
CUST-00038,2025-12-31,0.0,0.0,0.0,0.0,454.03,454.03
CUST-00039,2025-12-31,0.0,0.0,0.0,0.0,659.18,659.18
CUST-00040,2025-12-31,0.0,446.36,0.0,0.0,2161.09,2607.45
CUST-00042,2025-12-31,0.0,0.0,0.0,0.0,1386.57,1386.57
CUST-00043,2025-12-31,0.0,0.0,4794.47,0.0,196.25,4990.72
CUST-00044,2025-12-31,0.0,0.0,0.0,0.0,574.86,574.86
CUST-00045,2025-12-31,0.0,0.0,0.0,0.0,1585.29,1585.29
CUST-00046,2025-12-31,255.99,0.0,0.0,138.68,1383.04,1777.71
CUST-00047,2025-12-31,0.0,0.0,0.0,0.0,418.24,418.24
CUST-00048,2025-12-31,0.0,0.0,0.0,81.24,321.77,403.01
CUST-00049,2025-12-31,2160.95,0.0,0.0,0.0,1630.96,3791.91
CUST-00050,2025-12-31,0.0,0.0,0.0,0.0,2699.8,2699.8
CUST-00051,2025-12-31,0.0,0.0,285.13,734.34,0.0,1019.47
CUST-00053,2025-12-31,0.0,0.0,0.0,371.85,0.0,371.85
CUST-00054,2025-12-31,0.0,4419.8,0.0,0.0,0.0,4419.8
CUST-00055,2025-12-31,0.0,92.17,0.0,0.0,7550.13,7642.3
CUST-00056,2025-12-31,0.0,0.0,0.0,0.0,2684.12,2684.12
CUST-00057,2025-12-31,0.0,0.0,0.0,0.0,553.13,553.13
CUST-00058,2025-12-31,0.0,0.0,0.0,0.0,4638.78,4638.78
CUST-00059,2025-12-31,1015.43,0.0,0.0,0.0,3766.9,4782.33
CUST-00060,2025-12-31,0.0,0.0,0.0,0.0,3879.51,3879.51
CUST-00061,2025-12-31,0.0,0.0,0.0,0.0,1605.26,1605.26
CUST-00062,2025-12-31,0.0,0.0,0.0,0.0,928.25,928.25
CUST-00063,2025-12-31,0.0,1061.17,417.18,0.0,1193.81,2672.16
CUST-00064,2025-12-31,0.0,124.34,0.0,0.0,0.0,124.34
CUST-00065,2025-12-31,0.0,0.0,0.0,0.0,1253.57,1253.57
CUST-00066,2025-12-31,0.0,175.82,0.0,0.0,444.73,620.55
CUST-00068,2025-12-31,0.0,0.0,6580.71,0.0,2701.42,9282.13
CUST-00069,2025-12-31,0.0,0.0,0.0,0.0,1576.26,1576.26
CUST-00071,2025-12-31,1451.58,0.0,0.0,0.0,3406.99,4858.57
CUST-00072,2025-12-31,0.0,40.01,0.0,0.0,727.74,767.75
CUST-00073,2025-12-31,0.0,0.0,0.0,0.0,266.86,266.86
CUST-00074,2025-12-31,0.0,167.35,0.0,0.0,0.0,167.35
CUST-00075,2025-12-31,0.0,0.0,0.0,0.0,904.0,904.0
CUST-00076,2025-12-31,0.0,0.0,0.0,0.0,1534.09,1534.09
CUST-00077,2025-12-31,0.0,0.0,786.95,0.0,0.0,786.95
CUST-00078,2025-12-31,0.0,0.0,0.0,0.0,3357.51,3357.51
CUST-00079,2025-12-31,0.0,0.0,0.0,0.0,2061.14,2061.14
CUST-00080,2025-12-31,96.92,110.09,0.0,0.0,319.05,526.06
CUST-00081,2025-12-31,0.0,0.0,0.0,0.0,615.45,615.45
CUST-00082,2025-12-31,0.0,187.91,0.0,530.44,149.39,867.74
CUST-00083,2025-12-31,0.0,0.0,0.0,1876.09,197.33,2073.42
CUST-00084,2025-12-31,0.0,254.32,0.0,0.0,0.0,254.32
CUST-00085,2025-12-31,0.0,0.0,0.0,0.0,1784.31,1784.31
CUST-00086,2025-12-31,0.0,0.0,0.0,0.0,1103.16,1103.16
CUST-00087,2025-12-31,723.96,5396.96,0.0,0.0,1093.55,7214.47
CUST-00088,2025-12-31,0.0,0.0,146.67,0.0,751.64,898.31
CUST-00089,2025-12-31,167.07,0.0,0.0,0.0,1902.68,2069.75
CUST-00090,2025-12-31,1607.2,0.0,0.0,0.0,668.5,2275.7
CUST-00091,2025-12-31,2468.71,0.0,0.0,0.0,1291.23,3759.94
CUST-00092,2025-12-31,303.17,0.0,0.0,0.0,2039.65,2342.82
CUST-00093,2025-12-31,4893.75,0.0,0.0,0.0,0.0,4893.75
CUST-00094,2025-12-31,0.0,0.0,186.64,0.0,2014.69,2201.33
CUST-00096,2025-12-31,945.39,0.0,0.0,0.0,1749.4,2694.79
CUST-00097,2025-12-31,212.93,0.0,0.0,112.35,0.0,325.28
CUST-00099,2025-12-31,0.0,0.0,0.0,0.0,167.58,167.58
CUST-00100,2025-12-31,0.0,0.0,0.0,0.0,263.25,263.25
CUST-00101,2025-12-31,0.0,172.72,0.0,0.0,3151.41,3324.13
CUST-00102,2025-12-31,0.0,0.0,0.0,373.12,7259.33,7632.45
CUST-00103,2025-12-31,0.0,0.0,0.0,0.0,163.93,163.93
CUST-00104,2025-12-31,54.12,0.0,0.0,0.0,0.0,54.12
CUST-00105,2025-12-31,0.0,0.0,0.0,5282.65,1349.54,6632.19
CUST-00106,2025-12-31,0.0,526.38,0.0,0.0,121.13,647.51
CUST-00107,2025-12-31,0.0,0.0,1513.47,0.0,650.53,2164.0
CUST-00108,2025-12-31,0.0,0.0,216.54,0.0,0.0,216.54
CUST-00109,2025-12-31,0.0,0.0,0.0,0.0,1013.27,1013.27
CUST-00110,2025-12-31,153.4,0.0,129.65,0.0,1315.09,1598.14
CUST-00112,2025-12-31,0.0,762.59,0.0,0.0,1639.92,2402.51
CUST-00113,2025-12-31,0.0,0.0,0.0,0.0,2438.8,2438.8
CUST-00114,2025-12-31,0.0,1240.92,0.0,0.0,2990.44,4231.36
CUST-00115,2025-12-31,0.0,0.0,0.0,0.0,1286.22,1286.22
CUST-00116,2025-12-31,0.0,0.0,0.0,0.0,281.01,281.01
CUST-00117,2025-12-31,0.0,0.0,0.0,0.0,213.33,213.33
CUST-00118,2025-12-31,1541.36,0.0,0.0,0.0,0.0,1541.36
CUST-00119,2025-12-31,0.0,0.0,0.0,0.0,6921.83,6921.83
CUST-00120,2025-12-31,0.0,688.84,0.0,1465.99,395.09,2549.92
CUST-00121,2025-12-31,0.0,0.0,0.0,0.0,616.94,616.94
CUST-00122,2025-12-31,2252.61,0.0,0.0,1521.8,0.0,3774.41
CUST-00123,2025-12-31,494.15,0.0,3143.17,0.0,0.0,3637.32
CUST-00125,2025-12-31,0.0,0.0,636.1,37.81,0.0,673.91
CUST-00126,2025-12-31,0.0,0.0,102.27,512.0,6235.29,6849.56
CUST-00127,2025-12-31,0.0,0.0,0.0,0.0,1731.64,1731.64
CUST-00128,2025-12-31,81.74,0.0,0.0,0.0,1562.96,1644.7
CUST-00130,2025-12-31,0.0,0.0,0.0,0.0,674.72,674.72
CUST-00131,2025-12-31,0.0,0.0,0.0,0.0,1367.09,1367.09
CUST-00133,2025-12-31,376.53,0.0,0.0,0.0,0.0,376.53
CUST-00134,2025-12-31,0.0,0.0,0.0,0.0,107.92,107.92
CUST-00135,2025-12-31,0.0,0.0,0.0,0.0,598.58,598.58
CUST-00136,2025-12-31,171.28,0.0,0.0,0.0,0.0,171.28
CUST-00138,2025-12-31,404.63,544.01,0.0,161.86,373.09,1483.59
CUST-00139,2025-12-31,0.0,900.43,0.0,0.0,903.76,1804.19
CUST-00142,2025-12-31,1251.67,0.0,0.0,0.0,1243.1,2494.77
CUST-00143,2025-12-31,0.0,0.0,0.0,0.0,250.31,250.31
CUST-00145,2025-12-31,0.0,0.0,0.0,0.0,5735.48,5735.48
CUST-00146,2025-12-31,0.0,0.0,699.4,0.0,870.56,1569.96
CUST-00147,2025-12-31,0.0,0.0,0.0,0.0,1614.22,1614.22
CUST-00148,2025-12-31,0.0,0.0,0.0,1270.12,393.68,1663.8
