invoice_id,customer_id,invoice_date,due_date,amount,paid_amount,balance,status,currency
INV-2025000001,CUST-00159,2025-06-29,2025-07-14,2683.43,488.01,2195.42,open,USD
INV-2025000002,CUST-00063,2025-10-03,2025-11-02,1535.76,1535.76,0.0,paid,USD
INV-2025000003,CUST-00297,2025-10-27,2025-11-26,957.05,957.05,0.0,paid,USD
INV-2025000004,CUST-00089,2025-02-03,2025-03-05,596.63,596.63,0.0,paid,USD
INV-2025000005,CUST-00291,2025-06-17,2025-08-16,1521.91,1521.91,0.0,paid,USD
INV-2025000006,CUST-00068,2025-11-27,2025-12-12,4421.13,4421.13,0.0,paid,USD
INV-2025000007,CUST-00397,2025-03-27,2025-05-11,720.94,96.26,624.68,open,USD
INV-2025000008,CUST-00211,2025-03-26,2025-05-10,2754.46,1228.22,1526.24,open,USD
INV-2025000009,CUST-00325,2025-04-15,2025-06-14,1686.54,1686.54,0.0,paid,USD
INV-2025000010,CUST-00020,2025-02-01,2025-02-16,2775.2,2775.2,0.0,paid,USD
INV-2025000011,CUST-00022,2025-08-27,2025-09-26,1347.53,1081.45,266.08,open,USD
INV-2025000012,CUST-00373,2025-06-01,2025-07-01,1021.66,1.48,1020.18,open,USD
INV-2025000013,CUST-00035,2025-05-26,2025-07-10,1253.22,1253.22,0.0,paid,USD
INV-2025000014,CUST-00245,2025-09-26,2025-11-10,569.17,367.96,201.21,open,USD
INV-2025000015,CUST-00374,2025-09-13,2025-10-28,232.6,232.6,0.0,paid,USD
INV-2025000016,CUST-00084,2025-03-05,2025-03-20,1906.63,1906.63,0.0,paid,USD
INV-2025000017,CUST-00358,2025-04-02,2025-05-02,5810.5,2439.55,3370.95,open,USD
INV-2025000018,CUST-00170,2025-02-07,2025-02-22,250.34,63.39,186.95,open,USD
INV-2025000019,CUST-00275,2025-12-03,2026-02-01,2141.24,2141.24,0.0,paid,USD
INV-2025000020,CUST-00034,2025-05-03,2025-06-02,338.02,297.73,40.29,open,USD
INV-2025000021,CUST-00105,2025-03-21,2025-04-05,274.97,274.97,0.0,paid,USD
INV-2025000022,CUST-00047,2025-11-10,2026-01-09,673.34,673.34,0.0,paid,USD
INV-2025000023,CUST-00330,2025-10-09,2025-11-08,692.86,528.64,164.22,open,USD
INV-2025000024,CUST-00088,2025-02-05,2025-03-07,1842.27,1842.27,0.0,paid,USD
INV-2025000025,CUST-00100,2025-08-09,2025-09-08,1329.0,1329.0,0.0,paid,USD
INV-2025000026,CUST-00289,2025-08-09,2025-09-23,826.81,219.41,607.4,open,USD
INV-2025000027,CUST-00176,2025-04-17,2025-06-16,282.03,262.74,19.29,open,USD
INV-2025000028,CUST-00023,2025-06-24,2025-07-24,673.98,673.98,0.0,paid,USD
INV-2025000029,CUST-00199,2025-09-28,2025-11-12,1274.61,190.97,1083.64,open,USD
INV-2025000030,CUST-00201,2025-07-22,2025-09-20,984.05,984.05,0.0,paid,USD
INV-2025000031,CUST-00257,2025-02-08,2025-02-23,1682.08,1682.08,0.0,paid,USD
INV-2025000032,CUST-00141,2025-04-27,2025-06-26,1239.99,1239.99,0.0,paid,USD
INV-2025000033,CUST-00023,2025-02-16,2025-03-18,1012.99,1012.99,0.0,paid,USD
INV-2025000034,CUST-00309,2025-03-03,2025-03-18,132.04,126.3,5.74,open,USD
INV-2025000035,CUST-00292,2025-01-30,2025-03-01,103.61,103.61,0.0,paid,USD
INV-2025000036,CUST-00251,2025-04-27,2025-06-11,3236.28,1275.76,1960.52,open,USD
INV-2025000037,CUST-00029,2025-08-08,2025-09-07,1182.16,1182.16,0.0,paid,USD
INV-2025000038,CUST-00235,2025-08-18,2025-10-02,807.98,597.13,210.85,open,USD
INV-2025000039,CUST-00211,2025-12-11,2026-01-25,9570.5,9570.5,0.0,paid,USD
INV-2025000040,CUST-00043,2025-10-10,2025-11-09,9591.34,4796.87,4794.47,open,USD
INV-2025000041,CUST-00185,2025-11-10,2025-11-25,1947.8,1728.66,219.14,open,USD
INV-2025000042,CUST-00004,2025-04-17,2025-06-01,2240.17,2240.17,0.0,paid,USD
INV-2025000043,CUST-00335,2025-09-20,2025-11-19,614.52,614.52,0.0,paid,USD
INV-2025000044,CUST-00010,2025-01-19,2025-02-03,438.81,438.81,0.0,paid,USD
INV-2025000045,CUST-00333,2025-01-08,2025-02-07,1746.82,1746.82,0.0,paid,USD
INV-2025000046,CUST-00253,2025-09-26,2025-10-26,1644.7,1644.7,0.0,paid,USD
INV-2025000047,CUST-00042,2025-07-12,2025-07-27,485.41,485.41,0.0,paid,USD
INV-2025000048,CUST-00057,2025-10-17,2025-12-16,1606.21,1606.21,0.0,paid,USD
INV-2025000049,CUST-00018,2025-03-17,2025-04-01,2036.55,1226.88,809.67,open,USD
INV-2025000050,CUST-00134,2025-05-12,2025-05-27,507.79,507.79,0.0,paid,USD
INV-2025000051,CUST-00154,2025-04-19,2025-05-04,909.56,909.56,0.0,paid,USD
INV-2025000052,CUST-00090,2025-07-09,2025-08-23,883.65,883.65,0.0,paid,USD
INV-2025000053,CUST-00136,2025-12-10,2025-12-25,687.69,516.41,171.28,open,USD
INV-2025000054,CUST-00071,2025-08-04,2025-09-18,1380.26,293.88,1086.38,open,USD
INV-2025000055,CUST-00101,2025-03-17,2025-04-01,5751.9,2600.49,3151.41,open,USD
INV-2025000056,CUST-00357,2025-02-06,2025-03-23,1957.44,1957.44,0.0,paid,USD
INV-2025000057,CUST-00121,2025-10-10,2025-11-24,361.07,361.07,0.0,paid,USD
INV-2025000058,CUST-00067,2025-06-23,2025-08-07,1989.78,1989.78,0.0,paid,USD
INV-2025000059,CUST-00246,2025-09-21,2025-11-20,2422.53,2422.53,0.0,paid,USD
