account_id,month,budget_amount
4000,2025-01-01,4263.43
4000,2025-02-01,10781.9
4000,2025-03-01,3407.25
4000,2025-04-01,5181.67
4000,2025-05-01,5285.63
4000,2025-06-01,1923.18
4000,2025-07-01,7499.48
4000,2025-08-01,5462.66
4000,2025-09-01,15215.61
4000,2025-10-01,7749.18
4000,2025-11-01,2979.82
4000,2025-12-01,1241.63
4100,2025-01-01,6091.58
4100,2025-02-01,6719.73
4100,2025-03-01,5641.27
4100,2025-04-01,4230.77
4100,2025-05-01,8276.98
4100,2025-06-01,7061.53
4100,2025-07-01,2063.63
4100,2025-08-01,4638.06
4100,2025-09-01,3483.66
4100,2025-10-01,2512.45
4100,2025-11-01,12479.91
4100,2025-12-01,5030.69
5000,2025-01-01,4657.63
5000,2025-02-01,7094.06
5000,2025-03-01,6354.89
5000,2025-04-01,8185.21
5000,2025-05-01,14099.48
5000,2025-06-01,3482.71
5000,2025-07-01,2145.15
5000,2025-08-01,7463.43
5000,2025-09-01,10392.98
5000,2025-10-01,1598.16
5000,2025-11-01,2299.14
5000,2025-12-01,7672.72
6000,2025-01-01,6817.13
6000,2025-02-01,2557.88
6000,2025-03-01,6695.74
6000,2025-04-01,4267.8
6000,2025-05-01,1132.91
6000,2025-06-01,2461.36
6000,2025-07-01,2289.61
6000,2025-08-01,4166.56
6000,2025-09-01,2367.49
6000,2025-10-01,7575.7
6000,2025-11-01,7686.9
6000,2025-12-01,6893.53
6100,2025-01-01,6175.11
6100,2025-02-01,9115.92
6100,2025-03-01,4566.28
6100,2025-04-01,4126.02
6100,2025-05-01,5324.59
6100,2025-06-01,4666.74
6100,2025-07-01,9983.14
6100,2025-08-01,4698.86
6100,2025-09-01,7245.29
6100,2025-10-01,4300.02
6100,2025-11-01,2864.73
6100,2025-12-01,6296.27
6200,2025-01-01,4655.28
6200,2025-02-01,3698.06
6200,2025-03-01,4894.98
6200,2025-04-01,3409.39
6200,2025-05-01,2713.1
6200,2025-06-01,3711.08
6200,2025-07-01,3399.69
6200,2025-08-01,6576.93
6200,2025-09-01,6812.01
6200,2025-10-01,3570.58
6200,2025-11-01,3257.78
6200,2025-12-01,10103.15
6300,2025-01-01,3392.77
6300,2025-02-01,1306.05
6300,2025-03-01,3131.66
6300,2025-04-01,8654.16
6300,2025-05-01,1914.92
6300,2025-06-01,4851.26
6300,2025-07-01,5420.16
6300,2025-08-01,5994.3
6300,2025-09-01,6223.39
6300,2025-10-01,8713.82
6300,2025-11-01,2267.74
6300,2025-12-01,4396.78
6400,2025-01-01,7448.36
6400,2025-02-01,3687.5
6400,2025-03-01,5414.72
6400,2025-04-01,3727.73
6400,2025-05-01,2913.85
6400,2025-06-01,11982.61
6400,2025-07-01,7465.72
6400,2025-08-01,1673.59
6400,2025-09-01,8013.96
6400,2025-10-01,1954.61
6400,2025-11-01,6929.32
6400,2025-12-01,4296.87
6500,2025-01-01,8659.88
6500,2025-02-01,4899.62
6500,2025-03-01,6122.29
6500,2025-04-01,3563.71
6500,2025-05-01,9977.83
6500,2025-06-01,7301.35
6500,2025-07-01,2556.83
6500,2025-08-01,10428.32
6500,2025-09-01,3280.16
6500,2025-10-01,4295.94
6500,2025-11-01,3398.27
6500,2025-12-01,6671.52
5020,2025-01-01,4810.88
5020,2025-02-01,2410.58
5020,2025-03-01,14658.21
5020,2025-04-01,4864.22
5020,2025-05-01,2950.68
5020,2025-06-01,5267.97
5020,2025-07-01,3738.04
5020,2025-08-01,13100.84
5020,2025-09-01,32614.25
5020,2025-10-01,7607.65
5020,2025-11-01,2451.29
5020,2025-12-01,1118.61
5030,2025-01-01,3897.75
5030,2025-02-01,11255.01
5030,2025-03-01,2911.57
5030,2025-04-01,7587.49
5030,2025-05-01,5015.46
5030,2025-06-01,6515.31
5030,2025-07-01,4663.52
5030,2025-08-01,5371.99
5030,2025-09-01,3488.44
5030,2025-10-01,6894.75
5030,2025-11-01,14263.85
5030,2025-12-01,1902.34
5040,2025-01-01,19202.73
5040,2025-02-01,2688.46
5040,2025-03-01,3598.1
5040,2025-04-01,11353.97
5040,2025-05-01,5133.6
5040,2025-06-01,5358.98
5040,2025-07-01,5263.38
5040,2025-08-01,4651.59
5040,2025-09-01,3979.87
5040,2025-10-01,8072.91
5040,2025-11-01,11873.75
5040,2025-12-01,3661.01
