account_id,quarter,forecast_amount,forecast_as_of
4000,2025Q1,7588.39,2025-01-01
4000,2025Q2,5265.29,2025-01-01
4000,2025Q3,9326.53,2025-01-01
4000,2025Q4,15317.87,2025-01-01
4100,2025Q1,12623.76,2025-01-01
4100,2025Q2,38649.89,2025-01-01
4100,2025Q3,9557.99,2025-01-01
4100,2025Q4,16984.42,2025-01-01
5000,2025Q1,20957.27,2025-01-01
5000,2025Q2,11432.71,2025-01-01
5000,2025Q3,20081.83,2025-01-01
5000,2025Q4,10997.02,2025-01-01
6000,2025Q1,16181.87,2025-01-01
6000,2025Q2,14420.63,2025-01-01
6000,2025Q3,13893.08,2025-01-01
6000,2025Q4,9329.76,2025-01-01
6100,2025Q1,20144.36,2025-01-01
6100,2025Q2,4886.9,2025-01-01
6100,2025Q3,13893.96,2025-01-01
6100,2025Q4,13369.0,2025-01-01
6200,2025Q1,12995.15,2025-01-01
6200,2025Q2,21206.98,2025-01-01
6200,2025Q3,8520.11,2025-01-01
6200,2025Q4,10504.16,2025-01-01
6300,2025Q1,6895.47,2025-01-01
6300,2025Q2,6655.45,2025-01-01
6300,2025Q3,15821.44,2025-01-01
6300,2025Q4,39580.43,2025-01-01
6400,2025Q1,9710.11,2025-01-01
6400,2025Q2,16228.46,2025-01-01
6400,2025Q3,15102.87,2025-01-01
6400,2025Q4,12505.12,2025-01-01
6500,2025Q1,4636.66,2025-01-01
6500,2025Q2,13366.9,2025-01-01
6500,2025Q3,47359.36,2025-01-01
6500,2025Q4,22909.73,2025-01-01
5020,2025Q1,11734.6,2025-01-01
5020,2025Q2,17543.18,2025-01-01
5020,2025Q3,9393.7,2025-01-01
5020,2025Q4,10591.13,2025-01-01
5030,2025Q1,15721.0,2025-01-01
5030,2025Q2,24011.3,2025-01-01
5030,2025Q3,10044.88,2025-01-01
5030,2025Q4,24232.43,2025-01-01
5040,2025Q1,11128.07,2025-01-01
5040,2025Q2,25539.01,2025-01-01
5040,2025Q3,20030.11,2025-01-01
5040,2025Q4,13259.76,2025-01-01
