entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-07-07,1520,357.79,0.0,Cash receipt applied,mlopez,2025-07-07T08:54:00
JE-2025000001,2025-07-07,4100,0.0,357.79,Cash receipt applied,mlopez,2025-07-07T08:54:00
JE-2025000002,2025-12-29,1520,288.79,0.0,Cash receipt applied,jchen,2025-12-29T08:43:00
JE-2025000002,2025-12-29,4100,0.0,288.79,Cash receipt applied,jchen,2025-12-29T08:43:00
JE-2025000003,2025-05-28,1300,110.81,0.0,Customer invoice posting,rwhite,2025-05-28T09:58:00
JE-2025000003,2025-05-28,2000,0.0,110.81,Customer invoice posting,rwhite,2025-05-28T09:58:00
JE-2025000004,2025-07-11,5020,2603.62,0.0,Reclass,rwhite,2025-07-11T13:31:00
JE-2025000004,2025-07-11,1510,0.0,2603.62,Reclass,rwhite,2025-07-11T13:31:00
JE-2025000005,2025-03-27,1000,60.04,0.0,Depreciation,kpatel,2025-03-27T14:04:00
JE-2025000005,2025-03-27,2100,0.0,60.04,Depreciation,kpatel,2025-03-27T14:04:00
JE-2025000006,2025-05-18,1203,894.52,0.0,Depreciation,mlopez,2025-05-18T09:32:00
JE-2025000006,2025-05-18,4100,0.0,894.52,Depreciation,mlopez,2025-05-18T09:32:00
JE-2025000007,2025-01-29,6400,262.9,0.0,Reclass,sjohnson,2025-01-29T16:55:00
JE-2025000007,2025-01-29,1202,0.0,262.9,Reclass,sjohnson,2025-01-29T16:55:00
JE-2025000008,2025-08-30,6200,465.66,0.0,Monthly accrual,kpatel,2025-08-30T13:07:00
JE-2025000008,2025-08-30,1201,0.0,465.66,Monthly accrual,kpatel,2025-08-30T13:07:00
JE-2025000009,2025-06-24,1510,327.72,0.0,Payroll run,system_batch,2025-06-24T08:13:00
JE-2025000009,2025-06-24,4000,0.0,327.72,Payroll run,system_batch,2025-06-24T08:13:00
JE-2025000010,2025-06-25,1202,2494.37,0.0,Monthly accrual,sjohnson,2025-06-25T14:19:00
JE-2025000010,2025-06-25,4100,0.0,2494.37,Monthly accrual,sjohnson,2025-06-25T14:19:00
JE-2025000011,2025-09-14,6400,428.03,0.0,Cash receipt applied,rwhite,2025-09-14T11:40:00
JE-2025000011,2025-09-14,1510,0.0,428.03,Cash receipt applied,rwhite,2025-09-14T11:40:00
JE-2025000012,2025-02-22,5030,79.55,0.0,Reclass,sjohnson,2025-02-22T13:02:00
JE-2025000012,2025-02-22,1200,0.0,79.55,Reclass,sjohnson,2025-02-22T13:02:00
