vendor_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
VEND-00001,2025-12-31,902.25,0.0,0.0,0.0,2339.36,3241.61
VEND-00002,2025-12-31,0.0,0.0,322.26,0.0,1185.75,1508.01
VEND-00003,2025-12-31,0.0,0.0,0.0,0.0,45.25,45.25
VEND-00004,2025-12-31,0.0,2388.07,0.0,0.0,936.05,3324.12
VEND-00005,2025-12-31,0.0,0.0,0.0,0.0,0.85,0.85
VEND-00006,2025-12-31,0.0,0.0,0.0,0.0,1586.47,1586.47
VEND-00007,2025-12-31,611.66,0.0,0.0,0.0,7088.84,7700.5
VEND-00008,2025-12-31,2419.95,0.0,0.0,0.0,4637.13,7057.08
VEND-00009,2025-12-31,1377.99,0.0,697.51,0.0,293.05,2368.55
VEND-00010,2025-12-31,0.0,0.0,0.0,534.1,447.57,981.67
VEND-00011,2025-12-31,0.0,0.0,0.0,0.0,59.51,59.51
VEND-00012,2025-12-31,0.0,0.0,0.0,0.0,95.78,95.78
VEND-00013,2025-12-31,0.0,0.0,0.0,147.08,0.0,147.08
VEND-00014,2025-12-31,475.34,0.0,0.0,0.0,4725.43,5200.77
VEND-00015,2025-12-31,0.0,0.0,0.0,667.37,2326.81,2994.18
VEND-00016,2025-12-31,0.0,0.0,1241.82,367.46,1816.72,3426.0
VEND-00017,2025-12-31,0.0,0.0,0.0,0.0,85.21,85.21
VEND-00018,2025-12-31,0.0,0.0,0.0,0.0,190.64,190.64
VEND-00019,2025-12-31,0.0,0.0,1642.7,0.0,3567.85,5210.55
VEND-00021,2025-12-31,0.0,0.0,0.0,0.0,200.72,200.72
VEND-00022,2025-12-31,0.0,0.0,0.0,421.53,329.05,750.58
VEND-00023,2025-12-31,0.0,0.0,0.0,0.0,89.67,89.67
VEND-00024,2025-12-31,0.0,0.0,287.15,0.0,2814.49,3101.64
VEND-00025,2025-12-31,0.0,140.91,233.63,0.0,384.37,758.91
VEND-00026,2025-12-31,267.88,0.0,0.0,832.98,263.73,1364.59
VEND-00027,2025-12-31,912.65,0.0,0.0,0.0,287.56,1200.21
VEND-00028,2025-12-31,0.0,0.0,124.86,0.0,855.37,980.23
VEND-00029,2025-12-31,0.0,0.0,0.0,0.0,1135.33,1135.33
VEND-00030,2025-12-31,0.0,0.0,79.8,0.0,4809.34,4889.14
VEND-00031,2025-12-31,0.0,0.0,0.0,0.0,618.16,618.16
VEND-00032,2025-12-31,0.0,0.0,0.0,0.0,271.82,271.82
VEND-00033,2025-12-31,0.0,0.0,0.0,0.0,2695.45,2695.45
VEND-00034,2025-12-31,330.61,8242.46,0.0,0.0,686.21,9259.28
