bill_id,vendor_id,invoice_number,invoice_date,due_date,po_number,amount,paid_amount,balance,status,approved_by
BILL-2025000001,VEND-00036,V54279,2025-11-01,2025-12-31,PO-112120,156.45,156.45,0.0,paid,mlopez
BILL-2025000002,VEND-00066,V58456,2025-01-03,2025-03-04,PO-579969,1042.31,671.04,371.27,open,sjohnson
BILL-2025000003,VEND-00067,V43688,2025-08-15,2025-10-14,PO-572116,3597.98,3597.98,0.0,paid,kpatel
BILL-2025000004,VEND-00135,V54100,2025-08-11,2025-10-10,PO-438682,200.27,91.59,108.68,open,sjohnson
BILL-2025000005,VEND-00109,V76333,2025-06-19,2025-08-18,PO-318816,880.58,484.26,396.32,open,sjohnson
BILL-2025000006,VEND-00075,V25819,2025-06-12,2025-08-11,,989.43,989.43,0.0,paid,sjohnson
BILL-2025000007,VEND-00093,V12530,2025-06-08,2025-07-08,PO-560680,243.54,11.48,232.06,open,rwhite
BILL-2025000008,VEND-00085,V88799,2025-02-27,2025-04-28,PO-579624,1102.1,1102.1,0.0,paid,rwhite
BILL-2025000009,VEND-00056,V51508,2025-08-12,2025-09-26,PO-561076,293.7,293.7,0.0,paid,rwhite
BILL-2025000010,VEND-00149,V72885,2025-04-21,2025-06-20,,127.58,127.58,0.0,paid,sjohnson
BILL-2025000011,VEND-00072,V19928,2025-11-11,2025-12-26,PO-388469,3208.06,3208.06,0.0,paid,mlopez
BILL-2025000012,VEND-00082,V92084,2025-09-28,2025-11-12,PO-173547,5730.69,3202.67,2528.02,open,mlopez
BILL-2025000013,VEND-00048,V58979,2025-05-19,2025-07-03,,354.0,354.0,0.0,paid,sjohnson
BILL-2025000014,VEND-00014,V67490,2025-01-18,2025-02-17,PO-914717,620.55,620.55,0.0,paid,kpatel
BILL-2025000015,VEND-00109,V74992,2025-10-29,2025-12-13,PO-635250,445.57,445.57,0.0,paid,sjohnson
BILL-2025000016,VEND-00104,V79080,2025-11-20,2025-12-20,PO-702624,561.71,396.57,165.14,open,rwhite
BILL-2025000017,VEND-00056,V71687,2025-09-15,2025-10-30,,117.86,117.86,0.0,paid,kpatel
BILL-2025000018,VEND-00092,V16691,2025-03-02,2025-05-01,PO-187439,267.03,267.03,0.0,paid,mlopez
BILL-2025000019,VEND-00095,V88091,2025-11-14,2025-12-29,PO-277137,461.62,254.66,206.96,open,rwhite
BILL-2025000020,VEND-00052,V24239,2025-09-16,2025-10-16,PO-512589,688.0,424.44,263.56,open,sjohnson
BILL-2025000021,VEND-00033,V65217,2025-03-12,2025-04-26,PO-222456,2693.72,2693.72,0.0,paid,kpatel
BILL-2025000022,VEND-00042,V96667,2025-10-10,2025-11-09,PO-703586,399.5,399.5,0.0,paid,mlopez
BILL-2025000023,VEND-00044,V41273,2025-12-26,2026-01-25,PO-842113,1382.44,1382.44,0.0,paid,rwhite
BILL-2025000024,VEND-00040,V61197,2025-01-30,2025-03-16,,1037.97,1037.97,0.0,paid,rwhite
BILL-2025000025,VEND-00084,V65161,2025-09-09,2025-11-08,PO-211671,705.97,705.97,0.0,paid,sjohnson
BILL-2025000026,VEND-00122,V77167,2025-05-17,2025-07-01,PO-984493,690.79,271.02,419.77,open,kpatel
BILL-2025000027,VEND-00103,V96083,2025-10-06,2025-11-20,PO-918613,430.24,305.28,124.96,open,kpatel
BILL-2025000028,VEND-00040,V61525,2025-11-06,2026-01-05,PO-410434,3183.16,3183.16,0.0,paid,rwhite
BILL-2025000029,VEND-00075,V57180,2025-06-07,2025-07-07,,703.18,703.18,0.0,paid,mlopez
BILL-2025000030,VEND-00113,V92532,2025-05-20,2025-07-19,PO-944780,384.14,25.03,359.11,open,kpatel
BILL-2025000031,VEND-00075,V37168,2025-01-10,2025-02-09,PO-493685,2110.31,2110.31,0.0,paid,rwhite
BILL-2025000032,VEND-00088,V92615,2025-07-08,2025-09-06,PO-431643,1621.01,1621.01,0.0,paid,mlopez
BILL-2025000033,VEND-00019,V44705,2025-08-29,2025-09-28,PO-714521,1459.84,1459.84,0.0,paid,sjohnson
BILL-2025000034,VEND-00051,V76784,2025-03-29,2025-05-28,PO-305383,597.12,597.12,0.0,paid,sjohnson
BILL-2025000035,VEND-00056,V61824,2025-08-05,2025-09-19,PO-557038,451.98,262.52,189.46,open,kpatel
BILL-2025000036,VEND-00130,V71992,2025-10-26,2025-12-10,PO-419718,744.56,198.49,546.07,open,mlopez
BILL-2025000037,VEND-00007,V46764,2025-12-14,2026-02-12,PO-563974,2358.08,2344.13,13.95,open,sjohnson
BILL-2025000038,VEND-00007,V20411,2025-09-18,2025-11-17,PO-719721,633.94,633.94,0.0,paid,rwhite
BILL-2025000039,VEND-00147,V20794,2025-02-24,2025-04-10,PO-308876,396.82,322.91,73.91,open,kpatel
BILL-2025000040,VEND-00117,V48094,2025-01-25,2025-02-24,PO-930557,2839.37,1641.49,1197.88,open,rwhite
BILL-2025000041,VEND-00064,V74511,2025-01-12,2025-02-11,PO-680928,714.7,256.18,458.52,open,kpatel
BILL-2025000042,VEND-00059,V12379,2025-10-05,2025-11-19,PO-618977,180.96,180.96,0.0,paid,mlopez
BILL-2025000043,VEND-00058,V65320,2025-12-09,2026-01-23,PO-115790,857.54,857.54,0.0,paid,sjohnson
BILL-2025000044,VEND-00075,V48175,2025-10-17,2025-12-16,PO-148237,830.95,830.95,0.0,paid,kpatel
BILL-2025000045,VEND-00025,V83695,2025-07-25,2025-08-24,PO-777424,512.3,423.16,89.14,open,sjohnson
BILL-2025000046,VEND-00094,V58771,2025-08-13,2025-10-12,PO-509293,830.69,830.69,0.0,paid,kpatel
BILL-2025000047,VEND-00055,V25938,2025-09-30,2025-11-14,PO-525295,309.88,114.57,195.31,open,mlopez
BILL-2025000048,VEND-00005,V41692,2025-06-09,2025-07-24,PO-949555,997.55,997.55,0.0,paid,rwhite
BILL-2025000049,VEND-00040,V55898,2025-05-19,2025-06-18,PO-350303,1426.66,1426.66,0.0,paid,rwhite
BILL-2025000050,VEND-00034,V17257,2025-11-02,2025-12-02,PO-601767,2831.58,1906.73,924.85,open,sjohnson
BILL-2025000051,VEND-00033,V11933,2025-03-18,2025-05-02,PO-510422,53.55,45.69,7.86,open,mlopez
BILL-2025000052,VEND-00101,V26738,2025-11-17,2026-01-01,PO-317259,1449.0,1449.0,0.0,paid,rwhite
BILL-2025000053,VEND-00019,V74095,2025-06-03,2025-07-18,PO-989352,563.51,563.51,0.0,paid,sjohnson
BILL-2025000054,VEND-00010,V62873,2025-09-08,2025-10-23,PO-471815,2373.58,1839.48,534.1,open,rwhite
BILL-2025000055,VEND-00145,V41384,2025-09-30,2025-10-30,PO-273600,3617.47,3617.47,0.0,paid,kpatel
BILL-2025000056,VEND-00018,V31591,2025-07-31,2025-08-30,,3477.18,3477.18,0.0,paid,rwhite
BILL-2025000057,VEND-00145,V27165,2025-01-29,2025-03-30,PO-558422,1188.59,1188.59,0.0,paid,sjohnson
BILL-2025000058,VEND-00048,V13379,2025-05-03,2025-07-02,,871.04,72.14,798.9,open,rwhite
BILL-2025000059,VEND-00028,V93751,2025-06-20,2025-08-04,PO-287593,2285.71,2285.71,0.0,paid,rwhite
BILL-2025000060,VEND-00019,V18862,2025-12-30,2026-02-28,PO-516377,379.22,379.22,0.0,paid,mlopez
BILL-2025000061,VEND-00081,V25732,2025-06-13,2025-07-28,PO-183449,410.27,410.27,0.0,paid,sjohnson
BILL-2025000062,VEND-00024,V74108,2025-07-17,2025-08-31,PO-825164,1957.85,852.54,1105.31,open,rwhite
BILL-2025000063,VEND-00131,V46694,2025-11-14,2025-12-14,,365.19,365.19,0.0,paid,rwhite
BILL-2025000064,VEND-00081,V30175,2025-04-04,2025-05-19,PO-537689,934.22,934.22,0.0,paid,rwhite
BILL-2025000065,VEND-00016,V49074,2025-03-15,2025-05-14,,2992.38,1181.74,1810.64,open,mlopez
BILL-2025000066,VEND-00001,V55033,2025-04-23,2025-06-07,PO-636840,845.57,845.57,0.0,paid,kpatel
BILL-2025000067,VEND-00111,V33787,2025-06-05,2025-08-04,,959.27,959.27,0.0,paid,sjohnson
BILL-2025000068,VEND-00113,V45011,2025-03-03,2025-04-17,,209.28,209.28,0.0,paid,sjohnson
BILL-2025000069,VEND-00130,V74988,2025-03-14,2025-04-13,PO-975566,2135.87,1202.31,933.56,open,mlopez
BILL-2025000070,VEND-00063,V78692,2025-05-02,2025-06-16,PO-771619,707.47,707.47,0.0,paid,rwhite
BILL-2025000071,VEND-00103,V44425,2025-08-11,2025-09-10,PO-500053,1456.82,271.05,1185.77,open,mlopez
BILL-2025000072,VEND-00123,V20372,2025-11-17,2026-01-16,PO-395170,1757.49,1757.49,0.0,paid,kpatel
BILL-2025000073,VEND-00130,V18637,2025-10-30,2025-12-29,PO-752209,5161.42,3522.28,1639.14,open,rwhite
BILL-2025000074,VEND-00120,V21925,2025-06-26,2025-08-25,PO-788906,475.66,475.66,0.0,paid,kpatel
