bom_id,parent_sku,component_sku,qty_per_parent,effective_date
BOM-000001,SKU-000331,SKU-000458,3.14,2025-01-22
BOM-000002,SKU-000558,SKU-000591,7.11,2023-11-09
BOM-000003,SKU-000462,SKU-000496,3.29,2024-10-24
BOM-000004,SKU-000197,SKU-000486,9.19,2025-10-31
BOM-000005,SKU-000314,SKU-000035,8.98,2024-05-24
BOM-000006,SKU-000526,SKU-000280,5.76,2023-03-10
BOM-000007,SKU-000472,SKU-000319,9.5,2024-03-26
BOM-000008,SKU-000442,SKU-000232,2.57,2024-01-30
BOM-000009,SKU-000581,SKU-000382,4.65,2023-05-10
BOM-000010,SKU-000236,SKU-000033,0.59,2024-12-03
BOM-000011,SKU-000089,SKU-000155,9.72,2023-07-15
BOM-000012,SKU-000532,SKU-000569,3.37,2023-08-06
BOM-000013,SKU-000041,SKU-000054,7.85,2023-06-06
BOM-000014,SKU-000359,SKU-000473,5.59,2023-12-12
BOM-000015,SKU-000587,SKU-000156,3.32,2023-08-28
BOM-000016,SKU-000498,SKU-000540,2.8,2023-06-15
BOM-000017,SKU-000373,SKU-000087,6.42,2024-09-24
BOM-000018,SKU-000157,SKU-000437,1.01,2024-10-04
BOM-000019,SKU-000399,SKU-000348,8.47,2025-01-27
BOM-000020,SKU-000454,SKU-000395,5.24,2023-03-04
BOM-000021,SKU-000045,SKU-000006,6.86,2024-01-29
BOM-000022,SKU-000233,SKU-000459,1.82,2025-09-04
BOM-000023,SKU-000001,SKU-000454,9.41,2024-02-12
BOM-000024,SKU-000486,SKU-000358,9.87,2024-07-20
BOM-000025,SKU-000343,SKU-000250,8.35,2024-04-14
BOM-000026,SKU-000236,SKU-000236,9.79,2024-02-24
BOM-000027,SKU-000338,SKU-000547,7.99,2024-06-26
BOM-000028,SKU-000417,SKU-000234,2.24,2025-05-17
BOM-000029,SKU-000199,SKU-000317,5.91,2024-12-30
BOM-000030,SKU-000217,SKU-000472,4.4,2024-04-22
BOM-000031,SKU-000258,SKU-000575,5.86,2024-03-28
BOM-000032,SKU-000138,SKU-000353,9.89,2023-07-20
BOM-000033,SKU-000047,SKU-000392,1.61,2025-10-17
BOM-000034,SKU-000083,SKU-000334,4.77,2024-07-19
BOM-000035,SKU-000177,SKU-000427,2.78,2024-01-19
BOM-000036,SKU-000086,SKU-000543,8.8,2025-02-08
BOM-000037,SKU-000457,SKU-000579,6.18,2023-02-25
BOM-000038,SKU-000034,SKU-000006,7.14,2024-06-08
BOM-000039,SKU-000098,SKU-000273,1.9,2023-10-02
BOM-000040,SKU-000194,SKU-000287,0.98,2024-02-10
BOM-000041,SKU-000079,SKU-000504,7.77,2025-07-27
BOM-000042,SKU-000172,SKU-000409,6.2,2023-08-08
BOM-000043,SKU-000089,SKU-000491,4.42,2025-02-03
BOM-000044,SKU-000460,SKU-000135,6.64,2025-01-25
BOM-000045,SKU-000495,SKU-000293,0.79,2024-09-02
