account_id,account_name,account_type,period_end,debit_balance,credit_balance
1000,Cash - Operating,asset,2025-12-31,101619.22,0.0
1010,Cash - Payroll,asset,2025-12-31,69376.9,0.0
1100,Accounts Receivable,asset,2025-12-31,154600.42,0.0
1105,Allowance for Doubtful Accounts,asset,2025-12-31,115654.54,0.0
1200,Inventory,asset,2025-12-31,95598.28,0.0
1300,Prepaid Expenses,asset,2025-12-31,110844.36,0.0
1500,"Property, Plant & Equipment",asset,2025-12-31,69005.43,0.0
1510,Accumulated Depreciation,asset,2025-12-31,73322.8,0.0
2000,Accounts Payable,liability,2025-12-31,0.0,146674.69
2100,Accrued Liabilities,liability,2025-12-31,0.0,188863.75
2200,Deferred Revenue,liability,2025-12-31,0.0,176165.89
2300,Income Tax Payable,liability,2025-12-31,0.0,169624.68
2500,Long-Term Debt,liability,2025-12-31,0.0,168430.34
3000,Common Stock,equity,2025-12-31,0.0,0.0
3100,Retained Earnings,equity,2025-12-31,0.0,0.0
4000,Revenue,revenue,2025-12-31,0.0,754278.86
4100,Sales Returns & Allowances,revenue,2025-12-31,0.0,801254.55
5000,Cost of Goods Sold,expense,2025-12-31,124504.69,0.0
6000,Salaries & Wages,expense,2025-12-31,130919.31,0.0
6100,Rent Expense,expense,2025-12-31,148733.13,0.0
6200,Utilities,expense,2025-12-31,102444.2,0.0
6300,Professional Fees,expense,2025-12-31,125106.55,0.0
6400,Depreciation Expense,expense,2025-12-31,107453.41,0.0
6500,Bad Debt Expense,expense,2025-12-31,136169.73,0.0
1201,Raw Materials,asset,2025-12-31,103271.09,0.0
1202,Work In Progress,asset,2025-12-31,76277.79,0.0
1203,Finished Goods,asset,2025-12-31,78025.3,0.0
5020,Manufacturing Overhead,expense,2025-12-31,134891.08,0.0
5030,Material Variance,expense,2025-12-31,140078.12,0.0
5040,Labor Variance,expense,2025-12-31,112474.18,0.0
1520,Machinery & Equipment,asset,2025-12-31,94922.23,0.0
