entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-02-13,1100,623.84,0.0,Monthly accrual,kpatel,2025-02-13T10:32:00
JE-2025000001,2025-02-13,4100,0.0,623.84,Monthly accrual,kpatel,2025-02-13T10:32:00
JE-2025000002,2025-06-19,1500,17.56,0.0,Payroll run,system_batch,2025-06-19T11:10:00
JE-2025000002,2025-06-19,1010,0.0,17.56,Payroll run,system_batch,2025-06-19T11:10:00
JE-2025000003,2025-04-29,1300,141.81,0.0,Payment to vendor,mlopez,2025-04-29T17:39:00
JE-2025000003,2025-04-29,2000,0.0,141.81,Payment to vendor,mlopez,2025-04-29T17:39:00
JE-2025000004,2025-06-13,6400,547.7,0.0,Reclass,jchen,2025-06-13T08:15:00
JE-2025000004,2025-06-13,2300,0.0,547.7,Reclass,jchen,2025-06-13T08:15:00
JE-2025000005,2025-10-23,6300,856.82,0.0,Cash receipt applied,mlopez,2025-10-23T14:16:00
JE-2025000005,2025-10-23,2300,0.0,856.82,Cash receipt applied,mlopez,2025-10-23T14:16:00
JE-2025000006,2025-06-03,1100,174.88,0.0,Payment to vendor,mlopez,2025-06-03T16:01:00
JE-2025000006,2025-06-03,4100,0.0,174.88,Payment to vendor,mlopez,2025-06-03T16:01:00
JE-2025000007,2025-06-15,6000,480.66,0.0,Payroll run,jchen,2025-06-15T16:07:00
JE-2025000007,2025-06-15,1105,0.0,480.66,Payroll run,jchen,2025-06-15T16:07:00
JE-2025000008,2025-12-01,1105,378.57,0.0,Payment to vendor,sjohnson,2025-12-01T08:52:00
JE-2025000008,2025-12-01,4000,0.0,128.57,Payment to vendor,sjohnson,2025-12-01T08:52:00
JE-2025000009,2025-09-13,1510,83.19,0.0,Cash receipt applied,system_batch,2025-09-13T13:50:00
JE-2025000009,2025-09-13,2500,0.0,83.19,Cash receipt applied,system_batch,2025-09-13T13:50:00
JE-2025000010,2025-10-29,6000,72.58,0.0,Payroll run,mlopez,2025-10-29T15:07:00
JE-2025000010,2025-10-29,1500,0.0,72.58,Payroll run,mlopez,2025-10-29T15:07:00
JE-2025000011,2025-11-08,6300,267.84,0.0,Reclass,rwhite,2025-11-08T14:38:00
JE-2025000011,2025-11-08,1100,0.0,267.84,Reclass,rwhite,2025-11-08T14:38:00
JE-2025000012,2025-09-10,6200,259.53,0.0,Customer invoice posting,jchen,2025-09-10T15:13:00
JE-2025000012,2025-09-10,2200,0.0,259.53,Customer invoice posting,jchen,2025-09-10T15:13:00
JE-2025000013,2025-12-09,1500,305.44,0.0,Depreciation,system_batch,2025-12-09T12:45:00
JE-2025000013,2025-12-09,4100,0.0,305.44,Depreciation,system_batch,2025-12-09T12:45:00
JE-2025000014,2025-01-02,1500,50.33,0.0,Cash receipt applied,rwhite,2025-01-02T16:00:00
JE-2025000014,2025-01-02,4000,0.0,50.33,Cash receipt applied,rwhite,2025-01-02T16:00:00
JE-2025000015,2025-09-03,6300,42.87,0.0,Customer invoice posting,sjohnson,2025-09-03T14:47:00
JE-2025000015,2025-09-03,1000,0.0,42.87,Customer invoice posting,sjohnson,2025-09-03T14:47:00
JE-2025000016,2025-05-09,1100,762.28,0.0,Monthly accrual,mlopez,2025-05-09T13:06:00
JE-2025000016,2025-05-09,2000,0.0,762.28,Monthly accrual,mlopez,2025-05-09T13:06:00
JE-2025000017,2025-05-24,1500,73.24,0.0,Depreciation,rwhite,2025-05-24T09:51:00
JE-2025000017,2025-05-24,4000,0.0,73.24,Depreciation,rwhite,2025-05-24T09:51:00
JE-2025000018,2025-11-22,6400,1157.65,0.0,Reclass,kpatel,2025-11-22T14:20:00
JE-2025000018,2025-11-22,1500,0.0,1157.65,Reclass,kpatel,2025-11-22T14:20:00
JE-2025000019,2025-05-28,1010,2024.18,0.0,Reclass,mlopez,2025-05-28T15:20:00
JE-2025000019,2025-05-28,4100,0.0,2024.18,Reclass,mlopez,2025-05-28T15:20:00
JE-2025000020,2025-07-02,6300,1847.26,0.0,Payroll run,system_batch,2025-07-02T10:13:00
JE-2025000020,2025-07-02,1105,0.0,1847.26,Payroll run,system_batch,2025-07-02T10:13:00
