vendor_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
VEND-00001,2025-12-31,0.0,0.0,0.0,569.23,1145.21,1714.44
VEND-00002,2025-12-31,250.54,0.0,0.0,0.0,0.0,250.54
VEND-00003,2025-12-31,0.0,0.0,0.0,0.0,958.27,958.27
VEND-00004,2025-12-31,0.0,0.0,0.0,0.0,1006.57,1006.57
VEND-00005,2025-12-31,53.48,0.0,0.0,246.6,506.89,806.97
VEND-00006,2025-12-31,0.0,0.0,0.0,0.0,9241.68,9241.68
VEND-00007,2025-12-31,0.0,0.0,0.0,0.0,596.24,596.24
VEND-00008,2025-12-31,0.0,0.0,0.0,0.0,16.85,16.85
VEND-00009,2025-12-31,122.86,0.0,0.0,0.0,0.0,122.86
VEND-00010,2025-12-31,0.0,0.0,0.0,0.0,195.02,195.02
VEND-00011,2025-12-31,0.0,0.0,0.0,0.0,993.5,993.5
VEND-00012,2025-12-31,0.0,289.32,0.0,0.0,1973.94,2263.26
VEND-00013,2025-12-31,0.0,0.0,0.0,0.0,2275.16,2275.16
VEND-00014,2025-12-31,2110.47,0.0,0.0,114.0,189.04,2413.51
VEND-00015,2025-12-31,0.0,75.16,0.0,161.07,2621.71,2857.94
VEND-00016,2025-12-31,0.0,0.0,0.0,0.0,5716.82,5716.82
VEND-00017,2025-12-31,692.25,0.0,0.0,0.0,206.5,898.75
VEND-00018,2025-12-31,0.0,0.0,44.17,0.0,672.8,716.97
VEND-00019,2025-12-31,0.0,0.0,2179.57,0.0,3927.72,6107.29
VEND-00020,2025-12-31,0.0,93.05,0.0,0.0,0.0,93.05
VEND-00022,2025-12-31,0.0,0.0,397.54,0.0,347.88,745.42
VEND-00023,2025-12-31,0.0,0.0,0.0,2937.83,153.74,3091.57
VEND-00024,2025-12-31,0.0,0.0,0.0,0.0,547.3,547.3
VEND-00025,2025-12-31,0.0,104.08,0.0,0.0,490.43,594.51
VEND-00026,2025-12-31,0.0,0.0,0.0,0.0,189.35,189.35
VEND-00027,2025-12-31,0.0,0.0,163.76,0.0,908.88,1072.64
VEND-00028,2025-12-31,280.62,0.0,244.79,0.0,0.0,525.41
VEND-00029,2025-12-31,0.0,0.0,0.0,0.0,4173.73,4173.73
VEND-00031,2025-12-31,0.0,0.0,0.0,0.0,421.07,421.07
VEND-00032,2025-12-31,0.0,0.0,937.01,0.0,128.01,1065.02
VEND-00033,2025-12-31,0.0,0.0,0.0,31.79,204.09,235.88
VEND-00034,2025-12-31,474.85,0.0,0.0,0.0,0.0,474.85
VEND-00035,2025-12-31,1041.22,0.0,0.0,0.0,26.88,1068.1
VEND-00036,2025-12-31,0.0,0.0,0.0,0.0,207.09,207.09
VEND-00037,2025-12-31,0.0,0.0,0.0,1448.56,188.31,1636.87
VEND-00038,2025-12-31,0.0,0.0,0.0,373.87,1220.59,1594.46
VEND-00039,2025-12-31,167.07,0.0,570.95,0.0,452.68,1190.7
VEND-00040,2025-12-31,0.0,0.0,0.0,224.21,223.7,447.91
