invoice_id,customer_id,invoice_date,due_date,amount,paid_amount,balance,status,currency
INV-2025000001,CUST-00067,2025-03-31,2025-05-30,602.56,602.56,0.0,paid,USD
INV-2025000002,CUST-00056,2025-02-13,2025-02-28,927.49,927.49,0.0,paid,USD
INV-2025000003,CUST-00047,2025-11-09,2026-01-08,5851.3,5851.3,0.0,paid,USD
INV-2025000004,CUST-00052,2025-02-14,2025-03-31,757.61,289.17,468.44,open,USD
INV-2025000005,CUST-00049,2025-03-21,2025-04-20,353.1,353.1,0.0,paid,USD
INV-2025000006,CUST-00049,2025-07-30,2025-08-29,1185.87,1185.87,0.0,paid,USD
INV-2025000007,CUST-00050,2025-08-28,2025-10-27,308.41,100.88,207.53,open,USD
INV-2025000008,CUST-00062,2025-03-20,2025-05-19,141.19,141.19,0.0,paid,USD
INV-2025000009,CUST-00019,2025-05-28,2025-07-27,273.76,273.76,0.0,paid,USD
INV-2025000010,CUST-00017,2025-07-08,2025-09-06,2027.07,1974.3,52.77,open,USD
INV-2025000011,CUST-00071,2025-09-30,2025-11-14,1284.37,1284.37,0.0,paid,USD
INV-2025000012,CUST-00067,2025-03-21,2025-05-05,1680.47,295.62,1384.85,open,USD
INV-2025000013,CUST-00054,2025-07-31,2025-09-14,1062.56,1062.56,0.0,paid,USD
INV-2025000014,CUST-00036,2025-10-21,2025-11-20,5230.8,5230.8,0.0,paid,USD
INV-2025000015,CUST-00021,2025-02-21,2025-04-22,252.04,252.04,0.0,paid,USD
INV-2025000016,CUST-00028,2025-07-01,2025-07-16,571.33,571.33,0.0,paid,USD
INV-2025000017,CUST-00042,2025-01-16,2025-02-15,2991.76,2991.76,0.0,paid,USD
INV-2025000018,CUST-00028,2025-06-17,2025-08-01,3035.5,3035.5,0.0,paid,USD
INV-2025000019,CUST-00049,2025-06-23,2025-08-07,1062.82,1062.82,0.0,paid,USD
INV-2025000020,CUST-00040,2025-12-24,2026-02-07,2696.54,711.54,1985.0,open,USD
INV-2025000021,CUST-00050,2025-05-22,2025-06-21,2539.44,2539.44,0.0,paid,USD
INV-2025000022,CUST-00072,2025-03-18,2025-04-02,512.69,29.66,483.03,open,USD
INV-2025000023,CUST-00080,2025-03-08,2025-04-22,1029.89,1029.89,0.0,paid,USD
INV-2025000024,CUST-00052,2025-12-18,2026-01-17,928.85,928.85,0.0,paid,USD
INV-2025000025,CUST-00038,2025-01-02,2025-03-03,359.61,359.61,0.0,paid,USD
INV-2025000026,CUST-00073,2025-01-04,2025-02-03,1611.52,1137.29,474.23,open,USD
INV-2025000027,CUST-00019,2025-03-15,2025-04-29,1335.57,1224.88,110.69,open,USD
INV-2025000028,CUST-00058,2025-04-16,2025-06-15,1701.66,17.47,1684.19,open,USD
INV-2025000029,CUST-00027,2025-02-16,2025-03-18,902.01,902.01,0.0,paid,USD
INV-2025000030,CUST-00027,2025-02-15,2025-03-02,1480.45,668.83,811.62,open,USD
INV-2025000031,CUST-00063,2025-09-18,2025-10-18,404.9,404.9,0.0,paid,USD
INV-2025000032,CUST-00057,2025-06-26,2025-08-10,1396.71,1053.97,342.74,open,USD
INV-2025000033,CUST-00065,2025-07-16,2025-09-14,1373.35,1373.35,0.0,paid,USD
INV-2025000034,CUST-00005,2025-07-01,2025-08-15,4184.61,4184.61,0.0,paid,USD
INV-2025000035,CUST-00022,2025-05-05,2025-06-19,1672.3,1672.3,0.0,paid,USD
INV-2025000036,CUST-00080,2025-03-18,2025-04-17,3403.88,3403.88,0.0,paid,USD
INV-2025000037,CUST-00015,2025-11-06,2026-01-05,303.18,303.18,0.0,paid,USD
INV-2025000038,CUST-00043,2025-01-12,2025-02-11,1135.13,1135.13,0.0,paid,USD
INV-2025000039,CUST-00043,2025-10-28,2025-11-27,4373.47,4373.47,0.0,paid,USD
INV-2025000040,CUST-00001,2025-10-23,2025-12-22,8058.31,4695.48,3362.83,open,USD
INV-2025000041,CUST-00020,2025-10-12,2025-10-27,111.14,111.14,0.0,paid,USD
INV-2025000042,CUST-00054,2025-07-11,2025-08-25,697.08,697.08,0.0,paid,USD
INV-2025000043,CUST-00063,2025-09-29,2025-11-28,481.62,481.62,0.0,paid,USD
INV-2025000044,CUST-00009,2025-07-05,2025-08-19,138.05,138.05,0.0,paid,USD
INV-2025000045,CUST-00052,2025-04-27,2025-06-26,913.81,913.81,0.0,paid,USD
INV-2025000046,CUST-00050,2025-02-11,2025-03-28,2313.63,2313.63,0.0,paid,USD
INV-2025000047,CUST-00072,2025-05-19,2025-06-03,1117.84,1117.84,0.0,paid,USD
INV-2025000048,CUST-00079,2025-03-01,2025-04-15,6197.91,6197.91,0.0,paid,USD
INV-2025000049,CUST-00051,2025-09-12,2025-11-11,700.59,700.59,0.0,paid,USD
INV-2025000050,CUST-00049,2025-07-26,2025-09-09,532.17,532.17,0.0,paid,USD
INV-2025000051,CUST-00007,2025-10-01,2025-11-15,1735.6,1735.6,0.0,paid,USD
INV-2025000052,CUST-00049,2025-12-13,2026-01-27,1416.56,285.54,1131.02,open,USD
INV-2025000053,CUST-00067,2025-04-12,2025-04-27,1615.37,1615.37,0.0,paid,USD
INV-2025000054,CUST-00030,2025-11-10,2025-12-10,2658.34,2658.34,0.0,paid,USD
INV-2025000055,CUST-00071,2025-07-29,2025-09-27,2281.48,371.47,1910.01,open,USD
INV-2025000056,CUST-00032,2025-01-31,2025-04-01,2488.79,2488.79,0.0,paid,USD
INV-2025000057,CUST-00047,2025-04-22,2025-05-22,4190.49,4190.49,0.0,paid,USD
INV-2025000058,CUST-00016,2025-10-22,2025-11-06,1615.84,1615.84,0.0,paid,USD
