entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-10-01,1100,391.7,0.0,Payroll run,mlopez,2025-10-01T11:17:00
JE-2025000001,2025-10-01,4010,0.0,391.7,Payroll run,mlopez,2025-10-01T11:17:00
JE-2025000002,2025-08-24,1210,237.24,0.0,Customer invoice posting,rwhite,2025-08-24T09:57:00
JE-2025000002,2025-08-24,4020,0.0,237.24,Customer invoice posting,rwhite,2025-08-24T09:57:00
JE-2025000003,2025-04-03,1000,2320.01,0.0,Payment to vendor,mlopez,2025-04-03T13:28:00
JE-2025000003,2025-04-03,4000,0.0,2320.01,Payment to vendor,mlopez,2025-04-03T13:28:00
JE-2025000004,2025-09-08,6000,1509.42,0.0,Payroll run,mlopez,2025-09-08T17:45:00
JE-2025000004,2025-09-08,2200,0.0,1509.42,Payroll run,mlopez,2025-09-08T17:45:00
JE-2025000005,2025-03-20,1105,203.28,0.0,Cash receipt applied,jchen,2025-03-20T14:10:00
JE-2025000005,2025-03-20,2300,0.0,203.28,Cash receipt applied,jchen,2025-03-20T14:10:00
JE-2025000006,2025-11-02,6400,396.36,0.0,Payroll run,sjohnson,2025-11-02T17:48:00
JE-2025000006,2025-11-02,1510,0.0,396.36,Payroll run,sjohnson,2025-11-02T17:48:00
JE-2025000007,2025-11-15,5010,1066.79,0.0,Cash receipt applied,sjohnson,2025-11-15T10:39:00
JE-2025000007,2025-11-15,2500,0.0,1066.79,Cash receipt applied,sjohnson,2025-11-15T10:39:00
JE-2025000008,2025-07-20,6110,1307.97,0.0,Depreciation,kpatel,2025-07-20T11:38:00
JE-2025000008,2025-07-20,1105,0.0,1307.97,Depreciation,kpatel,2025-07-20T11:38:00
JE-2025000009,2025-08-05,5000,563.43,0.0,Payroll run,mlopez,2025-08-05T12:57:00
JE-2025000009,2025-08-05,1210,0.0,563.43,Payroll run,mlopez,2025-08-05T12:57:00
JE-2025000010,2025-11-18,1200,623.66,0.0,Vendor invoice booked,jchen,2025-11-18T17:09:00
JE-2025000010,2025-11-18,4100,0.0,623.66,Vendor invoice booked,jchen,2025-11-18T17:09:00
JE-2025000011,2025-08-20,1200,280.36,0.0,Payment to vendor,system_batch,2025-08-20T11:27:00
JE-2025000011,2025-08-20,2500,0.0,280.36,Payment to vendor,system_batch,2025-08-20T11:27:00
JE-2025000012,2025-07-22,1010,101.9,0.0,Depreciation,jchen,2025-07-22T17:52:00
