bill_id,vendor_id,invoice_number,invoice_date,due_date,po_number,amount,paid_amount,balance,status,approved_by
BILL-2025000001,VEND-00010,V72734,2025-07-28,2025-09-26,PO-884766,1459.32,1459.32,0.0,paid,rwhite
BILL-2025000002,VEND-00013,V33615,2025-06-08,2025-08-07,PO-233541,225.28,225.28,0.0,paid,mlopez
BILL-2025000003,VEND-00008,V35224,2025-03-26,2025-04-25,PO-932684,522.98,506.13,16.85,open,kpatel
BILL-2025000004,VEND-00035,V88678,2025-10-30,2025-11-29,PO-778070,402.5,402.5,0.0,paid,kpatel
BILL-2025000005,VEND-00004,V60255,2025-01-02,2025-02-01,PO-858979,1016.22,758.7,257.52,open,sjohnson
BILL-2025000006,VEND-00037,V30717,2025-01-14,2025-02-13,PO-920112,508.84,363.67,145.17,open,mlopez
BILL-2025000007,VEND-00006,V61819,2025-03-02,2025-05-01,PO-218183,3579.88,837.16,2742.72,open,kpatel
BILL-2025000008,VEND-00020,V95597,2025-11-29,2026-01-13,PO-118493,516.65,516.65,0.0,paid,mlopez
BILL-2025000009,VEND-00040,V57004,2025-12-03,2026-01-02,PO-383331,853.12,853.12,0.0,paid,rwhite
BILL-2025000010,VEND-00011,V55029,2025-04-14,2025-05-14,PO-917929,1666.12,672.62,993.5,open,kpatel
BILL-2025000011,VEND-00001,V53287,2025-04-24,2025-05-24,PO-964367,755.31,755.31,0.0,paid,rwhite
BILL-2025000012,VEND-00012,V42544,2025-03-11,2025-04-10,PO-731118,590.37,65.45,524.92,open,sjohnson
BILL-2025000013,VEND-00008,V47337,2025-10-19,2025-12-18,PO-679389,2164.51,2164.51,0.0,paid,kpatel
BILL-2025000014,VEND-00001,V45885,2025-05-30,2025-07-14,PO-364919,605.95,605.95,0.0,paid,sjohnson
BILL-2025000015,VEND-00028,V23345,2025-09-20,2025-11-19,PO-657155,2816.78,2816.78,0.0,paid,rwhite
BILL-2025000016,VEND-00025,V85638,2025-03-06,2025-05-05,PO-590584,1036.04,545.61,490.43,open,rwhite
BILL-2025000017,VEND-00029,V92337,2025-02-17,2025-03-19,PO-257645,384.67,384.67,0.0,paid,kpatel
BILL-2025000018,VEND-00026,V37114,2025-12-31,2026-02-14,PO-402919,736.08,736.08,0.0,paid,rwhite
BILL-2025000019,VEND-00010,V36667,2025-06-07,2025-07-07,PO-406828,210.83,15.81,195.02,open,sjohnson
BILL-2025000020,VEND-00002,V52885,2025-05-02,2025-06-16,PO-501432,231.21,231.21,0.0,paid,kpatel
BILL-2025000021,VEND-00011,V85969,2025-10-03,2025-11-17,PO-945304,3909.53,3909.53,0.0,paid,kpatel
BILL-2025000022,VEND-00014,V71739,2025-12-24,2026-02-22,PO-417718,12789.36,10678.89,2110.47,open,sjohnson
BILL-2025000023,VEND-00012,V88074,2025-11-03,2026-01-02,PO-680477,602.2,602.2,0.0,paid,rwhite
BILL-2025000024,VEND-00021,V12153,2025-05-23,2025-07-22,,1194.89,1194.89,0.0,paid,mlopez
BILL-2025000025,VEND-00003,V86878,2025-08-12,2025-09-11,,2824.76,2824.76,0.0,paid,rwhite
BILL-2025000026,VEND-00032,V35193,2025-08-11,2025-09-25,,788.52,788.52,0.0,paid,rwhite
