bill_id,vendor_id,invoice_number,invoice_date,due_date,po_number,amount,paid_amount,balance,status,approved_by
BILL-2025000001,VEND-00070,V49914,2025-05-17,2025-07-16,PO-508137,777.1,777.1,0.0,paid,kpatel
BILL-2025000002,VEND-00048,V67037,2025-09-24,2025-11-23,PO-431967,447.5,447.5,0.0,paid,sjohnson
BILL-2025000003,VEND-00038,V19993,2025-11-28,2025-12-28,PO-558110,533.45,533.45,0.0,paid,rwhite
BILL-2025000004,VEND-00135,V64794,2025-07-15,2025-08-14,PO-781593,91.02,9.68,81.34,open,mlopez
BILL-2025000005,VEND-00024,V58370,2025-01-29,2025-03-15,PO-600283,1485.83,1485.83,0.0,paid,kpatel
BILL-2025000006,VEND-00034,V84395,2025-04-23,2025-05-23,PO-647355,259.83,69.61,190.22,open,mlopez
BILL-2025000007,VEND-00060,V51974,2025-03-22,2025-05-21,PO-860344,380.88,291.86,89.02,open,rwhite
BILL-2025000008,VEND-00140,V62896,2025-09-01,2025-10-01,,260.95,260.95,0.0,paid,rwhite
BILL-2025000009,VEND-00070,V59544,2025-11-21,2026-01-05,,1928.31,1928.31,0.0,paid,mlopez
BILL-2025000010,VEND-00144,V98520,2025-01-13,2025-03-14,PO-836672,1178.26,1178.26,0.0,paid,kpatel
BILL-2025000011,VEND-00066,V81073,2025-11-13,2025-12-13,PO-932391,158.01,158.01,0.0,paid,kpatel
BILL-2025000012,VEND-00103,V14866,2025-05-01,2025-06-15,PO-485083,141.59,141.59,0.0,paid,kpatel
BILL-2025000013,VEND-00060,V97205,2025-06-26,2025-08-25,PO-590918,2732.23,2732.23,0.0,paid,rwhite
BILL-2025000014,VEND-00140,V98861,2025-06-16,2025-08-15,PO-325583,5497.49,5497.49,0.0,paid,mlopez
BILL-2025000015,VEND-00106,V99707,2025-02-25,2025-04-11,PO-611374,3718.19,3718.19,0.0,paid,kpatel
BILL-2025000016,VEND-00091,V98202,2025-02-14,2025-03-31,PO-462928,565.11,209.82,355.29,open,kpatel
BILL-2025000017,VEND-00055,V12118,2025-04-20,2025-06-19,PO-990891,3493.84,1247.9,2245.94,open,rwhite
BILL-2025000018,VEND-00037,V83252,2025-07-19,2025-09-02,PO-397232,384.05,384.05,0.0,paid,sjohnson
BILL-2025000019,VEND-00042,V94113,2025-04-12,2025-06-11,PO-246035,1900.03,21.98,1878.05,open,sjohnson
BILL-2025000020,VEND-00080,V14731,2025-08-06,2025-10-05,PO-558481,1035.47,1035.47,0.0,paid,sjohnson
BILL-2025000021,VEND-00071,V60123,2025-01-13,2025-02-12,PO-470125,5964.18,5964.18,0.0,paid,rwhite
BILL-2025000022,VEND-00046,V57162,2025-02-03,2025-03-20,PO-227638,504.02,504.02,0.0,paid,sjohnson
