invoice_id,customer_id,invoice_date,due_date,amount,paid_amount,balance,status,currency
INV-2025000001,CUST-00280,2025-11-13,2025-11-28,3544.19,3544.19,0.0,paid,USD
INV-2025000002,CUST-00083,2025-06-15,2025-08-14,1077.45,1077.45,0.0,paid,USD
INV-2025000003,CUST-00163,2025-03-29,2025-04-13,1211.31,512.27,699.04,open,USD
INV-2025000004,CUST-00237,2025-07-05,2025-08-19,17687.16,17687.16,0.0,paid,USD
INV-2025000005,CUST-00271,2025-07-31,2025-08-30,2950.44,2950.44,0.0,paid,USD
INV-2025000006,CUST-00320,2025-12-04,2025-12-19,267.6,267.6,0.0,paid,USD
INV-2025000007,CUST-00320,2025-01-15,2025-03-01,268.57,268.57,0.0,paid,USD
INV-2025000008,CUST-00149,2025-08-29,2025-10-28,3230.23,2156.42,1073.81,open,USD
INV-2025000009,CUST-00201,2025-09-08,2025-10-23,858.05,858.05,0.0,paid,USD
INV-2025000010,CUST-00360,2025-09-10,2025-10-25,4023.15,4023.15,0.0,paid,USD
INV-2025000011,CUST-00132,2025-12-26,2026-02-09,664.75,195.96,468.79,open,USD
INV-2025000012,CUST-00360,2025-05-01,2025-05-16,1003.56,1003.56,0.0,paid,USD
INV-2025000013,CUST-00327,2025-12-08,2025-12-23,1547.64,1547.64,0.0,paid,USD
INV-2025000014,CUST-00027,2025-05-16,2025-07-15,1114.14,1114.14,0.0,paid,USD
INV-2025000015,CUST-00343,2025-03-01,2025-04-15,645.1,246.09,399.01,open,USD
INV-2025000016,CUST-00309,2025-07-09,2025-08-08,1133.19,1133.19,0.0,paid,USD
INV-2025000017,CUST-00008,2025-08-18,2025-09-17,2350.88,1229.29,1121.59,open,USD
INV-2025000018,CUST-00312,2025-11-16,2026-01-15,1489.75,1489.75,0.0,paid,USD
INV-2025000019,CUST-00371,2025-11-12,2025-12-27,1410.62,1410.62,0.0,paid,USD
INV-2025000020,CUST-00284,2025-02-07,2025-03-09,892.9,892.9,0.0,paid,USD
INV-2025000021,CUST-00028,2025-07-01,2025-08-30,275.14,40.0,235.14,open,USD
INV-2025000022,CUST-00038,2025-07-12,2025-08-26,401.58,1.28,400.3,open,USD
INV-2025000023,CUST-00095,2025-10-28,2025-11-27,420.88,56.59,364.29,open,USD
INV-2025000024,CUST-00208,2025-10-18,2025-12-02,612.8,612.8,0.0,paid,USD
INV-2025000025,CUST-00024,2025-11-19,2026-01-03,103.49,103.49,0.0,paid,USD
INV-2025000026,CUST-00231,2025-02-15,2025-04-16,2500.22,2500.22,0.0,paid,USD
INV-2025000027,CUST-00391,2025-10-12,2025-11-26,878.48,878.48,0.0,paid,USD
INV-2025000028,CUST-00154,2025-11-25,2026-01-24,3969.28,3969.28,0.0,paid,USD
INV-2025000029,CUST-00041,2025-09-23,2025-10-23,1684.11,1684.11,0.0,paid,USD
INV-2025000030,CUST-00388,2025-12-01,2025-12-16,720.34,720.34,0.0,paid,USD
INV-2025000031,CUST-00103,2025-01-19,2025-02-03,867.62,134.82,732.8,open,USD
INV-2025000032,CUST-00057,2025-03-24,2025-04-08,1580.9,1580.9,0.0,paid,USD
INV-2025000033,CUST-00325,2025-06-07,2025-07-22,2011.59,2011.59,0.0,paid,USD
INV-2025000034,CUST-00062,2025-01-23,2025-03-24,231.25,231.25,0.0,paid,USD
INV-2025000035,CUST-00325,2025-10-23,2025-11-22,4060.97,832.83,3228.14,open,USD
INV-2025000036,CUST-00289,2025-10-23,2025-12-22,2175.34,2175.34,0.0,paid,USD
INV-2025000037,CUST-00121,2025-08-09,2025-09-08,2584.91,2584.91,0.0,paid,USD
