sku,description,category,unit_cost,on_hand_qty,reorder_point,last_received_date
SKU-000001,Home item 1,Beauty,35.95,57,19,2025-11-20
SKU-000002,Beauty item 2,Home,30.33,498,25,2025-06-15
SKU-000003,Beauty item 3,Beauty,7.84,80,78,2025-10-13
SKU-000004,Apparel item 4,Electronics,7.11,377,44,2025-04-23
SKU-000005,Apparel item 5,Apparel,17.91,209,48,2025-03-25
SKU-000006,Apparel item 6,Beauty,45.6,133,13,2025-03-01
SKU-000007,Beauty item 7,Grocery,20.4,-25,16,2025-07-27
SKU-000008,Grocery item 8,Beauty,3.37,166,68,2025-10-17
SKU-000009,Electronics item 9,Electronics,64.05,67,89,2025-08-31
SKU-000010,Electronics item 10,Grocery,22.41,49,44,2025-05-06
SKU-000011,Beauty item 11,Beauty,21.69,363,50,2025-05-16
SKU-000012,Apparel item 12,Apparel,17.2,316,28,2025-10-08
SKU-000013,Grocery item 13,Electronics,65.55,62,14,2025-04-16
SKU-000014,Beauty item 14,Beauty,9.22,199,94,2025-10-07
SKU-000015,Home item 15,Beauty,14.27,380,57,2025-07-26
SKU-000016,Beauty item 16,Beauty,4.15,203,84,2025-09-30
SKU-000017,Grocery item 17,Grocery,23.35,297,54,2025-01-23
SKU-000018,Electronics item 18,Beauty,8.47,425,97,2025-01-21
SKU-000019,Electronics item 19,Grocery,5.04,334,70,2025-06-28
SKU-000020,Apparel item 20,Grocery,16.53,36,55,2025-06-27
SKU-000021,Grocery item 21,Home,57.45,185,52,2025-12-21
SKU-000022,Grocery item 22,Beauty,21.22,360,72,2025-10-04
SKU-000023,Home item 23,Grocery,21.03,0,15,2025-05-11
SKU-000024,Grocery item 24,Apparel,14.3,323,18,2025-10-17
SKU-000025,Apparel item 25,Apparel,9.72,254,25,2025-11-14
SKU-000026,Apparel item 26,Home,85.32,445,69,2025-11-10
SKU-000027,Home item 27,Grocery,3.73,361,65,2025-04-04
SKU-000028,Electronics item 28,Beauty,21.59,400,78,2025-07-30
SKU-000029,Home item 29,Beauty,16.05,78,64,2025-03-08
SKU-000030,Beauty item 30,Electronics,14.56,16,39,2025-10-13
SKU-000031,Home item 31,Home,18.45,410,67,2025-09-05
SKU-000032,Electronics item 32,Beauty,34.47,471,55,2025-05-05
SKU-000033,Apparel item 33,Home,31.28,236,56,2025-09-15
SKU-000034,Grocery item 34,Beauty,5.9,116,78,2025-11-05
SKU-000035,Home item 35,Apparel,146.92,277,75,2025-03-25
SKU-000036,Electronics item 36,Grocery,12.94,396,77,2025-10-01
SKU-000037,Apparel item 37,Apparel,14.08,289,43,2025-02-12
SKU-000038,Grocery item 38,Beauty,66.7,20,64,2025-05-31
SKU-000039,Beauty item 39,Electronics,10.3,188,11,2025-04-06
SKU-000040,Electronics item 40,Home,51.03,197,98,2025-01-09
SKU-000041,Home item 41,Grocery,28.74,407,28,2025-03-16
SKU-000042,Electronics item 42,Grocery,52.09,221,98,2025-07-15
SKU-000043,Apparel item 43,Electronics,51.38,306,82,2025-06-19
SKU-000044,Beauty item 44,Grocery,18.32,116,56,2025-04-07
SKU-000045,Grocery item 45,Grocery,46.57,340,69,2025-06-08
SKU-000046,Grocery item 46,Home,7.69,328,13,2025-02-20
SKU-000047,Home item 47,Beauty,105.5,69,41,2025-06-24
SKU-000048,Home item 48,Electronics,17.65,87,42,2025-01-03
SKU-000049,Apparel item 49,Beauty,23.58,295,68,2025-03-15
SKU-000050,Apparel item 50,Beauty,11.88,264,27,2025-12-14
SKU-000051,Home item 51,Grocery,175.06,239,88,2025-12-29
SKU-000052,Apparel item 52,Electronics,40.54,167,97,2025-09-06
SKU-000053,Grocery item 53,Home,20.13,131,17,2025-12-30
SKU-000054,Beauty item 54,Beauty,61.21,271,71,2025-07-28
SKU-000055,Grocery item 55,Grocery,5.22,347,50,2025-03-27
SKU-000056,Apparel item 56,Beauty,13.2,132,97,2025-12-17
SKU-000057,Grocery item 57,Apparel,24.49,295,75,2025-02-25
SKU-000058,Beauty item 58,Grocery,9.6,220,61,2025-01-15
SKU-000059,Electronics item 59,Home,53.85,50,12,2025-04-26
SKU-000060,Apparel item 60,Grocery,12.48,71,36,2025-08-10
SKU-000061,Beauty item 61,Grocery,45.51,343,12,2025-09-13
SKU-000062,Grocery item 62,Beauty,83.05,411,34,2025-05-02
SKU-000063,Beauty item 63,Electronics,27.72,78,60,2025-05-17
SKU-000064,Electronics item 64,Electronics,10.95,457,24,2025-01-30
SKU-000065,Beauty item 65,Home,12.14,445,87,2025-07-29
SKU-000066,Home item 66,Beauty,12.6,458,49,2025-08-23
SKU-000067,Home item 67,Grocery,43.46,312,12,2025-11-13
SKU-000068,Home item 68,Apparel,14.71,206,64,2025-06-23
SKU-000069,Electronics item 69,Electronics,30.81,474,66,2025-11-06
SKU-000070,Beauty item 70,Grocery,14.47,336,77,2025-10-16
SKU-000071,Electronics item 71,Home,14.26,326,70,2025-01-28
SKU-000072,Electronics item 72,Grocery,11.74,171,88,2025-08-26
SKU-000073,Apparel item 73,Grocery,39.73,222,95,2025-07-17
SKU-000074,Grocery item 74,Grocery,20.48,358,55,2025-02-20
SKU-000075,Beauty item 75,Grocery,14.75,487,39,2025-11-05
SKU-000076,Beauty item 76,Apparel,21.26,211,95,2025-06-04
SKU-000077,Beauty item 77,Home,17.53,15,62,2025-01-15
SKU-000078,Home item 78,Grocery,14.45,170,46,2025-04-14
SKU-000079,Grocery item 79,Electronics,212.98,261,37,2025-12-07
SKU-000080,Electronics item 80,Home,59.57,67,90,2025-03-07
SKU-000081,Apparel item 81,Electronics,31.27,53,20,2025-05-27
SKU-000082,Home item 82,Grocery,20.83,61,64,2025-09-25
SKU-000083,Grocery item 83,Apparel,29.41,63,12,2025-12-26
SKU-000084,Apparel item 84,Electronics,13.4,48,45,2025-09-28
SKU-000085,Beauty item 85,Home,52.46,276,39,2025-06-28
SKU-000086,Beauty item 86,Electronics,64.34,328,39,2025-11-03
SKU-000087,Electronics item 87,Grocery,22.4,303,48,2025-02-11
SKU-000088,Beauty item 88,Electronics,9.14,362,83,2025-10-25
