vendor_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
VEND-00001,2025-12-31,0.0,0.0,0.0,0.0,756.59,756.59
VEND-00002,2025-12-31,0.0,1662.88,494.07,723.84,1239.96,4120.75
VEND-00003,2025-12-31,0.0,0.0,0.0,145.23,286.62,431.85
VEND-00005,2025-12-31,0.0,0.0,0.0,0.0,1652.82,1652.82
VEND-00006,2025-12-31,0.0,0.0,0.0,0.0,1385.74,1385.74
VEND-00007,2025-12-31,0.0,0.0,0.0,0.0,513.99,513.99
VEND-00008,2025-12-31,0.0,85.3,0.0,0.0,541.15,626.45
VEND-00009,2025-12-31,0.0,0.0,0.0,0.0,944.05,944.05
VEND-00010,2025-12-31,0.0,0.0,0.0,0.0,3587.16,3587.16
VEND-00013,2025-12-31,0.0,0.0,0.0,0.0,482.06,482.06
VEND-00014,2025-12-31,0.0,0.0,0.0,0.0,549.36,549.36
VEND-00015,2025-12-31,0.0,0.0,2674.1,0.0,377.7,3051.8
VEND-00016,2025-12-31,0.0,0.0,0.0,0.0,3963.56,3963.56
VEND-00017,2025-12-31,0.0,0.0,277.94,188.69,0.0,466.63
VEND-00018,2025-12-31,0.0,0.0,0.0,0.0,229.28,229.28
VEND-00019,2025-12-31,939.79,0.0,0.0,1011.91,436.81,2388.51
VEND-00020,2025-12-31,0.0,0.0,132.47,0.0,371.22,503.69
VEND-00021,2025-12-31,0.0,0.0,0.0,1755.43,0.0,1755.43
VEND-00022,2025-12-31,257.61,0.0,0.0,0.0,0.0,257.61
VEND-00023,2025-12-31,0.0,0.0,307.43,0.0,247.93,555.36
VEND-00024,2025-12-31,0.0,0.0,336.29,0.0,0.0,336.29
VEND-00025,2025-12-31,0.0,55.72,0.0,0.0,472.12,527.84
VEND-00026,2025-12-31,0.0,0.0,0.0,0.0,1621.44,1621.44
VEND-00027,2025-12-31,5642.13,18.25,0.0,0.0,793.61,6453.99
VEND-00028,2025-12-31,1548.62,0.0,0.0,0.0,982.32,2530.94
VEND-00029,2025-12-31,1368.53,0.0,0.0,649.4,1871.11,3889.04
VEND-00030,2025-12-31,0.0,0.0,0.0,33.67,488.55,522.22
VEND-00031,2025-12-31,0.0,0.0,0.0,0.0,419.43,419.43
VEND-00032,2025-12-31,0.0,100.18,0.0,0.0,386.5,486.68
VEND-00033,2025-12-31,0.0,0.0,0.0,207.3,1035.68,1242.98
VEND-00034,2025-12-31,0.0,0.0,0.0,119.51,1073.7,1193.21
VEND-00035,2025-12-31,0.0,0.0,0.0,325.12,0.38,325.5
VEND-00036,2025-12-31,0.0,0.0,0.0,0.0,1749.69,1749.69
VEND-00037,2025-12-31,0.0,0.0,0.0,0.0,1794.76,1794.76
VEND-00038,2025-12-31,0.0,0.0,0.0,297.74,1876.35,2174.09
VEND-00039,2025-12-31,0.0,931.25,0.0,0.0,3486.62,4417.87
VEND-00040,2025-12-31,6.33,0.0,0.0,0.0,0.0,6.33
VEND-00041,2025-12-31,0.0,301.35,0.0,325.11,0.0,626.46
VEND-00042,2025-12-31,0.0,0.0,0.0,0.0,2394.57,2394.57
VEND-00043,2025-12-31,0.0,0.0,0.0,127.68,6546.47,6674.15
VEND-00044,2025-12-31,0.0,0.0,538.54,0.0,137.37,675.91
VEND-00046,2025-12-31,0.0,0.0,0.0,0.0,3470.17,3470.17
VEND-00048,2025-12-31,0.0,0.0,48.18,0.0,169.31,217.49
VEND-00049,2025-12-31,0.0,0.0,0.0,0.0,295.34,295.34
VEND-00050,2025-12-31,331.9,0.0,0.0,0.0,171.38,503.28
VEND-00051,2025-12-31,0.0,0.0,125.94,0.0,0.0,125.94
VEND-00052,2025-12-31,631.63,0.0,0.0,0.0,0.0,631.63
VEND-00055,2025-12-31,564.59,1152.47,0.0,0.0,2430.05,4147.11
VEND-00056,2025-12-31,0.0,0.0,0.0,0.0,2772.37,2772.37
VEND-00057,2025-12-31,0.0,0.0,0.0,0.0,344.13,344.13
VEND-00058,2025-12-31,0.0,430.78,0.0,0.0,0.0,430.78
VEND-00059,2025-12-31,0.0,1489.69,0.0,504.99,132.38,2127.06
VEND-00060,2025-12-31,0.0,0.0,0.0,0.0,89.02,89.02
VEND-00061,2025-12-31,2950.22,0.0,0.0,0.0,4474.16,7424.38
VEND-00062,2025-12-31,0.0,0.0,428.73,0.0,1073.47,1502.2
VEND-00063,2025-12-31,0.0,0.0,0.0,0.0,447.2,447.2
VEND-00064,2025-12-31,0.0,0.0,0.0,0.0,2.46,2.46
VEND-00065,2025-12-31,0.0,0.0,0.0,0.0,1674.71,1674.71
VEND-00066,2025-12-31,0.0,2044.57,0.0,0.0,3357.44,5402.01
VEND-00067,2025-12-31,0.0,0.0,0.0,0.0,260.72,260.72
VEND-00068,2025-12-31,0.0,0.0,0.0,0.0,666.14,666.14
VEND-00069,2025-12-31,1347.5,0.0,0.0,0.0,1592.79,2940.29
VEND-00070,2025-12-31,0.0,0.0,477.5,0.0,77.29,554.79
VEND-00071,2025-12-31,0.0,7132.09,0.0,0.0,3190.6,10322.69
VEND-00072,2025-12-31,0.0,0.0,0.0,0.0,161.18,161.18
VEND-00073,2025-12-31,0.0,145.08,0.0,0.0,5734.85,5879.93
VEND-00074,2025-12-31,0.0,0.0,0.0,0.0,334.0,334.0
VEND-00075,2025-12-31,0.0,0.0,0.0,0.0,2995.93,2995.93
VEND-00076,2025-12-31,0.0,0.0,0.0,0.0,400.94,400.94
VEND-00077,2025-12-31,0.0,0.0,0.0,0.0,8038.09,8038.09
VEND-00078,2025-12-31,0.0,0.0,0.0,0.0,1062.5,1062.5
VEND-00079,2025-12-31,226.46,0.0,0.0,1249.07,0.0,1475.53
VEND-00080,2025-12-31,0.0,236.91,0.0,0.0,210.26,447.17
VEND-00082,2025-12-31,0.0,0.0,0.0,0.0,1740.85,1740.85
VEND-00083,2025-12-31,0.0,0.0,0.0,353.15,89.95,443.1
VEND-00084,2025-12-31,0.0,0.0,253.72,273.49,0.0,527.21
VEND-00085,2025-12-31,0.0,0.0,0.0,0.0,3061.65,3061.65
VEND-00086,2025-12-31,0.0,0.0,368.82,454.26,229.37,1052.45
VEND-00087,2025-12-31,0.0,0.0,0.0,0.0,106.91,106.91
VEND-00088,2025-12-31,0.0,117.17,0.0,0.0,364.11,481.28
VEND-00089,2025-12-31,0.0,0.0,0.0,0.0,209.21,209.21
VEND-00090,2025-12-31,0.0,23.27,1144.21,0.0,1666.13,2833.61
VEND-00091,2025-12-31,0.0,0.0,0.0,0.0,1377.03,1377.03
VEND-00092,2025-12-31,0.0,778.1,0.0,0.0,0.0,778.1
VEND-00093,2025-12-31,0.0,1356.38,0.0,0.0,4088.98,5445.36
VEND-00094,2025-12-31,0.0,0.0,0.0,0.0,838.28,838.28
VEND-00095,2025-12-31,0.0,0.0,0.0,0.0,1909.23,1909.23
VEND-00096,2025-12-31,0.0,0.0,0.0,0.0,1087.12,1087.12
VEND-00098,2025-12-31,0.0,0.0,3065.88,0.0,0.0,3065.88
VEND-00099,2025-12-31,0.0,138.9,1006.04,0.0,2790.07,3935.01
VEND-00100,2025-12-31,70.34,0.0,208.54,1654.47,3732.43,5665.78
VEND-00101,2025-12-31,0.0,485.61,0.0,0.0,499.43,985.04
VEND-00102,2025-12-31,0.0,0.0,976.49,0.0,1410.96,2387.45
VEND-00103,2025-12-31,0.0,0.0,0.0,0.0,52.24,52.24
VEND-00104,2025-12-31,0.0,0.0,0.0,0.0,263.9,263.9
VEND-00105,2025-12-31,0.0,0.0,208.26,0.0,91.95,300.21
VEND-00106,2025-12-31,0.0,0.0,106.22,0.0,702.51,808.73
VEND-00107,2025-12-31,0.0,0.0,0.0,166.09,5017.79,5183.88
VEND-00108,2025-12-31,2839.06,203.27,0.0,0.0,1027.29,4069.62
VEND-00110,2025-12-31,0.0,1924.49,0.0,0.0,1999.25,3923.74
VEND-00112,2025-12-31,828.86,0.0,0.0,0.0,496.16,1325.02
VEND-00113,2025-12-31,0.0,0.0,0.0,0.0,5379.89,5379.89
VEND-00114,2025-12-31,0.0,0.0,601.95,524.61,592.22,1718.78
VEND-00115,2025-12-31,0.0,0.0,0.0,0.0,581.73,581.73
