account_id,quarter,forecast_amount,forecast_as_of
4000,2025Q1,19538.77,2025-01-01
4000,2025Q2,6398.01,2025-01-01
4000,2025Q3,29341.96,2025-01-01
4000,2025Q4,38779.81,2025-01-01
4100,2025Q1,15663.19,2025-01-01
4100,2025Q2,34118.33,2025-01-01
4100,2025Q3,4722.51,2025-01-01
4100,2025Q4,11257.19,2025-01-01
5000,2025Q1,22937.83,2025-01-01
5000,2025Q2,5147.13,2025-01-01
5000,2025Q3,10487.73,2025-01-01
5000,2025Q4,19964.09,2025-01-01
6000,2025Q1,15704.03,2025-01-01
6000,2025Q2,33067.55,2025-01-01
6000,2025Q3,10880.92,2025-01-01
6000,2025Q4,12807.42,2025-01-01
6100,2025Q1,17300.07,2025-01-01
6100,2025Q2,3742.26,2025-01-01
6100,2025Q3,4580.27,2025-01-01
6100,2025Q4,21438.07,2025-01-01
6200,2025Q1,5952.02,2025-01-01
6200,2025Q2,7284.52,2025-01-01
6200,2025Q3,12628.19,2025-01-01
6200,2025Q4,4454.25,2025-01-01
6300,2025Q1,27484.08,2025-01-01
6300,2025Q2,32505.78,2025-01-01
6300,2025Q3,7272.34,2025-01-01
6300,2025Q4,9129.19,2025-01-01
6400,2025Q1,22538.95,2025-01-01
6400,2025Q2,5316.29,2025-01-01
6400,2025Q3,12777.33,2025-01-01
6400,2025Q4,9249.96,2025-01-01
6500,2025Q1,27615.94,2025-01-01
6500,2025Q2,15005.32,2025-01-01
6500,2025Q3,10401.73,2025-01-01
6500,2025Q4,7878.15,2025-01-01
4010,2025Q1,32886.77,2025-01-01
4010,2025Q2,10493.81,2025-01-01
4010,2025Q3,5418.39,2025-01-01
4010,2025Q4,12404.33,2025-01-01
4020,2025Q1,13062.96,2025-01-01
4020,2025Q2,25444.24,2025-01-01
4020,2025Q3,20435.17,2025-01-01
4020,2025Q4,47083.08,2025-01-01
5010,2025Q1,6828.23,2025-01-01
5010,2025Q2,6044.83,2025-01-01
5010,2025Q3,20300.02,2025-01-01
5010,2025Q4,23187.75,2025-01-01
6110,2025Q1,15782.96,2025-01-01
6110,2025Q2,18790.71,2025-01-01
6110,2025Q3,15665.01,2025-01-01
6110,2025Q4,52956.54,2025-01-01
