entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-02-13,1500,68.63,0.0,Monthly accrual,rwhite,2025-02-13T11:34:00
JE-2025000001,2025-02-13,4000,0.0,68.63,Monthly accrual,rwhite,2025-02-13T11:34:00
JE-2025000002,2025-07-21,1000,121.88,0.0,Payment to vendor,kpatel,2025-07-21T09:03:00
JE-2025000002,2025-07-21,4000,0.0,121.88,Payment to vendor,kpatel,2025-07-21T09:03:00
JE-2025000003,2025-09-10,1105,24.5,0.0,Payroll run,kpatel,2025-09-10T09:35:00
JE-2025000003,2025-09-10,4020,0.0,24.5,Payroll run,kpatel,2025-09-10T09:35:00
JE-2025000004,2025-12-09,1510,51.48,0.0,Vendor invoice booked,system_batch,2025-12-09T12:09:00
JE-2025000004,2025-12-09,1105,0.0,51.48,Vendor invoice booked,system_batch,2025-12-09T12:09:00
JE-2025000005,2025-02-18,6200,63.26,0.0,Payroll run,jchen,2025-02-18T12:09:00
JE-2025000005,2025-02-18,1010,0.0,63.26,Payroll run,jchen,2025-02-18T12:09:00
JE-2025000006,2025-10-06,6500,1349.43,0.0,Cash receipt applied,system_batch,2025-10-06T10:26:00
JE-2025000006,2025-10-06,2200,0.0,1349.43,Cash receipt applied,system_batch,2025-10-06T10:26:00
JE-2025000007,2025-10-04,5000,24.76,0.0,Reclass,jchen,2025-10-04T14:23:00
JE-2025000007,2025-10-04,1105,-100.0,24.76,Reclass,jchen,2025-10-04T14:23:00
JE-2025000008,2025-01-10,1010,429.9,0.0,Payment to vendor,system_batch,2025-01-10T15:05:00
JE-2025000008,2025-01-10,1500,0.0,429.9,Payment to vendor,system_batch,2025-01-10T15:05:00
JE-2025000009,2025-07-02,1210,1118.97,0.0,Customer invoice posting,jchen,2025-07-02T17:22:00
JE-2025000009,2025-07-02,4010,0.0,1118.97,Customer invoice posting,jchen,2025-07-02T17:22:00
JE-2025000010,2025-02-26,1510,740.94,0.0,Reclass,system_batch,2025-02-26T11:51:00
JE-2025000010,2025-02-26,4100,0.0,740.94,Reclass,system_batch,2025-02-26T11:51:00
JE-2025000011,2025-10-16,1100,35.17,0.0,Depreciation,system_batch,2025-10-16T10:58:00
JE-2025000011,2025-10-16,4010,0.0,35.17,Depreciation,system_batch,2025-10-16T10:58:00
JE-2025000012,2025-12-25,1510,351.33,0.0,Customer invoice posting,rwhite,2025-12-25T17:30:00
JE-2025000012,2025-12-25,4010,0.0,351.33,Customer invoice posting,rwhite,2025-12-25T17:30:00
JE-2025000013,2025-01-08,1500,291.41,0.0,Vendor invoice booked,jchen,2025-01-08T08:27:00
JE-2025000013,2025-01-08,4020,0.0,291.41,Vendor invoice booked,jchen,2025-01-08T08:27:00
JE-2025000014,2025-02-26,6100,223.23,0.0,Payroll run,sjohnson,2025-02-26T11:27:00
JE-2025000014,2025-02-26,1100,0.0,223.23,Payroll run,sjohnson,2025-02-26T11:27:00
JE-2025000015,2025-09-01,6200,1973.34,0.0,Payment to vendor,sjohnson,2025-09-01T12:02:00
JE-2025000015,2025-09-01,1000,0.0,1973.34,Payment to vendor,sjohnson,2025-09-01T12:02:00
JE-2025000016,2025-09-11,1100,531.78,0.0,Depreciation,mlopez,2025-09-11T11:35:00
JE-2025000016,2025-09-11,4100,0.0,531.78,Depreciation,mlopez,2025-09-11T11:35:00
JE-2025000017,2025-04-06,1500,763.29,0.0,Monthly accrual,sjohnson,2025-04-06T16:35:00
JE-2025000017,2025-04-06,1010,0.0,763.29,Monthly accrual,sjohnson,2025-04-06T16:35:00
JE-2025000018,2025-02-28,5000,1223.95,0.0,Payroll run,rwhite,2025-02-28T11:44:00
