pos_txn_id,store_id,txn_date,tender,gross_amount,tax_amount,discount_amount
POS-00000001,ST-002,2025-03-30,CREDIT,29.97,2.1,0.0
POS-00000002,ST-003,2025-11-20,CASH,52.96,3.71,0.0
POS-00000003,ST-004,2025-10-10,GIFT_CARD,33.1,2.32,0.0
POS-00000004,ST-003,2025-09-28,CASH,67.71,4.74,0.0
POS-00000005,ST-005,2025-12-16,GIFT_CARD,11.05,0.77,0.0
POS-00000006,ST-008,2025-01-21,DEBIT,317.02,22.19,0.0
POS-00000007,ST-004,2025-02-04,GIFT_CARD,21.17,1.48,0.0
POS-00000008,ST-002,2025-01-31,DEBIT,14.95,1.05,0.0
POS-00000009,ST-008,2025-05-28,DEBIT,30.46,2.13,0.0
POS-00000010,ST-001,2025-07-19,CASH,9.73,0.68,0.0
POS-00000011,ST-006,2025-01-20,DEBIT,75.48,5.28,0.0
POS-00000012,ST-001,2025-12-19,CREDIT,54.17,3.79,0.0
POS-00000013,ST-007,2025-01-01,GIFT_CARD,9.27,0.65,0.0
POS-00000014,ST-007,2025-06-07,GIFT_CARD,37.11,2.6,0.0
POS-00000015,ST-008,2025-10-14,CREDIT,36.87,2.58,0.0
POS-00000016,ST-002,2025-05-13,GIFT_CARD,29.03,2.03,0.0
POS-00000017,ST-003,2025-08-20,CREDIT,63.26,4.43,0.0
POS-00000018,ST-001,2025-11-05,CREDIT,33.87,2.37,0.0
POS-00000019,ST-006,2025-01-04,GIFT_CARD,76.91,5.38,0.0
POS-00000020,ST-001,2025-04-07,DEBIT,13.97,0.98,0.0
POS-00000021,ST-007,2025-08-12,DEBIT,27.53,1.93,0.0
POS-00000022,ST-008,2025-10-16,DEBIT,17.4,1.22,0.0
POS-00000023,ST-008,2025-08-13,DEBIT,16.54,1.16,0.0
POS-00000024,ST-007,2025-09-08,CREDIT,13.81,0.97,0.0
POS-00000025,ST-001,2025-06-11,GIFT_CARD,48.66,3.41,0.0
POS-00000026,ST-003,2025-12-30,CREDIT,15.8,1.11,0.0
POS-00000027,ST-007,2025-08-04,DEBIT,151.2,10.58,0.0
POS-00000028,ST-001,2025-06-18,CREDIT,70.89,4.96,0.0
POS-00000029,ST-008,2025-03-19,DEBIT,23.56,1.65,0.0
POS-00000030,ST-007,2025-04-13,CREDIT,37.11,2.6,0.0
POS-00000031,ST-002,2025-07-30,CASH,9.72,0.68,0.0
POS-00000032,ST-003,2025-05-09,GIFT_CARD,49.78,3.48,0.0
POS-00000033,ST-004,2025-09-25,CREDIT,29.41,2.06,0.0
POS-00000034,ST-002,2025-04-02,CASH,118.73,8.31,0.0
POS-00000035,ST-008,2025-08-07,CREDIT,50.39,3.53,0.0
POS-00000036,ST-001,2025-12-15,CREDIT,26.88,1.88,0.0
POS-00000037,ST-007,2025-03-27,CREDIT,59.75,4.18,0.0
POS-00000038,ST-007,2025-10-01,DEBIT,38.14,2.67,0.0
POS-00000039,ST-003,2025-02-07,GIFT_CARD,27.16,1.9,0.0
POS-00000040,ST-003,2025-04-09,CREDIT,52.0,3.64,0.0
POS-00000041,ST-006,2025-12-09,GIFT_CARD,38.5,2.7,0.0
POS-00000042,ST-006,2025-01-29,GIFT_CARD,31.77,2.22,0.0
POS-00000043,ST-007,2025-05-09,CASH,28.62,2.0,0.0
POS-00000044,ST-002,2025-01-25,GIFT_CARD,87.68,6.14,0.0
POS-00000045,ST-007,2025-09-20,GIFT_CARD,18.4,1.29,0.0
POS-00000046,ST-003,2025-09-24,GIFT_CARD,114.41,8.01,0.0
POS-00000047,ST-004,2025-08-26,CREDIT,34.32,2.4,0.0
POS-00000048,ST-002,2025-10-10,DEBIT,41.95,2.94,0.0
POS-00000049,ST-002,2025-02-23,DEBIT,27.56,1.93,0.0
POS-00000050,ST-006,2025-08-23,GIFT_CARD,29.08,2.04,0.0
POS-00000051,ST-008,2025-11-13,GIFT_CARD,9.55,0.67,0.0
POS-00000052,ST-007,2025-04-03,GIFT_CARD,21.11,1.48,0.0
