customer_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
CUST-00001,2025-12-31,264.44,0.0,0.0,0.0,180.82,445.26
CUST-00002,2025-12-31,0.0,0.0,0.0,0.0,3555.97,3555.97
CUST-00003,2025-12-31,0.0,0.0,0.0,591.97,0.0,591.97
CUST-00004,2025-12-31,0.0,0.0,0.0,0.0,889.33,889.33
CUST-00005,2025-12-31,0.0,0.0,0.0,0.0,1293.02,1293.02
CUST-00006,2025-12-31,0.0,280.43,0.0,0.0,654.14,934.57
CUST-00007,2025-12-31,0.0,871.09,0.0,0.0,48.14,919.23
CUST-00008,2025-12-31,0.0,0.0,0.0,194.93,1127.88,1322.81
CUST-00009,2025-12-31,0.0,0.0,0.0,0.0,26.75,26.75
CUST-00010,2025-12-31,0.0,605.83,0.0,0.0,14384.64,14990.47
CUST-00011,2025-12-31,0.0,0.0,0.0,0.0,2065.89,2065.89
CUST-00012,2025-12-31,0.0,1585.4,304.68,0.0,0.0,1890.08
CUST-00013,2025-12-31,0.0,0.0,0.0,0.0,2949.16,2949.16
CUST-00014,2025-12-31,0.0,0.0,0.0,0.0,2860.14,2860.14
CUST-00015,2025-12-31,0.0,2629.29,0.0,0.0,346.31,2975.6
CUST-00016,2025-12-31,2198.78,0.0,0.0,0.0,1197.15,3395.93
CUST-00017,2025-12-31,0.0,0.0,0.0,279.35,2148.25,2427.6
CUST-00018,2025-12-31,0.0,0.0,0.0,0.0,2062.57,2062.57
CUST-00019,2025-12-31,0.0,0.0,0.0,0.0,4112.11,4112.11
CUST-00020,2025-12-31,0.0,0.0,282.7,0.0,231.89,514.59
CUST-00021,2025-12-31,545.03,0.0,4509.28,1618.79,7392.58,14065.68
CUST-00022,2025-12-31,1262.28,0.0,164.36,0.0,2487.51,3914.15
CUST-00023,2025-12-31,0.0,0.0,0.0,0.0,923.48,923.48
CUST-00024,2025-12-31,0.0,0.0,0.0,0.0,856.0,856.0
CUST-00025,2025-12-31,0.0,0.0,0.0,0.0,5444.06,5444.06
CUST-00026,2025-12-31,0.0,0.0,0.0,0.0,4396.42,4396.42
CUST-00027,2025-12-31,0.0,0.0,0.0,306.73,1593.49,1900.22
CUST-00028,2025-12-31,3618.95,0.0,0.0,0.0,2790.49,6409.44
CUST-00029,2025-12-31,0.0,0.0,0.0,0.0,540.53,540.53
CUST-00030,2025-12-31,182.98,0.0,1713.7,0.0,441.2,2337.88
CUST-00031,2025-12-31,0.0,0.0,0.0,0.0,232.59,232.59
CUST-00032,2025-12-31,0.0,0.0,0.0,0.0,1143.04,1143.04
CUST-00033,2025-12-31,105.65,0.0,0.0,0.0,214.33,319.98
CUST-00034,2025-12-31,0.0,0.0,0.0,0.0,3077.03,3077.03
CUST-00035,2025-12-31,0.0,0.0,0.0,0.0,4592.72,4592.72
CUST-00036,2025-12-31,0.0,0.0,457.04,0.0,778.61,1235.65
CUST-00037,2025-12-31,0.0,0.0,241.57,0.0,1030.02,1271.59
CUST-00038,2025-12-31,0.0,0.0,0.0,0.0,400.3,400.3
CUST-00039,2025-12-31,2451.35,790.23,0.0,0.0,1025.75,4267.33
CUST-00041,2025-12-31,0.0,725.86,3611.46,0.0,802.93,5140.25
CUST-00042,2025-12-31,641.85,0.0,142.54,0.0,0.0,784.39
CUST-00043,2025-12-31,0.0,0.0,0.0,0.0,6327.35,6327.35
CUST-00044,2025-12-31,0.0,0.0,1217.49,0.0,100.82,1318.31
CUST-00045,2025-12-31,0.0,0.0,0.0,124.63,73.79,198.42
CUST-00046,2025-12-31,0.0,0.0,0.0,400.69,447.72,848.41
CUST-00047,2025-12-31,0.0,0.0,0.0,0.0,78.47,78.47
CUST-00048,2025-12-31,0.0,0.0,0.0,0.0,561.22,561.22
CUST-00049,2025-12-31,0.0,0.0,0.0,0.0,3679.57,3679.57
CUST-00050,2025-12-31,0.0,0.0,0.0,0.0,1762.96,1762.96
CUST-00051,2025-12-31,0.0,948.65,180.16,0.0,988.66,2117.47
CUST-00052,2025-12-31,9659.74,0.0,0.0,230.67,0.0,9890.41
CUST-00053,2025-12-31,0.0,393.59,208.6,0.0,1055.59,1657.78
CUST-00054,2025-12-31,0.0,0.0,2175.19,0.0,1657.66,3832.85
CUST-00055,2025-12-31,0.0,0.0,0.0,0.0,2736.4,2736.4
CUST-00056,2025-12-31,0.0,0.0,51.52,0.0,260.08,311.6
CUST-00057,2025-12-31,0.0,0.0,0.0,0.0,475.5,475.5
CUST-00058,2025-12-31,0.0,136.83,0.0,0.0,193.68,330.51
CUST-00059,2025-12-31,0.0,2.92,6170.55,0.0,1285.32,7458.79
CUST-00063,2025-12-31,0.0,0.0,0.0,0.0,2780.11,2780.11
CUST-00064,2025-12-31,0.0,0.0,0.0,394.84,0.0,394.84
CUST-00066,2025-12-31,0.0,0.0,0.0,0.0,1515.78,1515.78
CUST-00067,2025-12-31,0.0,2729.28,0.0,0.0,1419.25,4148.53
CUST-00068,2025-12-31,0.0,0.0,0.0,0.0,2733.64,2733.64
CUST-00069,2025-12-31,0.0,3827.67,0.0,0.0,180.41,4008.08
CUST-00070,2025-12-31,0.0,0.0,0.0,0.0,548.61,548.61
CUST-00071,2025-12-31,0.0,0.0,264.65,0.0,1456.87,1721.52
CUST-00072,2025-12-31,1678.95,0.0,0.0,0.0,0.0,1678.95
CUST-00073,2025-12-31,340.79,73.5,0.0,0.0,99.3,513.59
CUST-00074,2025-12-31,312.23,0.0,0.0,0.0,1841.65,2153.88
CUST-00075,2025-12-31,639.84,0.0,0.0,0.0,1305.16,1945.0
CUST-00076,2025-12-31,0.0,0.0,111.62,0.0,0.0,111.62
CUST-00077,2025-12-31,0.0,118.85,2525.2,0.0,0.0,2644.05
CUST-00078,2025-12-31,0.0,0.0,1268.19,0.0,457.11,1725.3
CUST-00079,2025-12-31,187.71,0.0,0.0,0.0,3988.61,4176.32
CUST-00080,2025-12-31,0.0,82.06,0.0,463.22,2233.32,2778.6
CUST-00081,2025-12-31,0.0,0.0,0.0,0.0,1569.38,1569.38
CUST-00082,2025-12-31,0.0,0.0,103.64,0.0,0.0,103.64
CUST-00083,2025-12-31,0.0,0.0,0.0,0.0,455.41,455.41
CUST-00084,2025-12-31,926.25,3380.49,0.0,0.0,899.27,5206.01
CUST-00085,2025-12-31,0.0,0.0,0.0,0.0,2422.42,2422.42
CUST-00086,2025-12-31,0.0,0.0,271.19,0.0,3156.21,3427.4
CUST-00087,2025-12-31,0.0,0.0,0.0,0.0,69.52,69.52
CUST-00088,2025-12-31,41.6,0.0,0.0,668.52,117.22,827.34
CUST-00089,2025-12-31,0.0,0.0,0.0,0.0,1457.07,1457.07
CUST-00090,2025-12-31,0.0,0.0,0.0,0.0,1702.74,1702.74
CUST-00091,2025-12-31,0.0,0.0,0.0,0.0,910.55,910.55
CUST-00092,2025-12-31,0.0,0.0,0.0,0.0,59.5,1294.06
CUST-00093,2025-12-31,0.0,0.0,0.0,0.0,3246.5,3246.5
CUST-00094,2025-12-31,0.0,1445.48,0.0,0.0,467.57,1913.05
CUST-00095,2025-12-31,0.0,0.0,364.29,0.0,93.31,457.6
CUST-00096,2025-12-31,0.0,0.0,3687.14,0.0,2774.13,6461.27
CUST-00097,2025-12-31,0.0,0.0,0.0,0.0,727.38,727.38
CUST-00099,2025-12-31,0.0,43.0,0.0,0.0,959.11,1002.11
CUST-00101,2025-12-31,222.93,0.0,0.0,0.0,0.0,222.93
CUST-00102,2025-12-31,0.0,0.0,0.0,0.0,2208.77,2208.77
CUST-00103,2025-12-31,0.0,0.0,0.0,197.46,732.8,930.26
CUST-00104,2025-12-31,0.0,690.66,0.0,0.0,0.0,690.66
CUST-00105,2025-12-31,0.0,0.0,2138.78,0.0,853.23,2992.01
CUST-00106,2025-12-31,0.0,0.0,1891.49,0.0,1051.45,2942.94
CUST-00107,2025-12-31,220.79,0.0,0.0,0.0,1139.36,1360.15
CUST-00108,2025-12-31,0.0,1132.57,0.0,0.0,605.33,1737.9
CUST-00109,2025-12-31,0.0,0.0,0.0,0.0,296.59,296.59
CUST-00110,2025-12-31,0.0,0.0,0.0,0.0,780.22,780.22
CUST-00111,2025-12-31,0.0,0.0,558.53,0.0,1148.99,1707.52
CUST-00112,2025-12-31,0.0,0.0,0.0,0.0,248.29,248.29
CUST-00113,2025-12-31,0.0,128.57,0.0,982.95,0.0,1111.52
CUST-00114,2025-12-31,0.0,0.0,0.0,1282.35,0.0,1282.35
CUST-00115,2025-12-31,0.0,0.0,0.0,0.0,14.19,14.19
CUST-00116,2025-12-31,0.0,0.0,0.0,0.0,2878.77,2878.77
CUST-00117,2025-12-31,0.0,0.0,0.0,0.0,3560.31,3560.31
CUST-00118,2025-12-31,0.0,0.0,0.0,0.0,3753.74,3753.74
CUST-00119,2025-12-31,0.0,0.0,0.0,1443.55,4030.52,5474.07
