account_id,account_name,period_end,originally_reported,restated,restatement_reason
1000,Cash - Operating,2024-12-31,3466.85,3466.85,
1010,Cash - Payroll,2024-12-31,3001.11,3001.11,
1100,Accounts Receivable,2024-12-31,4404.93,4404.93,
1105,Allowance for Doubtful Accounts,2024-12-31,11211.25,11211.25,
1200,Inventory,2024-12-31,14219.25,14219.25,
1300,Prepaid Expenses,2024-12-31,13477.24,13477.24,
1500,"Property, Plant & Equipment",2024-12-31,4773.05,4773.05,
1510,Accumulated Depreciation,2024-12-31,4427.87,4427.87,
2000,Accounts Payable,2024-12-31,18833.58,18833.58,
2100,Accrued Liabilities,2024-12-31,5099.59,5099.59,
2200,Deferred Revenue,2024-12-31,3320.71,3320.71,
2300,Income Tax Payable,2024-12-31,9548.28,9548.28,
2500,Long-Term Debt,2024-12-31,4580.29,4580.29,
3000,Common Stock,2024-12-31,0.0,0.0,
3100,Retained Earnings,2024-12-31,0.0,0.0,
4000,Revenue,2024-12-31,5260.35,5260.35,
4100,Sales Returns & Allowances,2024-12-31,5241.4,5241.4,
5000,Cost of Goods Sold,2024-12-31,2631.17,2631.17,
6000,Salaries & Wages,2024-12-31,3162.68,3162.68,
6100,Rent Expense,2024-12-31,6498.52,6498.52,
6200,Utilities,2024-12-31,9513.05,9513.05,
6300,Professional Fees,2024-12-31,7331.81,7331.81,
6400,Depreciation Expense,2024-12-31,7014.32,7014.32,
6500,Bad Debt Expense,2024-12-31,16129.96,16129.96,
1210,Inventory - In Transit,2024-12-31,1431.04,1431.04,
2210,Gift Card Liability,2024-12-31,10405.55,10405.55,
4010,POS Revenue,2024-12-31,27728.65,27728.65,
4020,E-Commerce Revenue,2024-12-31,23869.41,23869.41,
5010,Inventory Shrinkage,2024-12-31,1779.4,1779.4,
6110,Store Lease Expense,2024-12-31,9898.67,9898.67,
