sku,description,category,unit_cost,on_hand_qty,reorder_point,last_received_date
SKU-000001,Swag item 1,Swag,43.67,328,69,2025-06-07
SKU-000002,License item 2,Swag,16.02,163,15,2025-05-07
SKU-000003,Hardware item 3,Hardware,50.59,206,25,2025-11-25
SKU-000004,Hardware item 4,Hardware,4.2,356,48,2025-01-31
SKU-000005,Swag item 5,License,36.84,378,66,2025-04-28
SKU-000006,License item 6,Hardware,25.43,452,68,2025-06-06
SKU-000007,Swag item 7,Swag,12.01,2,41,2025-09-03
SKU-000008,Swag item 8,Swag,5.26,231,72,2025-03-10
SKU-000009,License item 9,Swag,16.36,259,49,2025-10-07
SKU-000010,License item 10,License,96.01,26,63,2025-03-31
SKU-000011,Swag item 11,Swag,10.39,8,76,2025-12-18
SKU-000012,Swag item 12,License,15.46,262,66,2025-04-23
SKU-000013,Swag item 13,License,96.28,79,23,2025-10-21
SKU-000014,License item 14,Hardware,27.81,-22,49,2025-01-29
SKU-000015,License item 15,License,17.82,78,74,2025-01-02
SKU-000016,License item 16,Swag,10.41,39,15,2025-07-02
SKU-000017,Swag item 17,Swag,22.07,343,11,2025-04-27
SKU-000018,Hardware item 18,Hardware,42.65,57,44,2025-08-07
SKU-000019,Swag item 19,Hardware,35.23,183,56,2025-04-17
SKU-000020,License item 20,Swag,45.29,356,94,2025-02-07
SKU-000021,License item 21,License,17.89,186,98,2025-06-19
SKU-000022,Hardware item 22,Swag,5.22,116,19,2025-03-03
SKU-000023,Swag item 23,Swag,6.74,107,27,2025-03-16
SKU-000024,Hardware item 24,Swag,19.14,340,45,2025-12-15
SKU-000025,Hardware item 25,License,67.38,0,12,2025-08-20
SKU-000026,Hardware item 26,Swag,9.88,186,42,2025-11-11
SKU-000027,Swag item 27,Swag,3.86,426,26,2025-10-05
SKU-000028,Hardware item 28,Swag,12.72,134,65,2025-10-05
SKU-000029,License item 29,Swag,31.11,483,58,2025-12-20
SKU-000030,License item 30,Swag,22.54,291,44,2025-11-20
SKU-000031,Swag item 31,Swag,26.09,293,37,2025-03-26
