subscription_id,customer_id,start_date,end_date,term_months,mrr,arr,plan,status
SUB-000001,CUST-00001,2022-10-09,2023-10-04,12,224.03,2688.36,ENTERPRISE,expired
SUB-000002,CUST-00038,2023-04-22,2023-05-22,1,1174.76,14097.12,PRO,expired
SUB-000003,CUST-00065,2022-11-25,2025-11-09,36,81.29,975.48,STARTER,expired
SUB-000004,CUST-00032,2024-09-28,2025-09-23,12,67.46,809.52,PRO,expired
SUB-000005,CUST-00054,2023-04-25,2024-04-19,12,171.54,2058.48,PRO,expired
SUB-000006,CUST-00061,2025-01-12,2026-01-07,12,880.72,10568.64,STARTER,active
SUB-000007,CUST-00008,2025-03-31,2025-04-30,1,192.87,2314.44,STARTER,expired
SUB-000008,CUST-00079,2022-01-21,2022-02-20,1,129.17,1550.04,STARTER,expired
SUB-000009,CUST-00034,2022-03-14,2023-03-09,12,313.81,3765.72,ENTERPRISE,expired
SUB-000010,CUST-00036,2025-04-08,2028-03-23,36,153.73,1844.76,STARTER,active
SUB-000011,CUST-00019,2022-10-18,2024-10-07,24,97.43,1169.16,ENTERPRISE,expired
SUB-000012,CUST-00001,2022-02-17,2023-02-12,12,635.42,7625.04,PRO,expired
SUB-000013,CUST-00055,2025-07-08,2027-06-28,24,353.78,4245.36,ENTERPRISE,active
SUB-000014,CUST-00061,2024-09-25,2026-09-15,24,240.86,2890.32,PRO,active
SUB-000015,CUST-00022,2024-05-12,2025-05-07,12,1646.01,19752.12,PRO,expired
SUB-000016,CUST-00070,2022-06-02,2022-07-02,1,296.22,3554.64,STARTER,expired
SUB-000017,CUST-00058,2024-04-05,2025-03-31,12,106.21,1274.52,PRO,expired
SUB-000018,CUST-00055,2024-05-25,2024-06-24,1,2073.17,24878.04,STARTER,expired
SUB-000019,CUST-00024,2023-11-02,2026-10-17,36,519.03,6228.36,STARTER,active
SUB-000020,CUST-00035,2023-10-21,2026-10-05,36,223.51,2682.12,STARTER,active
SUB-000021,CUST-00067,2025-11-03,2027-10-24,24,81.99,983.88,PRO,active
SUB-000022,CUST-00025,2023-07-28,2024-07-22,12,193.51,2322.12,STARTER,expired
SUB-000023,CUST-00069,2025-08-24,2027-08-14,24,236.07,2832.84,STARTER,active
SUB-000024,CUST-00008,2024-11-24,2026-11-14,24,1073.83,12885.96,ENTERPRISE,active
SUB-000025,CUST-00023,2025-07-22,2028-07-06,36,103.0,1236.0,PRO,active
SUB-000026,CUST-00067,2022-10-14,2023-10-09,12,46.59,559.08,PRO,expired
SUB-000027,CUST-00065,2023-11-15,2026-10-30,36,180.16,2161.92,ENTERPRISE,active
SUB-000028,CUST-00065,2023-04-30,2026-04-14,36,113.01,1356.12,PRO,active
SUB-000029,CUST-00062,2025-10-02,2025-11-01,1,291.25,3495.0,ENTERPRISE,expired
SUB-000030,CUST-00004,2024-12-21,2027-12-06,36,1017.67,12212.04,PRO,active
SUB-000031,CUST-00004,2022-05-19,2023-05-14,12,517.78,6213.36,ENTERPRISE,expired
SUB-000032,CUST-00061,2024-09-12,2024-10-12,1,222.92,2675.04,STARTER,expired
SUB-000033,CUST-00033,2022-03-04,2025-02-16,36,69.8,837.6,ENTERPRISE,expired
SUB-000034,CUST-00009,2022-07-13,2023-07-08,12,789.15,9469.8,PRO,expired
SUB-000035,CUST-00030,2024-03-14,2026-03-04,24,22.58,270.96,STARTER,active
SUB-000036,CUST-00032,2024-07-05,2026-06-25,24,704.67,8456.04,PRO,active
SUB-000037,CUST-00005,2022-03-12,2022-04-11,1,303.73,3644.76,STARTER,expired
SUB-000038,CUST-00072,2022-06-15,2024-06-04,24,43.1,517.2,PRO,expired
SUB-000039,CUST-00052,2023-01-27,2024-01-22,12,70.24,842.88,ENTERPRISE,expired
