vendor_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
VEND-00001,2025-12-31,0.0,0.0,0.0,0.0,2544.09,2544.09
VEND-00003,2025-12-31,0.0,0.0,0.0,0.0,308.4,308.4
VEND-00004,2025-12-31,111.61,130.77,0.0,1386.24,1390.04,3018.66
VEND-00005,2025-12-31,0.0,0.0,0.0,0.0,5946.56,5946.56
VEND-00006,2025-12-31,0.0,0.0,0.0,0.0,1821.77,1821.77
VEND-00007,2025-12-31,523.3,0.0,0.0,0.0,331.79,855.09
VEND-00008,2025-12-31,0.0,395.54,0.0,0.0,1661.77,2057.31
VEND-00009,2025-12-31,0.0,0.0,0.0,0.0,2410.69,2410.69
VEND-00010,2025-12-31,0.0,0.0,0.0,240.44,0.0,240.44
VEND-00011,2025-12-31,0.0,0.0,0.0,0.0,1767.89,1767.89
VEND-00015,2025-12-31,0.0,0.0,0.0,0.0,146.35,146.35
VEND-00016,2025-12-31,0.0,0.0,0.0,0.0,585.77,585.77
VEND-00017,2025-12-31,0.0,1239.68,0.0,0.0,0.0,1239.68
VEND-00019,2025-12-31,0.0,0.0,0.0,0.0,574.38,574.38
VEND-00020,2025-12-31,0.0,6347.57,0.0,0.0,1673.17,8020.74
VEND-00021,2025-12-31,261.45,0.0,0.0,1.29,1348.32,1611.06
VEND-00022,2025-12-31,0.0,0.0,0.0,0.0,38.63,38.63
VEND-00023,2025-12-31,0.0,0.0,0.0,0.0,666.78,666.78
VEND-00024,2025-12-31,0.0,0.0,0.0,0.0,415.15,415.15
VEND-00025,2025-12-31,1221.47,0.0,0.0,0.0,424.78,1646.25
VEND-00026,2025-12-31,0.0,0.0,0.0,0.0,244.12,244.12
VEND-00027,2025-12-31,0.0,0.0,0.0,0.0,89.72,89.72
VEND-00028,2025-12-31,0.0,0.0,398.57,0.0,556.7,955.27
VEND-00029,2025-12-31,0.0,0.0,0.0,0.0,410.7,410.7
VEND-00030,2025-12-31,0.0,0.0,0.0,0.0,93.99,93.99
VEND-00031,2025-12-31,0.0,0.0,0.0,0.0,497.01,497.01
VEND-00032,2025-12-31,0.0,0.0,0.0,68.82,343.16,411.98
VEND-00033,2025-12-31,0.0,0.0,0.0,0.0,570.0,570.0
VEND-00034,2025-12-31,0.0,0.0,0.0,0.0,1468.47,1468.47
VEND-00035,2025-12-31,0.0,0.0,0.0,0.0,61.01,61.01
VEND-00036,2025-12-31,0.0,0.0,0.0,0.0,409.81,409.81
VEND-00037,2025-12-31,0.0,0.0,0.0,1970.91,0.0,1970.91
VEND-00038,2025-12-31,815.39,746.88,0.0,897.35,0.0,2459.62
VEND-00039,2025-12-31,0.0,0.0,0.0,0.0,1746.91,1746.91
VEND-00040,2025-12-31,0.0,0.0,0.0,0.0,355.34,355.34
