customer_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
CUST-00001,2025-12-31,0.0,0.0,0.0,0.0,221.95,221.95
CUST-00004,2025-12-31,0.0,0.0,5531.99,0.0,1204.69,6736.68
CUST-00005,2025-12-31,2219.92,0.0,0.0,0.0,107.31,2327.23
CUST-00006,2025-12-31,0.0,0.0,0.0,0.0,1264.3,1264.3
CUST-00007,2025-12-31,0.0,0.0,0.0,0.0,1249.55,1249.55
CUST-00008,2025-12-31,0.0,0.0,0.0,0.0,247.44,247.44
CUST-00009,2025-12-31,0.0,0.0,0.0,29.01,290.38,319.39
CUST-00010,2025-12-31,0.0,0.0,0.0,0.0,5806.33,5806.33
CUST-00011,2025-12-31,0.0,0.0,0.0,0.0,4118.92,4118.92
CUST-00012,2025-12-31,3476.55,0.0,0.0,0.0,652.45,4129.0
CUST-00015,2025-12-31,0.0,0.0,0.0,0.0,5072.27,5072.27
CUST-00016,2025-12-31,0.0,0.0,56.91,502.37,0.0,559.28
CUST-00017,2025-12-31,0.0,0.0,0.0,0.0,469.25,469.25
CUST-00018,2025-12-31,0.0,76.39,535.85,0.0,0.0,612.24
CUST-00019,2025-12-31,705.19,0.0,0.0,0.0,457.85,1163.04
CUST-00020,2025-12-31,28.54,0.0,0.0,0.0,0.0,28.54
CUST-00021,2025-12-31,895.82,0.0,0.0,0.0,2028.61,2924.43
CUST-00022,2025-12-31,133.78,1157.02,0.0,0.0,2906.05,4196.85
CUST-00023,2025-12-31,0.0,0.0,0.0,0.0,3261.39,3261.39
CUST-00024,2025-12-31,457.35,0.0,922.79,0.0,176.15,1556.29
CUST-00025,2025-12-31,0.0,0.0,0.0,0.0,501.06,501.06
CUST-00027,2025-12-31,395.97,0.0,0.0,0.0,9216.73,9612.7
CUST-00028,2025-12-31,0.0,0.0,0.0,43.41,2260.47,2303.88
CUST-00029,2025-12-31,0.0,0.0,0.0,0.0,616.44,616.44
CUST-00030,2025-12-31,0.0,0.0,0.0,0.0,5521.34,5521.34
CUST-00031,2025-12-31,0.0,0.0,0.0,317.33,0.0,317.33
CUST-00032,2025-12-31,1341.92,0.0,0.0,0.0,703.89,2045.81
CUST-00033,2025-12-31,0.0,0.0,0.0,492.13,867.67,1359.8
CUST-00034,2025-12-31,0.0,0.0,0.0,0.0,239.25,239.25
CUST-00036,2025-12-31,0.0,526.22,1394.28,0.0,1084.0,3004.5
CUST-00037,2025-12-31,0.0,0.0,0.0,0.0,1082.95,1082.95
CUST-00038,2025-12-31,0.0,0.0,0.0,550.94,23.8,574.74
CUST-00039,2025-12-31,0.0,0.0,0.0,0.0,200.17,200.17
CUST-00040,2025-12-31,2428.4,0.0,655.81,2626.36,1037.7,6748.27
CUST-00041,2025-12-31,0.0,0.0,0.0,0.0,2156.46,3391.02
CUST-00042,2025-12-31,116.36,0.0,0.0,0.0,0.0,116.36
CUST-00043,2025-12-31,0.0,0.0,0.0,0.0,221.35,221.35
CUST-00044,2025-12-31,0.0,0.0,306.21,0.0,2077.37,2383.58
CUST-00045,2025-12-31,0.0,0.0,37.98,0.0,55.58,93.56
CUST-00046,2025-12-31,0.0,0.0,0.0,0.0,614.09,614.09
CUST-00047,2025-12-31,0.0,0.0,0.0,0.13,4610.31,4610.44
CUST-00048,2025-12-31,0.0,0.0,946.6,0.0,539.59,1486.19
CUST-00049,2025-12-31,0.0,0.0,0.0,43.35,102.45,145.8
CUST-00050,2025-12-31,0.0,0.0,0.0,0.0,106.75,106.75
CUST-00051,2025-12-31,0.0,0.0,0.0,0.0,168.72,168.72
CUST-00053,2025-12-31,577.05,4437.86,0.0,0.0,413.76,5428.67
CUST-00054,2025-12-31,0.0,0.0,0.0,0.0,284.53,284.53
CUST-00055,2025-12-31,0.0,0.0,0.0,0.0,2672.58,2672.58
CUST-00056,2025-12-31,224.84,0.0,0.0,0.0,0.0,224.84
CUST-00058,2025-12-31,0.0,0.0,0.0,0.0,2536.71,2536.71
CUST-00059,2025-12-31,0.0,581.23,0.0,0.0,0.0,581.23
CUST-00060,2025-12-31,0.0,0.0,0.0,0.0,591.94,591.94
CUST-00061,2025-12-31,0.0,0.0,0.0,0.0,1241.71,1241.71
CUST-00062,2025-12-31,0.0,100.06,915.55,0.0,1476.0,2491.61
CUST-00063,2025-12-31,1579.38,0.0,0.0,0.0,79.17,1658.55
CUST-00064,2025-12-31,0.0,87.87,0.0,0.0,0.0,87.87
CUST-00065,2025-12-31,441.59,0.0,0.0,3562.79,3668.77,7673.15
CUST-00067,2025-12-31,0.0,0.0,0.0,576.74,0.0,576.74
CUST-00068,2025-12-31,0.0,0.0,0.0,0.0,641.58,641.58
CUST-00069,2025-12-31,0.0,0.0,0.0,0.0,2732.18,2732.18
CUST-00071,2025-12-31,0.0,3789.82,0.0,0.0,2688.93,6478.75
CUST-00072,2025-12-31,0.0,0.0,0.0,0.0,195.95,195.95
CUST-00073,2025-12-31,0.0,0.0,1112.41,0.0,21.01,1133.42
CUST-00074,2025-12-31,0.0,100.99,1107.8,259.61,0.0,1468.4
CUST-00076,2025-12-31,0.0,0.0,0.0,0.0,1564.3,1564.3
CUST-00077,2025-12-31,0.0,0.0,0.0,0.0,1481.77,1481.77
CUST-00078,2025-12-31,0.0,1123.63,0.0,1442.75,0.0,2566.38
CUST-00079,2025-12-31,0.0,0.0,0.0,0.0,1012.01,1012.01
CUST-00080,2025-12-31,418.29,606.24,0.0,0.0,1918.03,2942.56
