account_id,account_name,account_type,period_end,debit_balance,credit_balance
1000,Cash - Operating,asset,2025-12-31,38263.31,0.0
1010,Cash - Payroll,asset,2025-12-31,50653.77,0.0
1100,Accounts Receivable,asset,2025-12-31,41407.45,0.0
1105,Allowance for Doubtful Accounts,asset,2025-12-31,25297.44,0.0
1200,Inventory,asset,2025-12-31,50484.44,0.0
1300,Prepaid Expenses,asset,2025-12-31,24007.34,0.0
1500,"Property, Plant & Equipment",asset,2025-12-31,0.0,0.0
1510,Accumulated Depreciation,asset,2025-12-31,33910.21,0.0
2000,Accounts Payable,liability,2025-12-31,0.0,22557.39
2100,Accrued Liabilities,liability,2025-12-31,0.0,54007.44
2200,Deferred Revenue,liability,2025-12-31,0.0,27283.49
2300,Income Tax Payable,liability,2025-12-31,0.0,24393.41
2500,Long-Term Debt,liability,2025-12-31,0.0,48938.7
3000,Common Stock,equity,2025-12-31,0.0,0.0
3100,Retained Earnings,equity,2025-12-31,0.0,0.0
4000,Revenue,revenue,2025-12-31,0.0,131333.8
4100,Sales Returns & Allowances,revenue,2025-12-31,0.0,147056.36
5000,Cost of Goods Sold,expense,2025-12-31,39636.29,0.0
6000,Salaries & Wages,expense,2025-12-31,57829.8,0.0
6100,Rent Expense,expense,2025-12-31,34503.19,0.0
6200,Utilities,expense,2025-12-31,79326.93,0.0
6300,Professional Fees,expense,2025-12-31,37276.45,0.0
6400,Depreciation Expense,expense,2025-12-31,37263.89,0.0
6500,Bad Debt Expense,expense,2025-12-31,41565.36,0.0
1110,AR - Subscriptions,asset,2025-12-31,64501.05,0.0
1310,Capitalized Commissions,asset,2025-12-31,35975.6,0.0
2210,Deferred Revenue - Current,liability,2025-12-31,0.0,64374.35
2220,Deferred Revenue - Long Term,liability,2025-12-31,0.0,34145.2
4050,Subscription Revenue,revenue,2025-12-31,0.0,108474.28
4060,Professional Services Revenue,revenue,2025-12-31,0.0,117417.8
6030,Stock-Based Compensation,expense,2025-12-31,55246.4,0.0
6040,Hosting & Infrastructure,expense,2025-12-31,38599.15,0.0
