bill_id,vendor_id,invoice_number,invoice_date,due_date,po_number,amount,paid_amount,balance,status,approved_by
BILL-2025000001,VEND-00008,V63200,2025-02-20,2025-04-06,PO-311345,1344.76,1344.76,0.0,paid,mlopez
BILL-2025000002,VEND-00008,V64479,2025-11-26,2026-01-25,PO-677689,1137.34,1137.34,0.0,paid,mlopez
BILL-2025000003,VEND-00024,V45291,2025-04-19,2025-06-18,PO-613487,5188.85,5188.85,0.0,paid,kpatel
BILL-2025000004,VEND-00023,V99232,2025-05-07,2025-06-06,PO-162791,351.93,351.93,0.0,paid,mlopez
BILL-2025000005,VEND-00025,V70337,2025-01-17,2025-03-03,PO-364241,613.49,188.71,424.78,open,rwhite
BILL-2025000006,VEND-00001,V12422,2025-01-01,2025-01-31,,2894.01,349.92,2544.09,open,rwhite
BILL-2025000007,VEND-00034,V71450,2025-02-16,2025-04-17,PO-377492,3410.69,1942.22,1468.47,open,mlopez
BILL-2025000008,VEND-00031,V48667,2025-12-12,2026-02-10,PO-919270,134.88,134.88,0.0,paid,mlopez
BILL-2025000009,VEND-00012,V58750,2025-02-16,2025-04-17,PO-742981,319.23,319.23,0.0,paid,sjohnson
BILL-2025000010,VEND-00026,V94336,2025-11-17,2026-01-16,PO-144067,719.9,719.9,0.0,paid,kpatel
BILL-2025000011,VEND-00006,V93216,2025-05-03,2025-06-02,PO-409955,1365.74,674.02,691.72,open,mlopez
BILL-2025000012,VEND-00023,V83783,2025-05-03,2025-06-02,PO-448856,404.85,103.22,301.63,open,rwhite
BILL-2025000013,VEND-00020,V54475,2025-07-05,2025-09-03,PO-416329,105.9,105.9,0.0,paid,rwhite
BILL-2025000014,VEND-00025,V77118,2025-07-20,2025-09-03,PO-211641,530.06,530.06,0.0,paid,sjohnson
BILL-2025000015,VEND-00020,V14573,2025-12-26,2026-01-25,PO-978216,310.93,310.93,0.0,paid,rwhite
BILL-2025000016,VEND-00027,V43635,2025-06-14,2025-07-14,PO-232887,907.9,907.9,0.0,paid,sjohnson
BILL-2025000017,VEND-00036,V55026,2025-08-30,2025-10-29,,2176.12,2176.12,0.0,paid,kpatel
BILL-2025000018,VEND-00006,V26104,2025-06-19,2025-08-18,,203.72,203.72,0.0,paid,mlopez
BILL-2025000019,VEND-00007,V16935,2025-12-24,2026-01-23,PO-764317,2976.69,2453.39,523.3,open,sjohnson
BILL-2025000020,VEND-00034,V17459,2025-06-12,2025-07-12,,872.51,872.51,0.0,paid,rwhite
BILL-2025000021,VEND-00011,V32128,2025-03-04,2025-04-18,PO-742091,55.39,55.39,0.0,paid,mlopez
BILL-2025000022,VEND-00024,V24554,2025-06-15,2025-08-14,,981.82,981.82,0.0,paid,kpatel
BILL-2025000023,VEND-00036,V17102,2025-12-31,2026-03-01,PO-710827,475.82,475.82,0.0,paid,kpatel
BILL-2025000024,VEND-00020,V20209,2025-03-22,2025-04-21,PO-873315,1560.33,1560.33,0.0,paid,rwhite
BILL-2025000025,VEND-00034,V11664,2025-06-18,2025-08-17,PO-582588,517.69,517.69,0.0,paid,sjohnson
BILL-2025000026,VEND-00012,V91548,2025-07-22,2025-08-21,PO-304986,697.31,697.31,0.0,paid,mlopez
BILL-2025000027,VEND-00027,V11383,2025-01-02,2025-03-03,PO-315982,371.27,281.55,89.72,open,mlopez
BILL-2025000028,VEND-00030,V23770,2025-05-19,2025-07-03,PO-515913,1608.51,1608.51,0.0,paid,sjohnson
BILL-2025000029,VEND-00008,V68562,2025-11-09,2025-12-09,,442.97,47.43,395.54,open,kpatel
BILL-2025000030,VEND-00009,V24165,2025-07-22,2025-09-05,PO-159180,2550.57,2550.57,0.0,paid,kpatel
BILL-2025000031,VEND-00003,V95120,2025-06-01,2025-07-01,,242.57,242.57,0.0,paid,sjohnson
BILL-2025000032,VEND-00039,V68942,2025-10-19,2025-12-18,PO-762353,1018.23,1018.23,0.0,paid,sjohnson
BILL-2025000033,VEND-00032,V29256,2025-01-01,2025-03-02,PO-414777,715.16,638.24,76.92,open,sjohnson
BILL-2025000034,VEND-00010,V85852,2025-09-28,2025-11-12,PO-607852,1581.5,1581.5,0.0,paid,mlopez
BILL-2025000035,VEND-00006,V30998,2025-08-18,2025-10-17,PO-852376,446.76,163.75,283.01,open,kpatel
BILL-2025000036,VEND-00040,V65561,2025-02-18,2025-04-19,PO-210698,413.54,58.2,355.34,open,mlopez
