entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-11-07,1310,496.35,0.0,Reclass,mlopez,2025-11-07T17:47:00
JE-2025000001,2025-11-07,4100,0.0,496.35,Reclass,mlopez,2025-11-07T17:47:00
JE-2025000002,2025-02-09,1510,976.35,0.0,Cash receipt applied,jchen,2025-02-09T16:20:00
JE-2025000002,2025-02-09,4000,0.0,976.35,Cash receipt applied,jchen,2025-02-09T16:20:00
JE-2025000003,2025-11-13,1000,166.41,0.0,Vendor invoice booked,rwhite,2025-11-13T09:16:00
JE-2025000003,2025-11-13,4100,0.0,166.41,Vendor invoice booked,rwhite,2025-11-13T09:16:00
JE-2025000004,2025-01-16,1300,1233.27,0.0,Payroll run,kpatel,2025-01-16T16:45:00
JE-2025000004,2025-01-16,4100,0.0,1233.27,Payroll run,kpatel,2025-01-16T16:45:00
JE-2025000005,2025-09-22,6200,2029.88,0.0,Payroll run,system_batch,2025-09-22T12:44:00
JE-2025000005,2025-09-22,1010,0.0,2029.88,Payroll run,system_batch,2025-09-22T12:44:00
JE-2025000006,2025-11-07,1105,188.52,0.0,Depreciation,kpatel,2025-11-07T11:57:00
JE-2025000006,2025-11-07,4060,0.0,188.52,Depreciation,kpatel,2025-11-07T11:57:00
JE-2025000007,2025-12-20,1310,123.46,0.0,Monthly accrual,kpatel,2025-12-20T10:01:00
JE-2025000007,2025-12-20,4100,0.0,123.46,Monthly accrual,kpatel,2025-12-20T10:01:00
JE-2025000008,2025-03-07,6100,1010.52,0.0,Monthly accrual,system_batch,2025-03-07T09:14:00
JE-2025000008,2025-03-07,1510,0.0,1010.52,Monthly accrual,system_batch,2025-03-07T09:14:00
JE-2025000009,2025-07-01,1500,482.58,0.0,Depreciation,sjohnson,2025-07-01T15:27:00
JE-2025000009,2025-07-01,2000,0.0,482.58,Depreciation,sjohnson,2025-07-01T15:27:00
JE-2025000010,2025-02-14,6300,1883.46,0.0,Monthly accrual,sjohnson,2025-02-14T14:59:00
JE-2025000010,2025-02-14,1000,0.0,1883.46,Monthly accrual,sjohnson,2025-02-14T14:59:00
JE-2025000011,2025-10-24,5000,904.87,0.0,Customer invoice posting,kpatel,2025-10-24T15:54:00
JE-2025000011,2025-10-24,1500,0.0,904.87,Customer invoice posting,kpatel,2025-10-24T15:54:00
JE-2025000012,2025-12-13,1100,1093.0,0.0,Payroll run,system_batch,2025-12-13T13:59:00
JE-2025000012,2025-12-13,2300,0.0,1093.0,Payroll run,system_batch,2025-12-13T13:59:00
JE-2025000013,2025-01-18,1000,193.65,0.0,Reclass,system_batch,2025-01-18T17:32:00
JE-2025000013,2025-01-18,4000,0.0,193.65,Reclass,system_batch,2025-01-18T17:32:00
JE-2025000014,2025-08-14,1100,127.44,0.0,Depreciation,mlopez,2025-08-14T15:11:00
JE-2025000014,2025-08-14,4060,0.0,127.44,Depreciation,mlopez,2025-08-14T15:11:00
JE-2025000015,2025-10-24,1010,1248.25,0.0,Monthly accrual,sjohnson,2025-10-24T10:02:00
JE-2025000015,2025-10-24,4100,0.0,1248.25,Monthly accrual,sjohnson,2025-10-24T10:02:00
JE-2025000016,2025-12-31,1500,667.37,0.0,Cash receipt applied,system_batch,2025-12-31T14:32:00
JE-2025000016,2025-12-31,4060,0.0,667.37,Cash receipt applied,system_batch,2025-12-31T14:32:00
JE-2025000017,2025-12-04,5000,417.63,0.0,Vendor invoice booked,sjohnson,2025-12-04T14:44:00
JE-2025000017,2025-12-04,1510,0.0,417.63,Vendor invoice booked,sjohnson,2025-12-04T14:44:00
JE-2025000018,2025-03-19,1510,699.15,0.0,Reclass,sjohnson,2025-03-19T11:52:00
JE-2025000018,2025-03-19,4050,0.0,699.15,Reclass,sjohnson,2025-03-19T11:52:00
JE-2025000019,2025-02-13,1105,111.59,0.0,Reclass,rwhite,2025-02-13T08:04:00
JE-2025000019,2025-02-13,4060,0.0,111.59,Reclass,rwhite,2025-02-13T08:04:00
JE-2025000020,2025-09-09,1300,208.73,0.0,Monthly accrual,kpatel,2025-09-09T15:02:00
JE-2025000020,2025-09-09,4060,0.0,208.73,Monthly accrual,kpatel,2025-09-09T15:02:00
JE-2025000021,2025-01-15,1500,32.34,0.0,Payroll run,jchen,2025-01-15T16:36:00
JE-2025000021,2025-01-15,4050,0.0,32.34,Payroll run,jchen,2025-01-15T16:36:00
JE-2025000022,2025-09-07,1300,813.13,0.0,Vendor invoice booked,jchen,2025-09-07T15:01:00
JE-2025000022,2025-09-07,4100,0.0,813.13,Vendor invoice booked,jchen,2025-09-07T15:01:00
JE-2025000023,2025-02-28,6040,282.77,0.0,Payroll run,kpatel,2025-02-28T09:36:00
JE-2025000023,2025-02-28,1300,0.0,282.77,Payroll run,kpatel,2025-02-28T09:36:00
JE-2025000024,2025-04-08,1300,2549.19,0.0,Reclass,mlopez,2025-04-08T11:45:00
JE-2025000024,2025-04-08,2220,0.0,2549.19,Reclass,mlopez,2025-04-08T11:45:00
JE-2025000025,2025-04-28,1110,376.34,0.0,Customer invoice posting,mlopez,2025-04-28T14:21:00
JE-2025000025,2025-04-28,4100,0.0,376.34,Customer invoice posting,mlopez,2025-04-28T14:21:00
JE-2025000026,2025-11-07,6500,426.27,0.0,Cash receipt applied,kpatel,2025-11-07T15:33:00
JE-2025000026,2025-11-07,1310,0.0,426.27,Cash receipt applied,kpatel,2025-11-07T15:33:00
JE-2025000027,2025-06-29,1110,1077.64,0.0,Customer invoice posting,system_batch,2025-06-29T11:49:00
JE-2025000027,2025-06-29,4060,0.0,1077.64,Customer invoice posting,system_batch,2025-06-29T11:49:00
JE-2025000028,2025-09-17,1110,631.41,0.0,Payroll run,mlopez,2025-09-17T14:19:00
