vendor_id,as_of_date,current,d_1_30,d_31_60,d_61_90,over_90,total
VEND-00001,2025-12-31,0.0,0.0,0.0,778.46,0.0,778.46
VEND-00003,2025-12-31,0.0,0.0,762.75,2404.21,1985.77,5152.73
VEND-00004,2025-12-31,0.0,726.26,0.0,83.17,0.0,809.43
VEND-00005,2025-12-31,0.0,0.0,0.0,0.0,1150.94,1150.94
VEND-00006,2025-12-31,0.0,1202.9,0.0,3995.5,211.35,5409.75
VEND-00007,2025-12-31,0.0,419.83,0.0,144.04,1438.47,2002.34
VEND-00008,2025-12-31,0.0,0.0,238.71,36.09,0.0,274.8
VEND-00009,2025-12-31,0.0,0.0,0.0,0.0,635.18,635.18
VEND-00010,2025-12-31,0.0,1659.49,0.0,0.0,969.17,2628.66
VEND-00011,2025-12-31,3.72,627.15,0.0,0.0,0.0,630.87
VEND-00012,2025-12-31,0.0,0.0,0.0,0.0,26.44,26.44
VEND-00013,2025-12-31,0.0,0.0,0.0,0.0,1250.56,1250.56
VEND-00014,2025-12-31,0.0,1431.8,0.0,0.0,548.58,1980.38
VEND-00015,2025-12-31,0.0,640.37,0.0,0.0,943.35,1583.72
VEND-00016,2025-12-31,0.0,0.0,0.0,0.0,507.78,507.78
VEND-00017,2025-12-31,0.0,0.0,0.0,933.82,1228.89,2162.71
VEND-00018,2025-12-31,672.01,0.0,0.0,0.0,664.25,1336.26
VEND-00019,2025-12-31,110.97,0.0,494.14,0.0,278.55,883.66
VEND-00020,2025-12-31,0.0,988.99,0.0,219.29,0.0,1208.28
VEND-00021,2025-12-31,0.0,0.0,0.0,0.0,77.34,77.34
VEND-00022,2025-12-31,0.0,0.0,0.0,0.0,73.68,73.68
VEND-00023,2025-12-31,0.0,0.0,0.0,0.0,314.03,314.03
VEND-00024,2025-12-31,0.0,0.0,0.0,0.0,5003.83,5003.83
VEND-00025,2025-12-31,0.0,0.0,0.0,0.0,2886.68,2886.68
VEND-00026,2025-12-31,0.0,0.0,0.0,0.0,895.73,895.73
VEND-00027,2025-12-31,0.0,0.0,0.0,0.0,2241.57,2241.57
VEND-00028,2025-12-31,0.0,0.0,0.0,0.0,1319.0,1319.0
VEND-00029,2025-12-31,0.0,0.0,0.0,844.0,0.0,844.0
VEND-00030,2025-12-31,0.0,0.0,0.0,0.0,336.29,336.29
VEND-00031,2025-12-31,0.0,0.0,0.0,0.0,781.05,781.05
VEND-00032,2025-12-31,0.0,0.0,0.0,0.0,439.9,439.9
VEND-00033,2025-12-31,0.0,0.0,0.0,0.0,502.85,502.85
VEND-00034,2025-12-31,0.0,0.0,0.0,0.0,3225.02,3225.02
VEND-00036,2025-12-31,0.0,0.0,0.0,0.0,109.45,109.45
VEND-00037,2025-12-31,0.0,188.07,0.0,0.0,3478.15,3666.22
VEND-00038,2025-12-31,0.0,0.0,0.0,0.0,370.64,370.64
VEND-00039,2025-12-31,0.0,0.0,0.0,0.0,535.79,535.79
VEND-00040,2025-12-31,0.0,0.0,0.0,408.27,3177.76,3586.03
VEND-00041,2025-12-31,0.0,0.0,0.0,0.0,540.24,540.24
VEND-00043,2025-12-31,0.0,646.54,0.0,0.0,705.52,1352.06
VEND-00045,2025-12-31,0.0,166.13,1082.09,89.43,128.72,1466.37
VEND-00046,2025-12-31,0.0,0.0,0.0,0.0,3105.18,3105.18
VEND-00047,2025-12-31,162.39,0.0,0.0,1197.55,275.43,1635.37
VEND-00048,2025-12-31,3792.56,0.0,0.0,0.0,1902.12,5694.68
VEND-00049,2025-12-31,0.0,0.0,0.0,929.0,0.0,929.0
VEND-00050,2025-12-31,0.0,0.0,922.1,1791.8,4908.1,7622.0
VEND-00051,2025-12-31,0.0,0.0,2226.19,0.0,1203.81,3430.0
VEND-00052,2025-12-31,0.0,0.0,0.0,0.0,1526.37,1526.37
VEND-00053,2025-12-31,0.0,0.0,0.0,0.0,2464.38,2464.38
VEND-00054,2025-12-31,0.0,0.0,0.0,0.0,355.24,355.24
VEND-00055,2025-12-31,840.59,0.0,40.19,0.0,2252.76,3133.54
VEND-00057,2025-12-31,0.0,0.0,0.0,507.45,935.2,1442.65
VEND-00059,2025-12-31,540.99,0.0,0.0,0.0,2771.88,3312.87
VEND-00060,2025-12-31,0.0,0.0,0.0,0.0,604.16,604.16
VEND-00062,2025-12-31,0.0,0.0,0.0,0.0,11875.44,11875.44
VEND-00064,2025-12-31,0.0,0.0,0.0,0.0,24.77,24.77
VEND-00065,2025-12-31,0.0,0.0,0.0,0.0,1597.82,1597.82
VEND-00066,2025-12-31,922.49,252.85,0.0,765.12,0.0,1940.46
VEND-00067,2025-12-31,0.0,30.49,0.0,0.0,4814.29,4844.78
VEND-00068,2025-12-31,0.0,21.41,0.0,0.0,429.65,451.06
VEND-00069,2025-12-31,0.0,529.85,0.0,0.0,0.0,529.85
VEND-00071,2025-12-31,0.0,0.0,0.0,1400.3,119.69,1519.99
VEND-00072,2025-12-31,497.53,0.0,0.0,0.0,4360.68,4858.21
VEND-00073,2025-12-31,437.42,0.0,130.54,0.0,671.98,1239.94
VEND-00074,2025-12-31,0.0,0.0,0.0,0.0,7632.2,7632.2
VEND-00075,2025-12-31,601.2,0.0,0.0,0.0,41.89,643.09
VEND-00076,2025-12-31,0.0,0.0,127.38,5218.33,0.0,5345.71
VEND-00077,2025-12-31,0.0,0.0,0.0,0.0,28.1,28.1
VEND-00078,2025-12-31,0.0,419.36,568.54,0.0,1489.16,2477.06
