bill_id,vendor_id,invoice_number,invoice_date,due_date,po_number,amount,paid_amount,balance,status,approved_by
BILL-2025000001,VEND-00051,V47094,2025-10-11,2025-11-10,,2496.77,270.58,2226.19,open,kpatel
BILL-2025000002,VEND-00035,V38236,2025-06-09,2025-07-24,PO-911764,712.51,712.51,0.0,paid,rwhite
BILL-2025000003,VEND-00132,V39703,2025-06-23,2025-07-23,PO-912760,210.33,210.33,0.0,paid,rwhite
BILL-2025000004,VEND-00113,V85113,2025-11-25,2026-01-09,PO-599233,8345.71,8345.71,0.0,paid,kpatel
BILL-2025000005,VEND-00099,V57227,2025-06-20,2025-07-20,PO-112245,1295.94,1295.94,0.0,paid,mlopez
BILL-2025000006,VEND-00035,V46291,2025-05-09,2025-06-23,PO-576235,737.86,737.86,0.0,paid,kpatel
BILL-2025000007,VEND-00015,V53830,2025-03-01,2025-04-30,PO-656374,822.07,822.07,0.0,paid,kpatel
BILL-2025000008,VEND-00057,V28538,2025-06-04,2025-07-19,PO-611051,289.19,27.81,261.38,open,rwhite
BILL-2025000009,VEND-00138,V33953,2025-06-13,2025-08-12,,384.08,384.08,0.0,paid,rwhite
BILL-2025000010,VEND-00036,V14123,2025-07-25,2025-09-08,PO-346973,689.18,689.18,0.0,paid,mlopez
BILL-2025000011,VEND-00104,V47993,2025-07-27,2025-08-26,PO-281696,64.31,64.31,0.0,paid,mlopez
BILL-2025000012,VEND-00053,V26747,2025-07-22,2025-08-21,PO-334509,4609.1,3178.21,1430.89,open,kpatel
BILL-2025000013,VEND-00030,V60215,2025-06-30,2025-08-14,PO-721094,459.19,122.9,336.29,open,kpatel
BILL-2025000014,VEND-00131,V56684,2025-07-04,2025-08-18,PO-503435,238.67,208.07,30.6,open,mlopez
BILL-2025000015,VEND-00122,V57701,2025-01-06,2025-03-07,PO-136900,1701.14,1701.14,0.0,paid,mlopez
BILL-2025000016,VEND-00008,V14439,2025-04-23,2025-06-07,PO-813758,3053.8,3053.8,0.0,paid,kpatel
BILL-2025000017,VEND-00133,V39139,2025-10-22,2025-12-21,PO-105647,1583.36,1583.36,0.0,paid,kpatel
BILL-2025000018,VEND-00146,V35789,2025-07-23,2025-08-22,PO-160959,2247.97,75.04,2172.93,open,sjohnson
BILL-2025000019,VEND-00074,V56318,2025-08-24,2025-10-23,,3030.7,2097.79,932.91,open,sjohnson
BILL-2025000020,VEND-00084,V66814,2025-11-18,2025-12-18,PO-687279,964.29,964.29,0.0,paid,kpatel
BILL-2025000021,VEND-00017,V57595,2025-03-03,2025-04-02,PO-875926,757.16,757.16,0.0,paid,kpatel
BILL-2025000022,VEND-00100,V85776,2025-12-11,2026-01-25,PO-755589,499.13,499.13,0.0,paid,rwhite
BILL-2025000023,VEND-00003,V63752,2025-06-26,2025-08-10,,843.28,171.71,671.57,open,kpatel
BILL-2025000024,VEND-00099,V87283,2025-04-04,2025-06-03,PO-785189,348.9,348.9,0.0,paid,rwhite
BILL-2025000025,VEND-00010,V13310,2025-09-09,2025-11-08,PO-961231,6994.52,6994.52,0.0,paid,sjohnson
BILL-2025000026,VEND-00083,V51809,2025-01-19,2025-02-18,PO-908419,757.66,757.66,0.0,paid,kpatel
BILL-2025000027,VEND-00121,V39653,2025-09-26,2025-11-10,,480.45,32.76,447.69,open,rwhite
BILL-2025000028,VEND-00092,V90708,2025-08-30,2025-10-14,,386.14,386.14,0.0,paid,kpatel
BILL-2025000029,VEND-00003,V16262,2025-07-30,2025-08-29,PO-518176,743.08,743.08,0.0,paid,kpatel
BILL-2025000030,VEND-00056,V94626,2025-08-11,2025-09-10,PO-715971,2653.84,2653.84,0.0,paid,kpatel
BILL-2025000031,VEND-00129,V34338,2025-01-01,2025-02-15,PO-401137,1435.97,1435.97,0.0,paid,rwhite
BILL-2025000032,VEND-00050,V20046,2025-05-26,2025-07-10,,384.87,73.5,311.37,open,kpatel
BILL-2025000033,VEND-00113,V21627,2025-12-09,2026-01-08,PO-842492,1479.53,891.49,588.04,open,mlopez
BILL-2025000034,VEND-00146,V97782,2025-10-27,2025-12-11,PO-665649,1494.91,1025.57,469.34,open,kpatel
BILL-2025000035,VEND-00087,V67561,2025-12-16,2026-01-15,PO-398914,1096.33,1096.33,0.0,paid,rwhite
BILL-2025000036,VEND-00084,V39157,2025-08-07,2025-10-06,PO-270674,1809.93,1809.93,0.0,paid,mlopez
