account_id,account_name,period_end,originally_reported,restated,restatement_reason
1000,Cash - Operating,2024-12-31,8980.52,8980.52,
1010,Cash - Payroll,2024-12-31,15030.51,15030.51,
1100,Accounts Receivable,2024-12-31,7122.91,7122.91,
1105,Allowance for Doubtful Accounts,2024-12-31,9423.01,9423.01,
1200,Inventory,2024-12-31,8249.68,8249.68,
1300,Prepaid Expenses,2024-12-31,24055.9,24055.9,
1500,"Property, Plant & Equipment",2024-12-31,18147.51,18147.51,
1510,Accumulated Depreciation,2024-12-31,8720.89,8720.89,
2000,Accounts Payable,2024-12-31,26235.7,26235.7,
2100,Accrued Liabilities,2024-12-31,3239.27,3239.27,
2200,Deferred Revenue,2024-12-31,1652.51,1652.51,
2300,Income Tax Payable,2024-12-31,6134.55,6134.55,
2500,Long-Term Debt,2024-12-31,25280.78,25280.78,
3000,Common Stock,2024-12-31,0.0,0.0,
3100,Retained Earnings,2024-12-31,0.0,0.0,
4000,Revenue,2024-12-31,5130.74,5130.74,
4100,Sales Returns & Allowances,2024-12-31,11020.12,11020.12,
5000,Cost of Goods Sold,2024-12-31,2850.65,2850.65,
6000,Salaries & Wages,2024-12-31,4301.47,4301.47,
6100,Rent Expense,2024-12-31,4877.94,4877.94,
6200,Utilities,2024-12-31,7620.97,7620.97,
6300,Professional Fees,2024-12-31,3607.28,3607.28,
6400,Depreciation Expense,2024-12-31,42898.41,42898.41,
6500,Bad Debt Expense,2024-12-31,12994.64,12994.64,
1110,AR - Subscriptions,2024-12-31,8031.05,8031.05,
1310,Capitalized Commissions,2024-12-31,6628.82,6628.82,
2210,Deferred Revenue - Current,2024-12-31,19889.23,19889.23,
2220,Deferred Revenue - Long Term,2024-12-31,16459.36,16459.36,
4050,Subscription Revenue,2024-12-31,8440.67,8440.67,
4060,Professional Services Revenue,2024-12-31,5082.53,5082.53,
6030,Stock-Based Compensation,2024-12-31,5723.05,5723.05,
6040,Hosting & Infrastructure,2024-12-31,6439.13,6439.13,
