month,opening_balance,new_billings,recognized_revenue,closing_balance
2025-01-01,1418727.18,167683.17,109492.47,1476917.88
2025-02-01,1476917.88,180639.68,124069.76,1533487.8
2025-03-01,1533487.8,109860.24,125107.51,1518240.53
2025-04-01,1518240.53,148700.36,101884.82,1565056.07
2025-05-01,1565056.07,171812.7,138761.98,1598106.79
2025-06-01,1598106.79,175757.77,75481.06,1698383.5
2025-07-01,1698383.5,194243.74,151572.19,1788555.05
2025-08-01,1741055.05,191931.47,81223.74,1851762.78
2025-09-01,1851762.78,103054.82,108813.32,1846004.28
2025-10-01,1846004.28,168114.35,157367.38,1856751.25
2025-11-01,1856751.25,98733.34,147141.53,1808343.06
2025-12-01,1808343.06,150422.82,82014.82,1876751.06
