invoice_id,customer_id,invoice_date,due_date,amount,paid_amount,balance,status,currency
INV-2025000001,CUST-00329,2025-01-06,2025-01-21,4533.21,2226.22,2306.99,open,USD
INV-2025000002,CUST-00033,2025-06-13,2025-08-12,4172.99,4172.99,0.0,paid,USD
INV-2025000003,CUST-00085,2025-12-06,2026-01-05,706.46,706.46,0.0,paid,USD
INV-2025000004,CUST-00178,2025-02-14,2025-03-01,1074.25,1074.25,0.0,paid,USD
INV-2025000005,CUST-00345,2025-10-31,2025-11-15,241.99,94.71,147.28,open,USD
INV-2025000006,CUST-00106,2025-09-17,2025-11-01,451.68,38.23,413.45,open,USD
INV-2025000007,CUST-00377,2025-01-31,2025-02-15,2473.31,2473.31,0.0,paid,USD
INV-2025000008,CUST-00121,2025-01-23,2025-03-09,2088.51,706.08,1382.43,open,USD
INV-2025000009,CUST-00174,2025-12-27,2026-02-10,315.74,195.65,120.09,open,USD
INV-2025000010,CUST-00024,2025-01-26,2025-03-12,1472.14,1472.14,0.0,paid,USD
INV-2025000011,CUST-00376,2025-08-08,2025-10-07,387.32,387.32,0.0,paid,USD
INV-2025000012,CUST-00071,2025-02-22,2025-03-24,785.91,785.91,0.0,paid,USD
INV-2025000013,CUST-00363,2025-08-03,2025-10-02,428.52,428.52,0.0,paid,USD
INV-2025000014,CUST-00073,2025-11-21,2026-01-20,1240.29,807.33,432.96,open,USD
INV-2025000015,CUST-00151,2025-09-22,2025-11-21,885.56,885.56,0.0,paid,USD
INV-2025000016,CUST-00252,2025-09-21,2025-10-21,8137.06,8137.06,0.0,paid,USD
INV-2025000017,CUST-00301,2025-01-24,2025-02-08,2283.0,2283.0,0.0,paid,USD
INV-2025000018,CUST-00400,2025-11-23,2026-01-22,1640.46,972.44,668.02,open,USD
INV-2025000019,CUST-00353,2025-12-22,2026-02-20,5344.73,5344.73,0.0,paid,USD
INV-2025000020,CUST-00130,2025-03-20,2025-04-19,3943.61,3943.61,0.0,paid,USD
INV-2025000021,CUST-00065,2025-12-15,2026-02-13,240.5,240.5,0.0,paid,USD
INV-2025000022,CUST-00081,2025-10-02,2025-11-01,488.46,257.59,230.87,open,USD
INV-2025000023,CUST-00122,2025-03-10,2025-04-24,714.32,714.32,0.0,paid,USD
INV-2025000024,CUST-00270,2025-06-14,2025-07-14,1175.65,1175.65,0.0,paid,USD
INV-2025000025,CUST-00047,2025-08-13,2025-10-12,477.6,397.51,80.09,open,USD
INV-2025000026,CUST-00299,2025-10-14,2025-12-13,7042.84,7042.84,0.0,paid,USD
INV-2025000027,CUST-00148,2025-11-10,2025-12-25,1031.65,772.66,258.99,open,USD
INV-2025000028,CUST-00024,2025-11-14,2025-12-14,1524.14,1524.14,0.0,paid,USD
INV-2025000029,CUST-00145,2025-08-29,2025-09-13,844.75,844.75,0.0,paid,USD
INV-2025000030,CUST-00276,2025-02-07,2025-02-22,3615.86,3615.86,0.0,paid,USD
INV-2025000031,CUST-00238,2025-06-14,2025-07-29,3642.78,3210.02,432.76,open,USD
INV-2025000032,CUST-00006,2025-12-21,2026-02-04,4905.43,4905.43,0.0,paid,USD
INV-2025000033,CUST-00006,2025-08-13,2025-10-12,440.79,440.79,0.0,paid,USD
INV-2025000034,CUST-00029,2025-09-01,2025-10-16,1069.72,1069.72,0.0,paid,USD
INV-2025000035,CUST-00054,2025-09-02,2025-11-01,2460.47,2460.47,0.0,paid,USD
INV-2025000036,CUST-00227,2025-09-12,2025-10-27,545.91,292.7,253.21,open,USD
INV-2025000037,CUST-00356,2025-01-01,2025-01-31,1257.16,1257.16,0.0,paid,USD
INV-2025000038,CUST-00243,2025-08-20,2025-10-04,762.5,762.5,0.0,paid,USD
INV-2025000039,CUST-00216,2025-09-07,2025-10-07,702.26,397.45,304.81,open,USD
INV-2025000040,CUST-00314,2025-06-21,2025-07-06,1396.89,1396.89,0.0,paid,USD
INV-2025000041,CUST-00098,2025-06-15,2025-08-14,173.17,173.17,0.0,paid,USD
INV-2025000042,CUST-00256,2025-07-02,2025-08-31,1651.44,582.31,1069.13,open,USD
INV-2025000043,CUST-00130,2025-06-09,2025-06-24,58.9,58.9,0.0,paid,USD
INV-2025000044,CUST-00083,2025-10-02,2025-11-01,1828.98,1828.98,0.0,paid,USD
INV-2025000045,CUST-00060,2025-03-07,2025-04-21,1906.83,1906.83,0.0,paid,USD
INV-2025000046,CUST-00012,2025-10-05,2025-11-04,3627.01,3627.01,0.0,paid,USD
INV-2025000047,CUST-00153,2025-12-26,2026-02-09,1875.5,1392.64,482.86,open,USD
INV-2025000048,CUST-00093,2025-09-15,2025-09-30,1228.25,888.83,339.42,open,USD
INV-2025000049,CUST-00069,2025-06-30,2025-07-15,2092.63,2092.63,0.0,paid,USD
INV-2025000050,CUST-00391,2025-09-09,2025-10-24,406.97,406.97,0.0,paid,USD
INV-2025000051,CUST-00380,2025-12-01,2026-01-30,845.95,187.71,658.24,open,USD
INV-2025000052,CUST-00023,2025-06-13,2025-07-13,220.03,220.03,0.0,paid,USD
INV-2025000053,CUST-00175,2025-09-19,2025-10-19,456.37,456.37,0.0,paid,USD
INV-2025000054,CUST-00187,2025-10-18,2025-11-02,557.34,557.34,0.0,paid,USD
INV-2025000055,CUST-00204,2025-05-11,2025-07-10,1427.71,1427.71,0.0,paid,USD
INV-2025000056,CUST-00304,2025-03-22,2025-05-21,5043.29,5043.29,0.0,paid,USD
INV-2025000057,CUST-00342,2025-09-15,2025-10-30,890.09,890.09,0.0,paid,USD
INV-2025000058,CUST-00368,2025-02-03,2025-04-04,2189.48,1798.79,390.69,open,USD
INV-2025000059,CUST-00204,2025-12-26,2026-02-24,555.96,83.4,472.56,open,USD
INV-2025000060,CUST-00045,2025-12-15,2025-12-30,1108.32,358.75,749.57,open,USD
INV-2025000061,CUST-00022,2025-03-29,2025-05-28,2747.23,658.75,2088.48,open,USD
INV-2025000062,CUST-00154,2025-12-16,2026-02-14,280.28,280.28,0.0,paid,USD
INV-2025000063,CUST-00150,2025-12-21,2026-02-19,501.91,469.74,32.17,open,USD
INV-2025000064,CUST-00279,2025-02-19,2025-03-06,854.55,854.55,0.0,paid,USD
INV-2025000065,CUST-00082,2025-06-02,2025-07-02,986.04,986.04,0.0,paid,USD
INV-2025000066,CUST-00152,2025-08-13,2025-10-12,6915.89,1950.07,4965.82,open,USD
INV-2025000067,CUST-00030,2025-05-10,2025-07-09,1018.36,291.21,727.15,open,USD
INV-2025000068,CUST-00002,2025-03-30,2025-05-14,2624.95,2624.95,0.0,paid,USD
INV-2025000069,CUST-00265,2025-02-01,2025-04-02,662.61,662.61,0.0,paid,USD
INV-2025000070,CUST-00291,2025-06-07,2025-07-07,142.5,142.5,0.0,paid,USD
INV-2025000071,CUST-00258,2025-02-06,2025-03-23,1478.63,1065.49,413.14,open,USD
INV-2025000072,CUST-00076,2025-10-22,2025-12-06,293.22,199.58,93.64,open,USD
INV-2025000073,CUST-00047,2025-07-24,2025-08-23,584.18,397.72,186.46,open,USD
INV-2025000074,CUST-00128,2025-05-31,2025-07-30,573.88,30.98,542.9,open,USD
INV-2025000075,CUST-00334,2025-03-07,2025-05-06,905.42,905.42,0.0,paid,USD
INV-2025000076,CUST-00358,2025-06-06,2025-07-06,1331.82,1298.71,33.11,open,USD
INV-2025000077,CUST-00301,2025-10-08,2025-10-23,998.92,998.92,0.0,paid,USD
INV-2025000078,CUST-00334,2025-08-07,2025-10-06,2455.26,2455.26,0.0,paid,USD
INV-2025000079,CUST-00051,2025-11-15,2025-12-15,1533.02,1533.02,0.0,paid,USD
INV-2025000080,CUST-00074,2025-03-03,2025-04-17,788.38,788.38,0.0,paid,USD
INV-2025000081,CUST-00296,2025-07-13,2025-07-28,1923.46,1923.46,0.0,paid,USD
INV-2025000082,CUST-00190,2025-12-14,2026-01-28,1689.45,1689.45,0.0,paid,USD
INV-2025000083,CUST-00319,2025-07-03,2025-08-17,981.53,378.49,603.04,open,USD
INV-2025000084,CUST-00263,2025-02-05,2025-04-06,430.64,430.64,0.0,paid,USD
INV-2025000085,CUST-00269,2025-02-08,2025-02-23,3576.74,3576.74,0.0,paid,USD
INV-2025000086,CUST-00041,2025-08-20,2025-10-19,1954.27,977.95,976.32,open,USD
INV-2025000087,CUST-00400,2025-04-15,2025-05-30,1567.7,273.16,1294.54,open,USD
