sku,description,category,unit_cost,on_hand_qty,reorder_point,last_received_date
SKU-000001,Swag item 1,License,15.03,18,26,2025-07-04
SKU-000002,Swag item 2,Hardware,31.42,250,72,2025-07-03
SKU-000003,License item 3,Swag,4.72,465,42,2025-12-13
SKU-000004,License item 4,Swag,28.3,2,17,2025-09-29
SKU-000005,Swag item 5,License,14.44,267,70,2025-08-18
SKU-000006,Swag item 6,Hardware,23.76,341,20,2025-12-26
SKU-000007,Hardware item 7,Hardware,8.81,263,20,2025-04-26
SKU-000008,Hardware item 8,Hardware,23.61,141,28,2025-06-02
SKU-000009,License item 9,Hardware,27.3,120,67,2025-08-18
SKU-000010,Hardware item 10,License,22.84,294,19,2025-01-27
SKU-000011,Swag item 11,Hardware,59.22,452,66,2025-05-19
SKU-000012,Swag item 12,Hardware,12.77,4,36,2025-04-17
SKU-000013,License item 13,Swag,15.34,382,85,2025-02-27
SKU-000014,Hardware item 14,Swag,19.98,102,72,2025-12-26
SKU-000015,Swag item 15,License,19.57,410,22,2025-11-10
SKU-000016,Swag item 16,Hardware,2.68,456,65,2025-06-28
SKU-000017,Hardware item 17,Hardware,18.68,113,60,2025-09-22
SKU-000018,Swag item 18,Hardware,18.8,336,39,2025-08-08
SKU-000019,Swag item 19,Swag,22.4,126,57,2025-03-02
SKU-000020,License item 20,Swag,9.19,250,62,2025-06-26
SKU-000021,License item 21,License,13.32,356,33,2025-07-08
SKU-000022,Hardware item 22,Swag,13.63,368,97,2025-07-16
SKU-000023,Swag item 23,License,12.6,167,39,2025-12-31
SKU-000024,Hardware item 24,Swag,60.73,158,15,2025-07-28
SKU-000025,Hardware item 25,License,21.07,228,30,2025-05-02
SKU-000026,Swag item 26,License,37.61,146,32,2025-02-20
SKU-000027,License item 27,Hardware,67.19,405,60,2025-07-28
SKU-000028,License item 28,License,22.17,266,36,2025-04-30
SKU-000029,License item 29,Hardware,7.59,265,71,2025-08-30
SKU-000030,Hardware item 30,Swag,17.18,478,46,2025-02-04
SKU-000031,License item 31,Swag,60.34,414,67,2025-05-14
SKU-000032,Swag item 32,Hardware,16.26,445,21,2025-10-08
SKU-000033,License item 33,Swag,5.22,51,87,2025-05-10
SKU-000034,Hardware item 34,Swag,8.91,154,38,2025-11-15
SKU-000035,License item 35,Hardware,35.87,146,26,2025-04-08
SKU-000036,License item 36,Swag,7.8,18,79,2025-04-08
SKU-000037,Hardware item 37,Hardware,38.83,441,19,2025-05-12
SKU-000038,Hardware item 38,Swag,12.58,165,12,2025-07-03
SKU-000039,License item 39,License,9.84,195,59,2025-10-22
SKU-000040,Swag item 40,Hardware,27.15,247,71,2025-06-03
SKU-000041,License item 41,Swag,11.84,411,68,2025-08-12
SKU-000042,License item 42,Swag,12.82,43,37,2025-04-05
SKU-000043,Swag item 43,Swag,7.79,342,22,2025-07-21
SKU-000044,License item 44,Hardware,22.88,413,59,2025-08-29
SKU-000045,Hardware item 45,Swag,13.62,166,82,2025-09-15
SKU-000046,Hardware item 46,License,48.63,179,53,2025-10-21
