entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-05-21,5000,265.86,0.0,Payroll run,rwhite,2025-05-21T11:03:00
JE-2025000001,2025-05-21,1500,0.0,265.86,Payroll run,rwhite,2025-05-21T11:03:00
JE-2025000002,2025-03-15,1105,268.65,0.0,Vendor invoice booked,kpatel,2025-03-15T17:36:00
JE-2025000002,2025-03-15,1200,0.0,268.65,Vendor invoice booked,kpatel,2025-03-15T17:36:00
JE-2025000003,2025-05-28,6000,207.93,0.0,Payment to vendor,jchen,2025-05-28T17:11:00
JE-2025000003,2025-05-28,1000,0.0,207.93,Payment to vendor,jchen,2025-05-28T17:11:00
JE-2025000004,2025-03-28,1310,818.05,0.0,Customer invoice posting,kpatel,2025-03-28T10:59:00
JE-2025000004,2025-03-28,4100,0.0,818.05,Customer invoice posting,kpatel,2025-03-28T10:59:00
JE-2025000005,2025-10-05,6030,565.39,0.0,Payroll run,mlopez,2025-10-05T08:57:00
JE-2025000005,2025-10-05,1310,0.0,565.39,Payroll run,mlopez,2025-10-05T08:57:00
JE-2025000006,2025-05-04,6000,97.66,0.0,Depreciation,kpatel,2025-05-04T14:53:00
JE-2025000006,2025-05-04,2500,0.0,97.66,Depreciation,kpatel,2025-05-04T14:53:00
JE-2025000007,2025-08-28,6100,266.4,0.0,Customer invoice posting,rwhite,2025-08-28T09:16:00
JE-2025000007,2025-08-28,1100,0.0,266.4,Customer invoice posting,rwhite,2025-08-28T09:16:00
JE-2025000008,2025-12-08,6000,414.9,0.0,Customer invoice posting,rwhite,2025-12-08T15:03:00
JE-2025000008,2025-12-08,1310,0.0,414.9,Customer invoice posting,rwhite,2025-12-08T15:03:00
JE-2025000009,2025-10-08,1310,95.36,0.0,Customer invoice posting,kpatel,2025-10-08T14:42:00
JE-2025000009,2025-10-08,4000,0.0,95.36,Customer invoice posting,kpatel,2025-10-08T14:42:00
JE-2025000010,2025-03-05,5000,289.78,0.0,Payment to vendor,sjohnson,2025-03-05T08:53:00
JE-2025000010,2025-03-05,1300,0.0,289.78,Payment to vendor,sjohnson,2025-03-05T08:53:00
JE-2025000011,2025-03-31,1300,133.02,0.0,Vendor invoice booked,sjohnson,2025-03-31T12:01:00
JE-2025000011,2025-03-31,1510,0.0,133.02,Vendor invoice booked,sjohnson,2025-03-31T12:01:00
JE-2025000012,2025-04-20,1000,1601.23,0.0,Reclass,rwhite,2025-04-20T08:33:00
JE-2025000012,2025-04-20,4060,0.0,1601.23,Reclass,rwhite,2025-04-20T08:33:00
JE-2025000013,2025-11-29,1000,1143.41,0.0,Vendor invoice booked,system_batch,2025-11-29T17:58:00
JE-2025000013,2025-11-29,4050,0.0,1143.41,Vendor invoice booked,system_batch,2025-11-29T17:58:00
JE-2025000014,2025-01-23,1310,320.29,0.0,Reclass,sjohnson,2025-01-23T12:56:00
JE-2025000014,2025-01-23,4000,0.0,320.29,Reclass,sjohnson,2025-01-23T12:56:00
JE-2025000015,2025-01-17,6030,1328.49,0.0,Payment to vendor,kpatel,2025-01-17T11:39:00
JE-2025000015,2025-01-17,2300,0.0,1328.49,Payment to vendor,kpatel,2025-01-17T11:39:00
JE-2025000016,2025-10-30,1500,34.95,0.0,Vendor invoice booked,jchen,2025-10-30T16:55:00
JE-2025000016,2025-10-30,4000,0.0,34.95,Vendor invoice booked,jchen,2025-10-30T16:55:00
JE-2025000017,2025-01-08,6400,1737.27,0.0,Monthly accrual,system_batch,2025-01-08T14:06:00
JE-2025000017,2025-01-08,1310,0.0,1737.27,Monthly accrual,system_batch,2025-01-08T14:06:00
JE-2025000018,2025-09-28,6040,741.22,0.0,Vendor invoice booked,sjohnson,2025-09-28T14:33:00
JE-2025000018,2025-09-28,1500,0.0,741.22,Vendor invoice booked,sjohnson,2025-09-28T14:33:00
JE-2025000019,2025-03-12,1100,249.08,0.0,Depreciation,sjohnson,2025-03-12T08:26:00
JE-2025000019,2025-03-12,4100,0.0,249.08,Depreciation,sjohnson,2025-03-12T08:26:00
JE-2025000020,2025-10-02,5000,48.48,0.0,Vendor invoice booked,system_batch,2025-10-02T13:12:00
JE-2025000020,2025-10-02,2210,0.0,48.48,Vendor invoice booked,system_batch,2025-10-02T13:12:00
JE-2025000021,2025-05-31,6030,239.05,0.0,Payment to vendor,jchen,2025-05-31T09:14:00
JE-2025000021,2025-05-31,1200,0.0,239.05,Payment to vendor,jchen,2025-05-31T09:14:00
JE-2025000022,2025-10-25,5000,88.57,0.0,Cash receipt applied,mlopez,2025-10-25T09:44:00
JE-2025000022,2025-10-25,1310,0.0,88.57,Cash receipt applied,mlopez,2025-10-25T09:44:00
JE-2025000023,2025-09-21,1010,1339.11,0.0,Depreciation,kpatel,2025-09-21T14:55:00
JE-2025000023,2025-09-21,4100,0.0,1339.11,Depreciation,kpatel,2025-09-21T14:55:00
JE-2025000024,2025-07-18,6030,157.4,0.0,Cash receipt applied,sjohnson,2025-07-18T11:06:00
JE-2025000024,2025-07-18,2300,0.0,157.4,Cash receipt applied,sjohnson,2025-07-18T11:06:00
JE-2025000025,2025-04-28,6200,45.28,0.0,Vendor invoice booked,kpatel,2025-04-28T16:13:00
JE-2025000025,2025-04-28,1300,0.0,45.28,Vendor invoice booked,kpatel,2025-04-28T16:13:00
JE-2025000026,2025-03-03,6500,1771.18,0.0,Depreciation,system_batch,2025-03-03T08:02:00
JE-2025000026,2025-03-03,2210,0.0,1771.18,Depreciation,system_batch,2025-03-03T08:02:00
JE-2025000027,2025-12-13,6300,2493.74,0.0,Depreciation,system_batch,2025-12-13T13:57:00
JE-2025000027,2025-12-13,1105,0.0,2493.74,Depreciation,system_batch,2025-12-13T13:57:00
JE-2025000028,2025-04-06,6100,500.24,0.0,Vendor invoice booked,mlopez,2025-04-06T11:13:00
JE-2025000028,2025-04-06,1310,0.0,500.24,Vendor invoice booked,mlopez,2025-04-06T11:13:00
JE-2025000029,2025-01-28,6030,1428.3,0.0,Reclass,jchen,2025-01-28T10:50:00
JE-2025000029,2025-01-28,1100,0.0,1428.3,Reclass,jchen,2025-01-28T10:50:00
JE-2025000030,2025-05-19,1100,297.71,0.0,Reclass,kpatel,2025-05-19T11:00:00
JE-2025000030,2025-05-19,2300,0.0,297.71,Reclass,kpatel,2025-05-19T11:00:00
JE-2025000031,2025-07-10,6030,161.19,0.0,Reclass,sjohnson,2025-07-10T17:00:00
JE-2025000031,2025-07-10,2500,0.0,161.19,Reclass,sjohnson,2025-07-10T17:00:00
JE-2025000032,2025-06-07,6400,187.63,0.0,Payroll run,mlopez,2025-06-07T17:46:00
JE-2025000032,2025-06-07,2220,0.0,187.63,Payroll run,mlopez,2025-06-07T17:46:00
JE-2025000033,2025-09-11,1310,309.84,0.0,Depreciation,mlopez,2025-09-11T15:03:00
JE-2025000033,2025-09-11,4060,0.0,309.84,Depreciation,mlopez,2025-09-11T15:03:00
JE-2025000034,2025-10-16,1510,390.59,0.0,Payroll run,rwhite,2025-10-16T12:15:00
JE-2025000034,2025-10-16,4050,0.0,390.59,Payroll run,rwhite,2025-10-16T12:15:00
JE-2025000035,2025-12-29,1010,349.38,0.0,Reclass,jchen,2025-12-29T15:07:00
JE-2025000035,2025-12-29,4060,0.0,349.38,Reclass,jchen,2025-12-29T15:07:00
JE-2025000036,2025-04-03,1310,218.39,0.0,Depreciation,rwhite,2025-04-03T17:43:00
JE-2025000036,2025-04-03,1510,0.0,218.39,Depreciation,rwhite,2025-04-03T17:43:00
JE-2025000037,2025-11-25,1010,105.32,0.0,Payroll run,jchen,2025-11-25T09:04:00
JE-2025000037,2025-11-25,4100,0.0,105.32,Payroll run,jchen,2025-11-25T09:04:00
JE-2025000038,2025-10-23,6300,454.02,0.0,Customer invoice posting,mlopez,2025-10-23T09:04:00
JE-2025000038,2025-10-23,1110,0.0,454.02,Customer invoice posting,mlopez,2025-10-23T09:04:00
JE-2025000039,2025-03-10,6300,154.11,0.0,Depreciation,jchen,2025-03-10T09:03:00
JE-2025000039,2025-03-10,1300,0.0,154.11,Depreciation,jchen,2025-03-10T09:03:00
JE-2025000040,2025-12-09,1200,644.38,0.0,Payment to vendor,jchen,2025-12-09T10:42:00
JE-2025000040,2025-12-09,4050,0.0,644.38,Payment to vendor,jchen,2025-12-09T10:42:00
JE-2025000041,2025-02-03,1510,1374.96,0.0,Monthly accrual,mlopez,2025-02-03T09:42:00
JE-2025000041,2025-02-03,4060,0.0,1374.96,Monthly accrual,mlopez,2025-02-03T09:42:00
JE-2025000042,2025-12-13,1510,213.98,0.0,Reclass,sjohnson,2025-12-13T16:16:00
