entry_id,entry_date,account_id,debit,credit,memo,posted_by,posted_at
JE-2025000001,2025-09-01,1510,33.15,0.0,Payroll run,sjohnson,2025-09-01T17:43:00
JE-2025000001,2025-09-01,4000,0.0,33.15,Payroll run,sjohnson,2025-09-01T17:43:00
JE-2025000002,2025-12-03,6000,1046.55,0.0,Payment to vendor,jchen,2025-12-03T12:57:00
JE-2025000002,2025-12-03,1510,0.0,1046.55,Payment to vendor,jchen,2025-12-03T12:57:00
JE-2025000003,2025-10-29,5000,477.13,0.0,Reclass,sjohnson,2025-10-29T09:43:00
JE-2025000003,2025-10-29,2200,0.0,477.13,Reclass,sjohnson,2025-10-29T09:43:00
JE-2025000004,2025-06-14,5000,1657.08,0.0,Depreciation,rwhite,2025-06-14T11:17:00
JE-2025000004,2025-06-14,1000,0.0,1657.08,Depreciation,rwhite,2025-06-14T11:17:00
JE-2025000005,2025-09-14,1300,378.36,0.0,Vendor invoice booked,kpatel,2025-09-14T08:29:00
JE-2025000005,2025-09-14,4100,0.0,378.36,Vendor invoice booked,kpatel,2025-09-14T08:29:00
JE-2025000006,2025-06-30,1510,157.5,0.0,Payroll run,sjohnson,2025-06-30T17:00:00
JE-2025000006,2025-06-30,4000,0.0,157.5,Payroll run,sjohnson,2025-06-30T17:00:00
JE-2025000007,2025-08-27,6400,679.05,0.0,Reclass,sjohnson,2025-08-27T10:58:00
JE-2025000007,2025-08-27,1300,0.0,679.05,Reclass,sjohnson,2025-08-27T10:58:00
JE-2025000008,2025-02-09,1105,224.44,0.0,Payment to vendor,kpatel,2025-02-09T12:47:00
JE-2025000008,2025-02-09,4000,0.0,224.44,Payment to vendor,kpatel,2025-02-09T12:47:00
JE-2025000009,2025-09-17,1300,139.88,0.0,Payroll run,system_batch,2025-09-17T10:56:00
JE-2025000009,2025-09-17,1010,0.0,139.88,Payroll run,system_batch,2025-09-17T10:56:00
JE-2025000010,2025-09-29,6000,636.59,0.0,Cash receipt applied,rwhite,2025-09-29T10:23:00
JE-2025000010,2025-09-29,2200,0.0,636.59,Cash receipt applied,rwhite,2025-09-29T10:23:00
JE-2025000011,2025-03-12,6400,155.08,0.0,Payroll run,jchen,2025-03-12T10:25:00
JE-2025000011,2025-03-12,1510,0.0,155.08,Payroll run,jchen,2025-03-12T10:25:00
JE-2025000012,2025-07-12,6400,899.64,0.0,Reclass,system_batch,2025-07-12T12:24:00
JE-2025000012,2025-07-12,1510,0.0,899.64,Reclass,system_batch,2025-07-12T12:24:00
JE-2025000013,2025-11-12,1010,997.32,0.0,Reclass,sjohnson,2025-11-12T10:55:00
JE-2025000013,2025-11-12,1100,0.0,997.32,Reclass,sjohnson,2025-11-12T10:55:00
JE-2025000014,2025-10-14,6200,65.11,0.0,Vendor invoice booked,system_batch,2025-10-14T11:56:00
